id	moa	pert_id	pert_iname	pert_type	target_name	aud_q75	aud_med	aud_q25	aud_iqr	cell_id	query
BRD-K41337261	Abl kinase inhibitor|Src inhibitor|VEGFR inhibitor	BRD-K41337261	ZM-306416	trt_cp	FLT1|KDR	0.2	0.16	0.12	0.08	-666	1.94
BRD-K24869513	EGFR inhibitor	BRD-K24869513	CNX-2006	trt_cp	EGFR	0.16	0.13	0.11	0.05	-666	1.92
BRD-K33610132	EGFR inhibitor	BRD-K33610132	rociletinib	trt_cp	EGFR	0.22	0.2	0.17	0.05	-666	1.91
BRD-K31698212	EGFR inhibitor	BRD-K31698212	icotinib	trt_cp	EGFR	0.18	0.14	0.1	0.07	-666	1.9
BRD-K77625799	EGFR inhibitor|RET tyrosine kinase inhibitor|VEGFR inhibitor	BRD-K77625799	vandetanib	trt_cp	EGFR|KDR|RET|FLT1|FLT4|PTK6|TEK	0.19	0.16	0.12	0.08	-666	1.9
BRD-K81728688	EGFR inhibitor	BRD-K81728688	WZ-8040	trt_cp	-666	0.27	0.24	0.21	0.06	-666	1.9
BRD-K40718343	-666	BRD-K40718343	AEE-788	trt_cp	-666	0.22	0.18	0.14	0.08	-666	1.89
BRD-K70163715	KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor	BRD-K70163715	vatalanib	trt_cp	FLT1|FLT4|KDR|KIT|PDGFRB	0.19	0.16	0.13	0.06	-666	1.76
BRD-K84091759	Angiotensin receptor antagonist	BRD-K84091759	candesartan	trt_cp	AGTR1	0.11	0.09	0.06	0.05	-666	1.75
BRD-K98572433	EGFR inhibitor	BRD-K98572433	AZD-8931	trt_cp	-666	0.32	0.27	0.22	0.1	-666	1.75
BRD-K49294207	EGFR inhibitor	BRD-K49294207	BIBU-1361	trt_cp	EGFR	0.23	0.18	0.13	0.1	-666	1.73
BRD-A70858459	DNA alkylating drug	BRD-A70858459	estramustine	trt_cp	-666	0.16	0.13	0.11	0.05	-666	1.73
BRD-K44590731	-666	BRD-K44590731	TU-2100	trt_cp	-666	0.14	0.12	0.09	0.05	-666	1.73
BRD-K85307935	Bacterial DNA gyrase inhibitor	BRD-K85307935	novobiocin	trt_cp	-666	0.22	0.19	0.15	0.07	-666	1.72
BRD-K70401845	EGFR inhibitor	BRD-K70401845	erlotinib	trt_cp	EGFR	0.32	0.26	0.2	0.12	-666	1.71
