"","pert_iname","norm_cs","moa"
"1","1-benzylimidazole",-0.3964375,"Thromboxane synthase inhibitor"
"2","1-monopalmitin",-0.292625,"P-glycoprotein inhibitor"
"3","1-phenylbiguanide",-0.02694,"Serotonin receptor agonist"
"4","10-DEBC",-0.30138,"AKT inhibitor"
"5","2-aminopurine",0.0364285714285714,"Serine/threonine kinase inhibitor"
"6","2-iminobiotin",-0.276675,"Nitric oxide synthase inhibitor"
"7","2-iodomelatonin",0,"Melatonin receptor agonist"
"8","3-CPMT",0,"Dopamine receptor antagonist"
"9","3-deazaadenosine",-0.37297,"Adenosylhomocysteinase inhibitor"
"10","3-matida",-0.813366666666667,"Glutamate receptor antagonist"
"11","3-methyl-GABA",-0.3203,"GABA aminotransferase activator"
"12","3-MPPI",-0.2627,"Adrenergic receptor antagonist"
"13","4-chlorophenylguanidine",-0.0346,"Urokinase inhibitor"
"14","4-HQN",-0.2695,"PARP inhibitor"
"15","4-mu-8C",-0.4191,"IRE1 inhibitor"
"16","5-BDBD",0.4112,"Purinergic receptor antagonist"
"17","5-FP",-0.495325,"Thymidylate synthase inhibitor"
"18","5-iodotubercidin",0.178533333333333,"Adenosine kinase inhibitor"
"19","5-methoxytryptamine",-0.2669,"Serotonin receptor agonist"
"20","5-nonyloxytryptamine",1.0814875,"Serotonin receptor agonist"
"21","5'-guanidinonaltrindole",-0.481783333333333,"Opioid receptor antagonist"
"22","6-aminochrysene",-0.0334,"Transferase inhibitor"
"23","6-benzylaminopurine",-0.32305,"Purinergic receptor activator"
"24","6-chloromelatonin",0.9003,"Melatonin receptor agonist"
"25","7-aminocephalosporanic-acid",0,"Beta lactamase inhibitor"
"26","7-hydroxystaurosporine",0.99465,"CDK inhibitor|CHK inhibitor|PKC inhibitor"
"27","7-nitroindazole",-0.607241666666667,"Nitric oxide synthase inhibitor"
"28","7b-cis",0.859008333333333,"Exportin antagonist"
"29","8-bromo-cGMP",-1.1628,"PKA activator"
"30","A-205804",0.38495,"ICAM1 inhibitor"
"31","A-366",-0.96435,"Histone lysine methyltransferase inhibitor"
"32","A-443654",-0.29438,"AKT inhibitor"
"33","A-61603",-0.8118,"Adrenergic receptor agonist"
"34","A-66",-0.494811764705882,"PI3K inhibitor"
"35","A-7",-0.5822,"Calmodulin inhibitor"
"36","A-740003",0.3304,"Purinergic receptor antagonist"
"37","A-769662",-0.288993333333333,"AMPK activator"
"38","ABC-294640",0,"Sphingosine kinase inhibitor"
"39","ABT-202",-0.134528571428571,"Acetylcholine receptor agonist"
"40","ABT-239",-0.02825,"Histamine receptor antagonist"
"41","ABT-702",0.119216666666667,"Adenosine kinase inhibitor"
"42","ABT-724",-0.537528571428571,"Dopamine receptor agonist"
"43","ABT-737",0.530638095238095,"BCL inhibitor"
"44","ABT-751",0.17075,"Tubulin inhibitor"
"45","AC-264613",0.3378,"PAR agonist"
"46","AC-55649",0.09786,"Retinoid receptor agonist"
"47","acalabrutinib",-0.321307692307692,"BTK inhibitor"
"48","acarbose",-0.23465,"Glucosidase inhibitor"
"49","ACDPP",1.5906,"Glutamate receptor antagonist"
"50","acebutolol",-0.53316,"Adrenergic receptor antagonist"
"51","acecainide",-0.48746,"Polarization inhibitor"
"52","aceclofenac",0,"Prostanoid receptor antagonist"
"53","acemetacin",0.4155,"Cyclooxygenase inhibitor"
