"","pert_iname","norm_cs","moa"
"1","1-benzylimidazole",0.2420125,"Thromboxane synthase inhibitor"
"2","1-monopalmitin",0.235575,"P-glycoprotein inhibitor"
"3","1-phenylbiguanide",-0.0617,"Serotonin receptor agonist"
"4","10-DEBC",0.368673333333333,"AKT inhibitor"
"5","2-aminopurine",-0.468685714285714,"Serine/threonine kinase inhibitor"
"6","2-iminobiotin",-0.39445,"Nitric oxide synthase inhibitor"
"7","2-iodomelatonin",0,"Melatonin receptor agonist"
"8","3-CPMT",-1.0664,"Dopamine receptor antagonist"
"9","3-deazaadenosine",0.25889,"Adenosylhomocysteinase inhibitor"
"10","3-matida",0.914833333333333,"Glutamate receptor antagonist"
"11","3-methyl-GABA",0.469133333333333,"GABA aminotransferase activator"
"12","3-MPPI",-0.6198,"Adrenergic receptor antagonist"
"13","4-chlorophenylguanidine",0.2055,"Urokinase inhibitor"
"14","4-HQN",-0.0139333333333334,"PARP inhibitor"
"15","4-mu-8C",0.41185,"IRE1 inhibitor"
"16","5-BDBD",-1.26235,"Purinergic receptor antagonist"
"17","5-FP",-0.163,"Thymidylate synthase inhibitor"
"18","5-iodotubercidin",-0.5733,"Adenosine kinase inhibitor"
"19","5-methoxytryptamine",-0.0819555555555556,"Serotonin receptor agonist"
"20","5-nonyloxytryptamine",0.1488125,"Serotonin receptor agonist"
"21","5'-guanidinonaltrindole",-0.126933333333333,"Opioid receptor antagonist"
"22","6-aminochrysene",0.12978,"Transferase inhibitor"
"23","6-benzylaminopurine",-0.0151,"Purinergic receptor activator"
"24","6-chloromelatonin",0.8102,"Melatonin receptor agonist"
"25","7-aminocephalosporanic-acid",0,"Beta lactamase inhibitor"
"26","7-hydroxystaurosporine",1.4661,"CDK inhibitor|CHK inhibitor|PKC inhibitor"
"27","7-nitroindazole",-0.472641666666667,"Nitric oxide synthase inhibitor"
"28","7b-cis",1.05275,"Exportin antagonist"
"29","8-bromo-cGMP",0,"PKA activator"
"30","A-205804",-0.61255,"ICAM1 inhibitor"
"31","A-366",0.9693,"Histone lysine methyltransferase inhibitor"
"32","A-443654",0.7569,"AKT inhibitor"
"33","A-61603",-0.9017,"Adrenergic receptor agonist"
"34","A-66",0.698188235294118,"PI3K inhibitor"
"35","A-7",0,"Calmodulin inhibitor"
"36","A-740003",0.903,"Purinergic receptor antagonist"
"37","A-769662",0.00715333333333332,"AMPK activator"
"38","ABC-294640",-1.5663,"Sphingosine kinase inhibitor"
"39","ABT-202",-0.293985714285714,"Acetylcholine receptor agonist"
"40","ABT-239",0.480325,"Histamine receptor antagonist"
"41","ABT-702",0.272633333333333,"Adenosine kinase inhibitor"
"42","ABT-724",-0.282185714285714,"Dopamine receptor agonist"
"43","ABT-737",-0.749180952380952,"BCL inhibitor"
"44","ABT-751",-1.01951428571429,"Tubulin inhibitor"
"45","AC-264613",-0.189,"PAR agonist"
"46","AC-55649",-0.11702,"Retinoid receptor agonist"
"47","acalabrutinib",-0.0463230769230769,"BTK inhibitor"
"48","acarbose",0.14736,"Glucosidase inhibitor"
"49","ACDPP",-1.0823,"Glutamate receptor antagonist"
"50","acebutolol",-0.2995,"Adrenergic receptor antagonist"
"51","acecainide",0.0268,"Polarization inhibitor"
"52","aceclofenac",-0.5408,"Prostanoid receptor antagonist"
"53","acemetacin",-0.38365,"Cyclooxygenase inhibitor"
"54","acenocoumarol",0,"Vitamin K antagonist"
"55","acepromazine",-0.486975,"Dopamine receptor antagonist"
"56","acetaldehyde",0.220533333333333,"Metabolite of ethanol with a role in ethanol addiction"
"57","acetamide",0.20994,"Solvent"
"58","acetazolamide",0.128028571428571,"Carbonic anhydrase inhibitor"
"59","acetohexamide",-0.53,"ATP channel blocker"
"60","acetylcholine",0.413325,"Acetylcholine receptor agonist"
"61","acetylsalicylsalicylic-acid",-0.6306,"Cyclooxygenase inhibitor"
"62","acexamic-acid",-0.3202375,"Gastrin inhibitor|5-alpha reductase inhibitor|Reducing agent"
"63","acifran",-0.0529444444444444,"Cholesterol inhibitor"
"64","acipimox",-0.473366666666667,"Cholesterol inhibitor"
"65","acitretin",-0.2164,"Retinoid receptor agonist"
"66","acivicin",0.161871428571429,"Gamma glutamyltransferase Inhibitors"
"67","aclidinium",-0.248333333333333,"Acetylcholine receptor antagonist"
"68","acrivastine",-0.17376,"Histamine receptor antagonist"
"69","actarit",-0.411971428571429,"Interleukin inhibitor"
"70","ACY-1215",0.536069230769231,"HDAC inhibitor"
