"","pert_iname","norm_cs","moa"
"1","1-benzylimidazole",0.5353,"Thromboxane synthase inhibitor"
"2","1-monopalmitin",0.29095,"P-glycoprotein inhibitor"
"3","1-phenylbiguanide",-0.4386,"Serotonin receptor agonist"
"4","10-DEBC",0.492693333333333,"AKT inhibitor"
"5","2-aminopurine",-0.539328571428571,"Serine/threonine kinase inhibitor"
"6","2-iminobiotin",-0.51085,"Nitric oxide synthase inhibitor"
"7","2-iodomelatonin",0.6782,"Melatonin receptor agonist"
"8","3-CPMT",0.766,"Dopamine receptor antagonist"
"9","3-deazaadenosine",-0.29999,"Adenosylhomocysteinase inhibitor"
"10","3-matida",-0.331666666666667,"Glutamate receptor antagonist"
"11","3-methyl-GABA",0.4354,"GABA aminotransferase activator"
"12","3-MPPI",-0.601925,"Adrenergic receptor antagonist"
"13","4-chlorophenylguanidine",0.35115,"Urokinase inhibitor"
"14","4-HQN",0,"PARP inhibitor"
"15","4-mu-8C",-0.42635,"IRE1 inhibitor"
"16","5-BDBD",0,"Purinergic receptor antagonist"
"17","5-FP",0.039675,"Thymidylate synthase inhibitor"
"18","5-iodotubercidin",-1.01386666666667,"Adenosine kinase inhibitor"
"19","5-methoxytryptamine",-0.0711444444444445,"Serotonin receptor agonist"
"20","5-nonyloxytryptamine",0.3887375,"Serotonin receptor agonist"
"21","5'-guanidinonaltrindole",-0.0880666666666667,"Opioid receptor antagonist"
"22","6-aminochrysene",-0.15658,"Transferase inhibitor"
"23","6-benzylaminopurine",-0.04725,"Purinergic receptor activator"
"24","6-chloromelatonin",0,"Melatonin receptor agonist"
"25","7-aminocephalosporanic-acid",0.8195,"Beta lactamase inhibitor"
"26","7-hydroxystaurosporine",0.41785,"CDK inhibitor|CHK inhibitor|PKC inhibitor"
"27","7-nitroindazole",-0.319533333333333,"Nitric oxide synthase inhibitor"
"28","7b-cis",0.494983333333333,"Exportin antagonist"
"29","8-bromo-cGMP",0,"PKA activator"
"30","A-205804",0.5055,"ICAM1 inhibitor"
"31","A-366",0.000149999999999983,"Histone lysine methyltransferase inhibitor"
"32","A-443654",0.4636,"AKT inhibitor"
"33","A-61603",0,"Adrenergic receptor agonist"
"34","A-66",0.133764705882353,"PI3K inhibitor"
"35","A-7",-0.4658,"Calmodulin inhibitor"
"36","A-740003",0,"Purinergic receptor antagonist"
"37","A-769662",-0.191206666666667,"AMPK activator"
"38","ABC-294640",0,"Sphingosine kinase inhibitor"
"39","ABT-202",-0.284514285714286,"Acetylcholine receptor agonist"
"40","ABT-239",0.09155,"Histamine receptor antagonist"
"41","ABT-702",-0.211933333333333,"Adenosine kinase inhibitor"
"42","ABT-724",-0.0797571428571429,"Dopamine receptor agonist"
"43","ABT-737",-0.44677619047619,"BCL inhibitor"
"44","ABT-751",-0.826414285714286,"Tubulin inhibitor"
"45","AC-264613",0.6275,"PAR agonist"
"46","AC-55649",0.0931,"Retinoid receptor agonist"
"47","acalabrutinib",-0.135484615384615,"BTK inhibitor"
"48","acarbose",-0.01852,"Glucosidase inhibitor"
"49","ACDPP",0,"Glutamate receptor antagonist"
"50","acebutolol",0.14488,"Adrenergic receptor antagonist"
"51","acecainide",-0.18946,"Polarization inhibitor"
"52","aceclofenac",0,"Prostanoid receptor antagonist"
