pert_iname,norm_cs,moa
1-benzylimidazole,0.0019375,Thromboxane synthase inhibitor
1-monopalmitin,-0.093825,P-glycoprotein inhibitor
1-phenylbiguanide,-0.23336,Serotonin receptor agonist
10-DEBC,0.464953333,AKT inhibitor
2-aminopurine,-0.135357143,Serine/threonine kinase inhibitor
2-iminobiotin,-0.297175,Nitric oxide synthase inhibitor
2-iodomelatonin,0,Melatonin receptor agonist
3-CPMT,0,Dopamine receptor antagonist
3-deazaadenosine,-0.05157,Adenosylhomocysteinase inhibitor
3-matida,-0.597466667,Glutamate receptor antagonist
3-methyl-GABA,0.195266667,GABA aminotransferase activator
3-MPPI,-0.449575,Adrenergic receptor antagonist
4-chlorophenylguanidine,0,Urokinase inhibitor
4-HQN,-0.236366667,PARP inhibitor
4-mu-8C,-0.85815,IRE1 inhibitor
5-BDBD,0.66075,Purinergic receptor antagonist
5-FP,-0.169575,Thymidylate synthase inhibitor
5-iodotubercidin,-0.150188889,Adenosine kinase inhibitor
5-methoxytryptamine,0.090977778,Serotonin receptor agonist
5-nonyloxytryptamine,0.0452125,Serotonin receptor agonist
5'-guanidinonaltrindole,-0.159266667,Opioid receptor antagonist
6-aminochrysene,0.1528,Transferase inhibitor
6-benzylaminopurine,0,Purinergic receptor activator
6-chloromelatonin,0,Melatonin receptor agonist
7-aminocephalosporanic-acid,0,Beta lactamase inhibitor
7-hydroxystaurosporine,0,CDK inhibitor|CHK inhibitor|PKC inhibitor
7-nitroindazole,-0.395758333,Nitric oxide synthase inhibitor
7b-cis,0.802516667,Exportin antagonist
8-bromo-cGMP,1.1641,PKA activator
A-205804,-0.95225,ICAM1 inhibitor
A-366,-0.6339,Histone lysine methyltransferase inhibitor
A-443654,-0.11785,AKT inhibitor
A-61603,0.9431,Adrenergic receptor agonist
A-66,-0.217911765,PI3K inhibitor
A-7,0,Calmodulin inhibitor
A-740003,-0.37665,Purinergic receptor antagonist
A-769662,-0.178486667,AMPK activator
ABC-294640,-0.8941,Sphingosine kinase inhibitor
ABT-202,-0.0351,Acetylcholine receptor agonist
ABT-239,0.22025,Histamine receptor antagonist
ABT-702,0.112333333,Adenosine kinase inhibitor
ABT-724,0.055885714,Dopamine receptor agonist
ABT-737,-0.04732381,BCL inhibitor
ABT-751,0.317928571,Tubulin inhibitor
AC-264613,-1.00395,PAR agonist
AC-55649,-0.13834,Retinoid receptor agonist
acalabrutinib,-0.117692308,BTK inhibitor
acarbose,0.07591,Glucosidase inhibitor
ACDPP,-0.8977,Glutamate receptor antagonist
acebutolol,0.22986,Adrenergic receptor antagonist
acecainide,-0.40094,Polarization inhibitor
aceclofenac,0,Prostanoid receptor antagonist
acemetacin,-0.5739,Cyclooxygenase inhibitor
acenocoumarol,-0.0939,Vitamin K antagonist
acepromazine,0.278925,Dopamine receptor antagonist
acetaldehyde,-0.316233333,Metabolite of ethanol with a role in ethanol addiction
acetamide,-0.62494,Solvent
acetazolamide,0.029028571,Carbonic anhydrase inhibitor
acetohexamide,0.374675,ATP channel blocker
acetylcholine,0,Acetylcholine receptor agonist
acetylsalicylsalicylic-acid,0.5434,Cyclooxygenase inhibitor
acexamic-acid,-0.12655,Gastrin inhibitor|5-alpha reductase inhibitor|Reducing agent
acifran,0.018544444,Cholesterol inhibitor
acipimox,0.099533333,Cholesterol inhibitor
acitretin,-0.529671429,Retinoid receptor agonist
acivicin,0.0762,Gamma glutamyltransferase Inhibitors
aclidinium,-0.2092,Acetylcholine receptor antagonist
acrivastine,-0.15759,Histamine receptor antagonist
actarit,-0.245142857,Interleukin inhibitor
ACY-1215,0.773038462,HDAC inhibitor
acyclovir,0.141044444,DNA inhibitor
adapalene,-0.0944375,Retinoid receptor agonist
adaprev,0,TGF-beta receptor inhibitor
adarotene,-0.43434,Retinoid receptor agonist
adatanserin,-0.339842857,Serotonin receptor agonist|Serotonin receptor antagonist
adenosine,-0.044125,Adenosine receptor agonist
adiphenine,0.281866667,Acetylcholine receptor antagonist
adipiodone,-0.01992,Radiopaque medium
ADL-5859,0.3303,Opioid receptor agonist
