"","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"1","norm_cs","P-glycoprotein inhibitor",0.52076,1.36,0.154,586,0.431
"2","norm_cs","Serotonin receptor agonist",-0.20163,-0.536,0.982,2521,0.984
"3","norm_cs","AKT inhibitor",0.40816,1.06,0.393,791,0.602
"4","norm_cs","Nitric oxide synthase inhibitor",-0.45018,-1.18,0.287,2796,0.762
"5","norm_cs","Glutamate receptor antagonist",-0.37502,-0.977,0.449,2472,0.834
"6","norm_cs","Adrenergic receptor antagonist",-0.22025,-0.581,0.939,2722,0.985
"7","norm_cs","PARP inhibitor",0.31706,0.836,0.636,309,0.843
"8","norm_cs","Purinergic receptor antagonist",0.44919,1.15,0.309,208,0.545
"9","norm_cs","Thymidylate synthase inhibitor",-0.30199,-0.797,0.695,2358,0.897
"10","norm_cs","Opioid receptor antagonist",0.31421,0.826,0.673,312,0.848
"11","norm_cs","Histone lysine methyltransferase inhibitor",-0.34441,-0.922,0.511,3391,0.798
"12","norm_cs","Adrenergic receptor agonist",-0.36073,-0.96,0.465,2785,0.818
"13","norm_cs","PI3K inhibitor",0.4703,1.21,0.259,918,0.517
"14","norm_cs","Acetylcholine receptor agonist",-0.24626,-0.662,0.844,2609,0.945
"15","norm_cs","Histamine receptor antagonist",-0.20849,-0.553,0.947,2914,0.984
"16","norm_cs","Dopamine receptor agonist",-0.29853,-0.768,0.716,2412,0.892
"17","norm_cs","BCL inhibitor",0.49837,1.28,0.179,561,0.465
"18","norm_cs","Tubulin inhibitor",0.53575,1.4,0.133,843,0.402
"19","norm_cs","Retinoid receptor agonist",-0.39783,-1.02,0.435,2035,0.804
"20","norm_cs","BTK inhibitor",0.25125,0.658,0.845,800,0.91
"21","norm_cs","Glucosidase inhibitor",-0.35736,-0.942,0.492,1264,0.82
"22","norm_cs","Cyclooxygenase inhibitor",-0.28384,-0.76,0.73,3342,0.879
"23","norm_cs","Dopamine receptor antagonist",0.2339,0.607,0.91,563,0.93
"24","norm_cs","Carbonic anhydrase inhibitor",-0.33947,-0.897,0.556,1199,0.816
"25","norm_cs","ATP channel blocker",-0.5656,-1.47,0.0796,2748,0.919
"26","norm_cs","Cholesterol inhibitor",-0.24795,-0.654,0.874,876,0.943
"27","norm_cs","Acetylcholine receptor antagonist",-0.28045,-0.722,0.772,3082,0.9
"28","norm_cs","Interleukin inhibitor",-0.52393,-1.37,0.163,3112,0.691
"29","norm_cs","HDAC inhibitor",0.81083,2.09,0.00188,393,0.0688
"30","norm_cs","DNA inhibitor",0.2778,0.711,0.768,367,0.877
"31","norm_cs","Adenosine receptor agonist",-0.64553,-1.69,0.0374,2356,0.565
"32","norm_cs","Radiopaque medium",0.76495,1.99,0.00384,169,0.0948
"33","norm_cs","Opioid receptor agonist",0.30547,0.798,0.695,627,0.856
"34","norm_cs","EGFR inhibitor",0.42242,1.07,0.362,887,0.598
"35","norm_cs","Carcinogen",0.36016,0.939,0.514,498,0.745
"36","norm_cs","PDGFR inhibitor",0.3101,0.797,0.675,703,0.845
"37","norm_cs","Tyrosine kinase inhibitor",0.40383,1.02,0.408,931,0.631
"38","norm_cs","Protein tyrosine kinase inhibitor",-0.34833,-0.936,0.512,2984,0.802
"39","norm_cs","SIRT inhibitor",-0.40802,-1.05,0.355,3170,0.798
"40","norm_cs","Membrane integrity inhibitor",0.4501,1.19,0.241,990,0.523
"41","norm_cs","Serotonin receptor antagonist",0.14617,0.395,1,581,0.998
"42","norm_cs","Glucocorticoid receptor agonist",0.27454,0.713,0.784,1060,0.886
"43","norm_cs","ALK inhibitor",0.59925,1.58,0.0741,504,0.323
"44","norm_cs","GABA receptor agonist",-0.34862,-0.918,0.516,2862,0.792
"45","norm_cs","Histamine receptor agonist",-0.33472,-0.881,0.563,3506,0.819
"46","norm_cs","Aurora kinase inhibitor",0.6571,1.74,0.0191,457,0.268
"47","norm_cs","Dipeptidyl peptidase inhibitor",-0.53999,-1.41,0.141,2538,0.88
"48","norm_cs","Estrogen receptor agonist",-0.30005,-0.788,0.668,2063,0.885
"49","norm_cs","Prostanoid receptor agonist",-0.30869,-0.82,0.633,2361,0.871
"50","norm_cs","Aldose reductase inhibitor",0.35479,0.919,0.532,649,0.754
"51","norm_cs","Diuretic",-0.75934,-1.98,0.00833,2697,0.143
"52","norm_cs","Muscle relaxant",-0.37991,-0.995,0.451,3398,0.835
"53","norm_cs","HSP inhibitor",0.54605,1.4,0.134,909,0.402
"54","norm_cs","CDK inhibitor",0.51497,1.35,0.161,1004,0.431
"55","norm_cs","Lipoxygenase inhibitor",-0.27139,-0.713,0.772,2121,0.889
"56","norm_cs","Cannabinoid receptor antagonist",0.40725,1.05,0.409,1285,0.605
