pert_iname,norm_cs,moa
1-benzylimidazole,-0.3964375,Thromboxane synthase inhibitor
1-monopalmitin,-0.292625,P-glycoprotein inhibitor
1-phenylbiguanide,-0.02694,Serotonin receptor agonist
10-DEBC,-0.30138,AKT inhibitor
2-aminopurine,0.036428571,Serine/threonine kinase inhibitor
2-iminobiotin,-0.276675,Nitric oxide synthase inhibitor
2-iodomelatonin,0,Melatonin receptor agonist
3-CPMT,0,Dopamine receptor antagonist
3-deazaadenosine,-0.37297,Adenosylhomocysteinase inhibitor
3-matida,-0.813366667,Glutamate receptor antagonist
3-methyl-GABA,-0.3203,GABA aminotransferase activator
3-MPPI,-0.2627,Adrenergic receptor antagonist
4-chlorophenylguanidine,-0.0346,Urokinase inhibitor
4-HQN,-0.2695,PARP inhibitor
4-mu-8C,-0.4191,IRE1 inhibitor
5-BDBD,0.4112,Purinergic receptor antagonist
5-FP,-0.495325,Thymidylate synthase inhibitor
5-iodotubercidin,0.178533333,Adenosine kinase inhibitor
5-methoxytryptamine,-0.2669,Serotonin receptor agonist
5-nonyloxytryptamine,1.0814875,Serotonin receptor agonist
5'-guanidinonaltrindole,-0.481783333,Opioid receptor antagonist
6-aminochrysene,-0.0334,Transferase inhibitor
6-benzylaminopurine,-0.32305,Purinergic receptor activator
6-chloromelatonin,0.9003,Melatonin receptor agonist
7-aminocephalosporanic-acid,0,Beta lactamase inhibitor
7-hydroxystaurosporine,0.99465,CDK inhibitor|CHK inhibitor|PKC inhibitor
7-nitroindazole,-0.607241667,Nitric oxide synthase inhibitor
7b-cis,0.859008333,Exportin antagonist
8-bromo-cGMP,-1.1628,PKA activator
A-205804,0.38495,ICAM1 inhibitor
A-366,-0.96435,Histone lysine methyltransferase inhibitor
A-443654,-0.29438,AKT inhibitor
A-61603,-0.8118,Adrenergic receptor agonist
A-66,-0.494811765,PI3K inhibitor
A-7,-0.5822,Calmodulin inhibitor
A-740003,0.3304,Purinergic receptor antagonist
A-769662,-0.288993333,AMPK activator
ABC-294640,0,Sphingosine kinase inhibitor
ABT-202,-0.134528571,Acetylcholine receptor agonist
ABT-239,-0.02825,Histamine receptor antagonist
ABT-702,0.119216667,Adenosine kinase inhibitor
ABT-724,-0.537528571,Dopamine receptor agonist
ABT-737,0.530638095,BCL inhibitor
ABT-751,0.17075,Tubulin inhibitor
AC-264613,0.3378,PAR agonist
AC-55649,0.09786,Retinoid receptor agonist
acalabrutinib,-0.321307692,BTK inhibitor
acarbose,-0.23465,Glucosidase inhibitor
ACDPP,1.5906,Glutamate receptor antagonist
acebutolol,-0.53316,Adrenergic receptor antagonist
acecainide,-0.48746,Polarization inhibitor
aceclofenac,0,Prostanoid receptor antagonist
acemetacin,0.4155,Cyclooxygenase inhibitor
acenocoumarol,-0.075475,Vitamin K antagonist
acepromazine,-0.236425,Dopamine receptor antagonist
acetaldehyde,-0.375133333,Metabolite of ethanol with a role in ethanol addiction
acetamide,-0.04702,Solvent
acetazolamide,-0.484728571,Carbonic anhydrase inhibitor
acetohexamide,-0.601125,ATP channel blocker
acetylcholine,-0.414975,Acetylcholine receptor agonist
acetylsalicylsalicylic-acid,-0.68155,Cyclooxygenase inhibitor
acexamic-acid,-0.546625,Gastrin inhibitor|5-alpha reductase inhibitor|Reducing agent
acifran,0.088644444,Cholesterol inhibitor
acipimox,-0.056733333,Cholesterol inhibitor
acitretin,-0.268985714,Retinoid receptor agonist
acivicin,0.232357143,Gamma glutamyltransferase Inhibitors
aclidinium,0.145516667,Acetylcholine receptor antagonist
acrivastine,-0.1801,Histamine receptor antagonist
actarit,0.045528571,Interleukin inhibitor
ACY-1215,-0.427853846,HDAC inhibitor
acyclovir,-0.581933333,DNA inhibitor
adapalene,0.685175,Retinoid receptor agonist
adaprev,-0.49055,TGF-beta receptor inhibitor
adarotene,0.8062,Retinoid receptor agonist
adatanserin,-0.356442857,Serotonin receptor agonist|Serotonin receptor antagonist
adenosine,0.229725,Adenosine receptor agonist
adiphenine,-0.850266667,Acetylcholine receptor antagonist
adipiodone,-0.53286,Radiopaque medium
ADL-5859,0,Opioid receptor agonist
adoprazine,-0.013925,Dopamine receptor antagonist|Serotonin receptor agonist
AEE-788,0.6988,EGFR inhibitor|VEGFR inhibitor
AEG-3482,0.71758,HSP inducer|Protein kinase inhibitor
afatinib,1.050588235,EGFR inhibitor
aflatoxin-b1,0.3699,Carcinogen
afloqualone,-0.4218875,Acetylcholine receptor antagonist
AG-1024,0,IGF-1 inhibitor
AG-14361,-0.65575,PARP inhibitor
AG-370,0.022314286,PDGFR inhibitor
AG-490,-0.5301875,EGFR inhibitor|ERBB2 inhibitor|JAK inhibitor
AG-494,0.250125,EGFR inhibitor|Tyrosine kinase inhibitor
AG-592,1.694488889,Tyrosine kinase inhibitor
AG-879,1.3169125,Tyrosine kinase inhibitor|Angiogenesis inhibitor|VEGFR inhibitor
AG-957,1.314355556,Protein tyrosine kinase inhibitor
AG-99,0.01155,Tyrosine kinase inhibitor
AGI-5198,-0.133128571,Isocitrate dehydrogenase inhibitor
AGI-6780,-1.040475,Isocitrate dehydrogenase inhibitor
AGK-2,-0.358895455,SIRT inhibitor
AGN-192403,0.137885714,Imidazoline receptor ligand
agomelatine,-0.0031875,Melatonin receptor agonist|Serotonin receptor antagonist
AGP-103,-0.279325,Membrane integrity inhibitor
AH-11110,0.215225,Adrenergic receptor antagonist
AICA-ribonucleotide,-0.399475,AMPK activator
ajmaline,-0.7006,Sodium channel inhibitor
alagebrium,0.12955,Glycosylation inhibitor
alaproclate,-0.236214286,Serotonin receptor antagonist
albendazole,-0.05965,Tubulin inhibitor
alclometasone,-0.15164,Glucocorticoid receptor agonist
alda-1,-1.071438462,Aldehyde dehydrogenase activator
alectinib,0.26775,ALK inhibitor
alendronic-acid,0,Bone resorption inhibitor
alfadolone-acetate,-0.3652,GABA receptor agonist
alfaxalone,-0.467866667,Chloride channel activator|GABA receptor agonist
alfuzosin,-0.206375,Adrenergic receptor antagonist
alimemazine,0.634314286,Histamine receptor agonist
alisertib,-0.101927273,Aurora kinase inhibitor
aliskiren,-0.050933333,Antihypertensive|Peptidase inhibitor|Protease inhibitor|Renin inhibitor
alitretinoin,-0.10074,Retinoid receptor agonist
alizapride,-0.25525,Dopamine receptor antagonist
allantoin,0,Product of purine catabolism used in cosmetics
allopurinol,-0.414636364,Xanthine oxidase inhibitor
almitrine,-0.241085714,Neurotransmitter agonist
almorexant,-0.6453,Orexin receptor antagonist
alogliptin,-0.23412,Dipeptidyl peptidase inhibitor
aloisine,-0.745314286,CDK inhibitor|CFTR channel agonist|GSK inhibitor
alosetron,0.234533333,Serotonin receptor antagonist
alpelisib,-0.495095455,PI3K inhibitor
alpha-estradiol,-0.029925,Estrogen receptor agonist
alpha-methylserotonin,1.0111,Serotonin receptor agonist
alprazolam,-0.44646,Benzodiazepine receptor agonist
alprenolol,0.434,Adrenergic receptor antagonist
alprostadil,-0.349446667,Prostanoid receptor agonist
alrestatin,-0.106188889,Aldose reductase inhibitor
altanserin,-0.04635,Serotonin receptor antagonist
altizide,-0.38042,Diuretic
altrenogest,0,Progestogen hormone
altretamine,-0.455907692,DNA inhibitor
alverine,-0.1167,Muscle relaxant
alvespimycin,1.217122222,HSP inhibitor
alvimopan,-0.4342,Opioid receptor antagonist
alvocidib,-0.31518125,CDK inhibitor
ALW-II-38-3,-0.731905556,Ephrin inhibitor
ALW-II-49-7,-0.157180952,Ephrin inhibitor
ALX-5407,-0.587354545,Glycine transporter inhibitor
AM-24,-0.048763636,Lipoxygenase inhibitor
AM-251,0.38861,Cannabinoid receptor antagonist
AM-281,0.411133333,Cannabinoid receptor antagonist
AM-404,0.803966667,Cyclooxygenase inhibitor|FAAH inhibitor|TRPV antagonist
AM-580,0.22902,Retinoid receptor agonist
AM-630,-0.26828,Cannabinoid receptor antagonist
AM-92016,-0.0188,Potassium channel antagonist
amantadine,-0.386822222,Glutamate receptor antagonist
ambelline,0.04462,Plant alkaloid
ambrisentan,0.26884,Endothelin receptor antagonist
ambroxol,-0.069076923,Sodium channel inhibitor
amcinonide,0.355655556,Glucocorticoid receptor agonist
AMD-11070,0.047733333,CC chemokine receptor antagonist
amfepramone,-0.008,Adrenergic receptor agonist
AMG-208,-0.770175,Tyrosine kinase inhibitor
AMG-232,0.02145,MDM inhibitor
AMG-487,-0.188314286,CC chemokine receptor antagonist
AMG-517,-0.1682,TRPV antagonist
AMG-837,0.159483333,Fatty acid receptor agonist
AMG-900,0,Aurora kinase inhibitor
AMG-9810,0,TRPV antagonist
amifostine,-0.392383333,Reducing agent
amikacin,-0.9312,Bacterial 30S ribosomal subunit inhibitor
amiloride,-0.272307692,Sodium channel inhibitor
amineptine,-0.247633333,Dopamine receptor agonist
aminocaproic-acid,-0.175677778,Plasminogen activator inhibitor
aminogenistein,0.183355556,Src inhibitor
aminoglutethimide,-0.294555556,Glucocorticoid receptor antagonist
aminoguanidine,0,Nitric oxide synthase inhibitor
aminoindazole,-0.1238875,Ionophore
aminolevulinic-acid,0.208413333,Oxidizing agent
aminomethyltransferase,-0.280842857,Nitric oxide synthase inhibitor
aminopentamide,-0.00148,Acetylcholine receptor antagonist
aminopurvalanol-a,-0.27205,Tyrosine kinase inhibitor|CDK inhibitor
aminosalicylic-acid,0.115516667,Cyclooxygenase inhibitor
amiodarone,-0.144958333,Potassium channel antagonist
amiprilose,-0.339466667,CD antagonist
amisulpride,-0.453116667,Dopamine receptor antagonist
amitifadine,-0.2168,Serotonin receptor antagonist
amitriptyline,0.0216625,Norepinephrine inhibitor|Norepinephrine reuptake inhibitor|Serotonin receptor antagonist|Serotonin reuptake inhibitor
amlexanox,-0.17071,Histamine receptor antagonist
amlodipine,0.1918,Calcium channel blocker
