pert_iname,norm_cs,moa
1-benzylimidazole,-0.106975,Thromboxane synthase inhibitor
1-monopalmitin,0.010775,P-glycoprotein inhibitor
1-phenylbiguanide,0.23124,Serotonin receptor agonist
10-DEBC,-0.001166667,AKT inhibitor
2-aminopurine,0.132714286,Serine/threonine kinase inhibitor
2-iminobiotin,0.02065,Nitric oxide synthase inhibitor
2-iodomelatonin,0.8371,Melatonin receptor agonist
3-CPMT,-0.7878,Dopamine receptor antagonist
3-deazaadenosine,0.22468,Adenosylhomocysteinase inhibitor
3-matida,-0.370366667,Glutamate receptor antagonist
3-methyl-GABA,-0.329566667,GABA aminotransferase activator
3-MPPI,0.442275,Adrenergic receptor antagonist
4-chlorophenylguanidine,0.1138,Urokinase inhibitor
4-HQN,-0.698,PARP inhibitor
4-mu-8C,0.5191,IRE1 inhibitor
5-BDBD,0,Purinergic receptor antagonist
5-FP,-0.24335,Thymidylate synthase inhibitor
5-iodotubercidin,0.353022222,Adenosine kinase inhibitor
5-methoxytryptamine,-0.005555556,Serotonin receptor agonist
5-nonyloxytryptamine,0.3817125,Serotonin receptor agonist
5'-guanidinonaltrindole,0.0003,Opioid receptor antagonist
6-aminochrysene,0.31422,Transferase inhibitor
6-benzylaminopurine,-0.079266667,Purinergic receptor activator
6-chloromelatonin,-0.7438,Melatonin receptor agonist
7-aminocephalosporanic-acid,0,Beta lactamase inhibitor
7-hydroxystaurosporine,0,CDK inhibitor|CHK inhibitor|PKC inhibitor
7-nitroindazole,-0.0196,Nitric oxide synthase inhibitor
7b-cis,-0.183,Exportin antagonist
8-bromo-cGMP,-0.0664,PKA activator
A-205804,-0.0665,ICAM1 inhibitor
A-366,-0.08415,Histone lysine methyltransferase inhibitor
A-443654,0.09084,AKT inhibitor
A-61603,0,Adrenergic receptor agonist
A-66,-0.189217647,PI3K inhibitor
A-7,0.84955,Calmodulin inhibitor
A-740003,0,Purinergic receptor antagonist
A-769662,-0.04994,AMPK activator
ABC-294640,0,Sphingosine kinase inhibitor
ABT-202,0.4998,Acetylcholine receptor agonist
ABT-239,-0.049925,Histamine receptor antagonist
ABT-702,0.26645,Adenosine kinase inhibitor
ABT-724,-0.244842857,Dopamine receptor agonist
ABT-737,-0.261490476,BCL inhibitor
ABT-751,-0.361914286,Tubulin inhibitor
AC-264613,-0.4141,PAR agonist
AC-55649,0.14103,Retinoid receptor agonist
acalabrutinib,0.000930769,BTK inhibitor
acarbose,0.12933,Glucosidase inhibitor
ACDPP,0,Glutamate receptor antagonist
acebutolol,0.41,Adrenergic receptor antagonist
acecainide,0.2581,Polarization inhibitor
aceclofenac,0.3856,Prostanoid receptor antagonist
acemetacin,0.36015,Cyclooxygenase inhibitor
acenocoumarol,-0.449575,Vitamin K antagonist
acepromazine,0.5728,Dopamine receptor antagonist
acetaldehyde,0.281333333,Metabolite of ethanol with a role in ethanol addiction
acetamide,-0.188,Solvent
acetazolamide,-0.261085714,Carbonic anhydrase inhibitor
acetohexamide,0.445525,ATP channel blocker
acetylcholine,-0.31925,Acetylcholine receptor agonist
acetylsalicylsalicylic-acid,-0.3553,Cyclooxygenase inhibitor
acexamic-acid,-0.0895375,Gastrin inhibitor|5-alpha reductase inhibitor|Reducing agent
acifran,-0.171011111,Cholesterol inhibitor
acipimox,-0.1728,Cholesterol inhibitor
acitretin,-0.569885714,Retinoid receptor agonist
acivicin,-0.095585714,Gamma glutamyltransferase Inhibitors
aclidinium,-0.267866667,Acetylcholine receptor antagonist
acrivastine,0.09812,Histamine receptor antagonist
actarit,0.033971429,Interleukin inhibitor
ACY-1215,0.278376923,HDAC inhibitor
acyclovir,0.422966667,DNA inhibitor
adapalene,0.263725,Retinoid receptor agonist
adaprev,0.4079,TGF-beta receptor inhibitor
adarotene,0.14044,Retinoid receptor agonist
adatanserin,0.027342857,Serotonin receptor agonist|Serotonin receptor antagonist
adenosine,-0.0919,Adenosine receptor agonist
adiphenine,-0.275866667,Acetylcholine receptor antagonist
adipiodone,0.28256,Radiopaque medium
ADL-5859,0.60495,Opioid receptor agonist
adoprazine,0.0786,Dopamine receptor antagonist|Serotonin receptor agonist
AEE-788,0.03704,EGFR inhibitor|VEGFR inhibitor
AEG-3482,-0.01104,HSP inducer|Protein kinase inhibitor
afatinib,0.226676471,EGFR inhibitor
aflatoxin-b1,0.0458,Carcinogen
afloqualone,-0.1446375,Acetylcholine receptor antagonist
AG-1024,0,IGF-1 inhibitor
AG-14361,-0.102742857,PARP inhibitor
AG-370,-0.282585714,PDGFR inhibitor
AG-490,0.2818,EGFR inhibitor|ERBB2 inhibitor|JAK inhibitor
AG-494,0.4000375,EGFR inhibitor|Tyrosine kinase inhibitor
AG-592,0.3962,Tyrosine kinase inhibitor
AG-879,0.1648875,Tyrosine kinase inhibitor|Angiogenesis inhibitor|VEGFR inhibitor
AG-957,0.145177778,Protein tyrosine kinase inhibitor
AG-99,0.283733333,Tyrosine kinase inhibitor
AGI-5198,0.224571429,Isocitrate dehydrogenase inhibitor
AGI-6780,1.048775,Isocitrate dehydrogenase inhibitor
AGK-2,-0.321709091,SIRT inhibitor
AGN-192403,0.013814286,Imidazoline receptor ligand
agomelatine,-0.059725,Melatonin receptor agonist|Serotonin receptor antagonist
AGP-103,0.412175,Membrane integrity inhibitor
AH-11110,0.49315,Adrenergic receptor antagonist
AICA-ribonucleotide,-0.071458333,AMPK activator
ajmaline,-1.0803,Sodium channel inhibitor
alagebrium,0.1451,Glycosylation inhibitor
alaproclate,0.1015,Serotonin receptor antagonist
albendazole,-0.2728,Tubulin inhibitor
alclometasone,0.2605,Glucocorticoid receptor agonist
alda-1,-0.344169231,Aldehyde dehydrogenase activator
alectinib,0.169021429,ALK inhibitor
alendronic-acid,0,Bone resorption inhibitor
alfadolone-acetate,-0.367866667,GABA receptor agonist
alfaxalone,0.209083333,Chloride channel activator|GABA receptor agonist
alfuzosin,-0.257225,Adrenergic receptor antagonist
alimemazine,-0.001314286,Histamine receptor agonist
alisertib,0.114854545,Aurora kinase inhibitor
aliskiren,0.375166667,Antihypertensive|Peptidase inhibitor|Protease inhibitor|Renin inhibitor
alitretinoin,-0.00153,Retinoid receptor agonist
alizapride,0.341433333,Dopamine receptor antagonist
allantoin,-0.2654,Product of purine catabolism used in cosmetics
allopurinol,-0.1607,Xanthine oxidase inhibitor
almitrine,0.170014286,Neurotransmitter agonist
almorexant,0.0316,Orexin receptor antagonist
alogliptin,0.07822,Dipeptidyl peptidase inhibitor
aloisine,-0.049314286,CDK inhibitor|CFTR channel agonist|GSK inhibitor
alosetron,-0.526366667,Serotonin receptor antagonist
alpelisib,-0.06325,PI3K inhibitor
alpha-estradiol,-0.776425,Estrogen receptor agonist
alpha-methylserotonin,-0.9712,Serotonin receptor agonist
alprazolam,0.22934,Benzodiazepine receptor agonist
alprenolol,0.615857143,Adrenergic receptor antagonist
alprostadil,0.033786667,Prostanoid receptor agonist
alrestatin,0.041866667,Aldose reductase inhibitor
altanserin,-0.12994,Serotonin receptor antagonist
altizide,0.84792,Diuretic
altrenogest,-0.277225,Progestogen hormone
altretamine,0.220107692,DNA inhibitor
alverine,-0.329328571,Muscle relaxant
alvespimycin,0.089844444,HSP inhibitor
alvimopan,-0.059277778,Opioid receptor antagonist
alvocidib,-0.28226875,CDK inhibitor
ALW-II-38-3,-0.425522222,Ephrin inhibitor
ALW-II-49-7,-0.282371429,Ephrin inhibitor
ALX-5407,0.155481818,Glycine transporter inhibitor
AM-24,0.371736364,Lipoxygenase inhibitor
AM-251,0.28115,Cannabinoid receptor antagonist
AM-281,-0.719516667,Cannabinoid receptor antagonist
AM-404,0.129183333,Cyclooxygenase inhibitor|FAAH inhibitor|TRPV antagonist
AM-580,-0.29836,Retinoid receptor agonist
AM-630,-0.33439,Cannabinoid receptor antagonist
AM-92016,0.2244125,Potassium channel antagonist
amantadine,-0.255655556,Glutamate receptor antagonist
ambelline,0.40426,Plant alkaloid
ambrisentan,-1.056,Endothelin receptor antagonist
ambroxol,0.111415385,Sodium channel inhibitor
amcinonide,0.675166667,Glucocorticoid receptor agonist
AMD-11070,0.02795,CC chemokine receptor antagonist
amfepramone,0.3942,Adrenergic receptor agonist
AMG-208,-0.026825,Tyrosine kinase inhibitor
AMG-232,-0.68065,MDM inhibitor
AMG-487,-0.450728571,CC chemokine receptor antagonist
AMG-517,-0.392316667,TRPV antagonist
AMG-837,0.339066667,Fatty acid receptor agonist
AMG-900,0,Aurora kinase inhibitor
AMG-9810,0.47875,TRPV antagonist
amifostine,0.274816667,Reducing agent
amikacin,-1.0654,Bacterial 30S ribosomal subunit inhibitor
amiloride,-0.064676923,Sodium channel inhibitor
amineptine,0,Dopamine receptor agonist
aminocaproic-acid,0.098611111,Plasminogen activator inhibitor
aminogenistein,-0.142877778,Src inhibitor
aminoglutethimide,0.365377778,Glucocorticoid receptor antagonist
aminoguanidine,0.710075,Nitric oxide synthase inhibitor
aminoindazole,-0.1034375,Ionophore
aminolevulinic-acid,0.264673333,Oxidizing agent
aminomethyltransferase,-0.036242857,Nitric oxide synthase inhibitor
aminopentamide,-0.57184,Acetylcholine receptor antagonist
aminopurvalanol-a,0.647075,Tyrosine kinase inhibitor|CDK inhibitor
aminosalicylic-acid,0.1308,Cyclooxygenase inhibitor
amiodarone,0.121766667,Potassium channel antagonist
amiprilose,-0.016744444,CD antagonist
