Rank_metric,Drug_set,ES,NES,p_value,Position_at_max,FDR_q_value
norm_cs,Thromboxane synthase inhibitor,0.57953,1.5,0.0791,417,0.633
norm_cs,P-glycoprotein inhibitor,0.65225,1.69,0.0319,1044,0.386
norm_cs,Serotonin receptor agonist,0.23819,0.609,0.911,986,0.965
norm_cs,AKT inhibitor,0.302,0.763,0.733,784,1
norm_cs,Nitric oxide synthase inhibitor,0.46651,1.2,0.265,156,0.812
norm_cs,Melatonin receptor agonist,-0.42209,-1.13,0.322,3328,0.942
norm_cs,Dopamine receptor antagonist,-0.23582,-0.62,0.914,3018,0.965
norm_cs,Glutamate receptor antagonist,-0.27617,-0.734,0.746,2708,1
norm_cs,Adrenergic receptor antagonist,0.31846,0.792,0.696,967,1
norm_cs,PARP inhibitor,-0.33609,-0.898,0.583,2817,0.895
norm_cs,Thymidylate synthase inhibitor,-0.3169,-0.829,0.661,3308,0.963
norm_cs,Opioid receptor antagonist,0.29498,0.755,0.739,99,0.977
norm_cs,Histone lysine methyltransferase inhibitor,0.32079,0.819,0.651,181,1
norm_cs,PI3K inhibitor,0.29387,0.737,0.774,954,0.941
norm_cs,Calmodulin inhibitor,0.62852,1.61,0.0497,756,0.481
norm_cs,Acetylcholine receptor agonist,-0.28456,-0.754,0.751,2883,1
norm_cs,Histamine receptor antagonist,-0.23649,-0.625,0.874,3351,0.999
norm_cs,Dopamine receptor agonist,0.24337,0.617,0.893,701,0.968
norm_cs,BCL inhibitor,0.32331,0.821,0.676,876,1
norm_cs,Tubulin inhibitor,-0.38461,-0.999,0.434,2806,0.972
norm_cs,Retinoid receptor agonist,-0.20388,-0.542,0.941,2979,0.994
norm_cs,BTK inhibitor,0.47634,1.22,0.253,608,0.794
norm_cs,Glucosidase inhibitor,0.33739,0.866,0.57,945,1
norm_cs,Prostanoid receptor antagonist,0.26086,0.657,0.86,993,0.967
norm_cs,Cyclooxygenase inhibitor,-0.24009,-0.637,0.879,2720,1
norm_cs,Vitamin K antagonist,-0.4878,-1.32,0.188,3224,0.859
norm_cs,Carbonic anhydrase inhibitor,-0.38343,-1.03,0.415,1370,1
norm_cs,ATP channel blocker,-0.49326,-1.33,0.164,3148,0.941
norm_cs,Cholesterol inhibitor,-0.56605,-1.5,0.0775,3320,0.787
norm_cs,Acetylcholine receptor antagonist,-0.18375,-0.473,1,2745,0.988
norm_cs,HDAC inhibitor,0.30856,0.788,0.695,917,1
norm_cs,DNA inhibitor,0.28705,0.738,0.751,942,0.965
