pert_iname,norm_cs,moa
1-benzylimidazole,-0.1096375,Thromboxane synthase inhibitor
1-monopalmitin,0.516825,P-glycoprotein inhibitor
1-phenylbiguanide,-0.09464,Serotonin receptor agonist
10-DEBC,0.394966667,AKT inhibitor
2-aminopurine,0.106157143,Serine/threonine kinase inhibitor
2-iminobiotin,-0.24095,Nitric oxide synthase inhibitor
2-iodomelatonin,0.9684,Melatonin receptor agonist
3-CPMT,-0.932,Dopamine receptor antagonist
3-deazaadenosine,0.09699,Adenosylhomocysteinase inhibitor
3-matida,-0.3622,Glutamate receptor antagonist
3-methyl-GABA,0.623366667,GABA aminotransferase activator
3-MPPI,-0.296075,Adrenergic receptor antagonist
4-chlorophenylguanidine,-0.44325,Urokinase inhibitor
4-HQN,-0.035833333,PARP inhibitor
4-mu-8C,-0.49835,IRE1 inhibitor
5-BDBD,-0.64205,Purinergic receptor antagonist
5-FP,0.042775,Thymidylate synthase inhibitor
5-iodotubercidin,-0.445766667,Adenosine kinase inhibitor
5-methoxytryptamine,-0.058655556,Serotonin receptor agonist
5-nonyloxytryptamine,0.5709375,Serotonin receptor agonist
5'-guanidinonaltrindole,-0.554366667,Opioid receptor antagonist
6-aminochrysene,-0.0038,Transferase inhibitor
6-benzylaminopurine,0,Purinergic receptor activator
6-chloromelatonin,0,Melatonin receptor agonist
7-aminocephalosporanic-acid,-0.8913,Beta lactamase inhibitor
7-hydroxystaurosporine,0.7046,CDK inhibitor|CHK inhibitor|PKC inhibitor
7-nitroindazole,-0.056191667,Nitric oxide synthase inhibitor
7b-cis,0.612583333,Exportin antagonist
8-bromo-cGMP,0.42405,PKA activator
A-205804,-0.57315,ICAM1 inhibitor
A-366,0,Histone lysine methyltransferase inhibitor
A-443654,0.00811,AKT inhibitor
A-61603,0.8281,Adrenergic receptor agonist
A-66,0.1602,PI3K inhibitor
A-7,0.50725,Calmodulin inhibitor
A-740003,0.90555,Purinergic receptor antagonist
A-769662,-0.147953333,AMPK activator
ABC-294640,-1.1931,Sphingosine kinase inhibitor
ABT-202,0.0393,Acetylcholine receptor agonist
ABT-239,0.5585,Histamine receptor antagonist
ABT-702,0.0436,Adenosine kinase inhibitor
ABT-724,-0.256514286,Dopamine receptor agonist
ABT-737,-0.319104762,BCL inhibitor
ABT-751,-0.338928571,Tubulin inhibitor
AC-264613,0.13685,PAR agonist
AC-55649,-0.09911,Retinoid receptor agonist
acalabrutinib,0.139053846,BTK inhibitor
acarbose,-0.17358,Glucosidase inhibitor
ACDPP,0.9492,Glutamate receptor antagonist
acebutolol,0.06366,Adrenergic receptor antagonist
acecainide,0,Polarization inhibitor
aceclofenac,0,Prostanoid receptor antagonist
acemetacin,-0.54825,Cyclooxygenase inhibitor
acenocoumarol,0,Vitamin K antagonist
acepromazine,-0.008,Dopamine receptor antagonist
acetaldehyde,0.3544,Metabolite of ethanol with a role in ethanol addiction
acetamide,0.25344,Solvent
acetazolamide,0.074257143,Carbonic anhydrase inhibitor
acetohexamide,-0.30605,ATP channel blocker
acetylcholine,0.286025,Acetylcholine receptor agonist
acetylsalicylsalicylic-acid,0.4553,Cyclooxygenase inhibitor
acexamic-acid,0.161325,Gastrin inhibitor|5-alpha reductase inhibitor|Reducing agent
acifran,0.112766667,Cholesterol inhibitor
acipimox,0.0353,Cholesterol inhibitor
acitretin,-0.233328571,Retinoid receptor agonist
acivicin,0.124357143,Gamma glutamyltransferase Inhibitors
aclidinium,-0.431666667,Acetylcholine receptor antagonist
acrivastine,0.12247,Histamine receptor antagonist
actarit,0.009757143,Interleukin inhibitor
ACY-1215,0.135938462,HDAC inhibitor
acyclovir,-0.160433333,DNA inhibitor
adapalene,-0.10055,Retinoid receptor agonist
adaprev,-0.40545,TGF-beta receptor inhibitor
adarotene,0.19194,Retinoid receptor agonist
adatanserin,-0.145285714,Serotonin receptor agonist|Serotonin receptor antagonist
adenosine,0,Adenosine receptor agonist
adiphenine,0.329533333,Acetylcholine receptor antagonist
adipiodone,-0.18742,Radiopaque medium
ADL-5859,0,Opioid receptor agonist
adoprazine,0.38285,Dopamine receptor antagonist|Serotonin receptor agonist
AEE-788,0.1753,EGFR inhibitor|VEGFR inhibitor
AEG-3482,-0.15766,HSP inducer|Protein kinase inhibitor
afatinib,0.829023529,EGFR inhibitor
aflatoxin-b1,-0.26375,Carcinogen
afloqualone,-0.127275,Acetylcholine receptor antagonist
AG-1024,1.1327,IGF-1 inhibitor
AG-14361,-0.614321429,PARP inhibitor
AG-370,0.1035,PDGFR inhibitor
AG-490,0.2342125,EGFR inhibitor|ERBB2 inhibitor|JAK inhibitor
AG-494,0.2543375,EGFR inhibitor|Tyrosine kinase inhibitor
AG-592,-0.408711111,Tyrosine kinase inhibitor
AG-879,0.19465,Tyrosine kinase inhibitor|Angiogenesis inhibitor|VEGFR inhibitor
AG-957,0.5983,Protein tyrosine kinase inhibitor
AG-99,-0.43015,Tyrosine kinase inhibitor
AGI-5198,0.168085714,Isocitrate dehydrogenase inhibitor
AGI-6780,0.2789,Isocitrate dehydrogenase inhibitor
AGK-2,-0.01705,SIRT inhibitor
AGN-192403,0.261514286,Imidazoline receptor ligand
agomelatine,0.079,Melatonin receptor agonist|Serotonin receptor antagonist
AGP-103,-0.1026375,Membrane integrity inhibitor
AH-11110,-0.459375,Adrenergic receptor antagonist
AICA-ribonucleotide,0.067266667,AMPK activator
ajmaline,-0.885,Sodium channel inhibitor
alagebrium,0.143333333,Glycosylation inhibitor
alaproclate,-0.155185714,Serotonin receptor antagonist
albendazole,0.022275,Tubulin inhibitor
alclometasone,0.03822,Glucocorticoid receptor agonist
alda-1,-0.407161538,Aldehyde dehydrogenase activator
alectinib,-0.624985714,ALK inhibitor
alendronic-acid,0.8586,Bone resorption inhibitor
alfadolone-acetate,0.293866667,GABA receptor agonist
alfaxalone,0.129616667,Chloride channel activator|GABA receptor agonist
alfuzosin,0.0435,Adrenergic receptor antagonist
alimemazine,0.516685714,Histamine receptor agonist
alisertib,0.111581818,Aurora kinase inhibitor
aliskiren,0.012322222,Antihypertensive|Peptidase inhibitor|Protease inhibitor|Renin inhibitor
alitretinoin,0.0752,Retinoid receptor agonist
alizapride,0.4477,Dopamine receptor antagonist
allantoin,1.0145,Product of purine catabolism used in cosmetics
allopurinol,0.382827273,Xanthine oxidase inhibitor
almitrine,0.171757143,Neurotransmitter agonist
almorexant,-0.1252,Orexin receptor antagonist
alogliptin,-0.67764,Dipeptidyl peptidase inhibitor
aloisine,0.125442857,CDK inhibitor|CFTR channel agonist|GSK inhibitor
alosetron,0.3516,Serotonin receptor antagonist
alpelisib,-0.153872727,PI3K inhibitor
alpha-estradiol,-0.51155,Estrogen receptor agonist
alpha-methylserotonin,0,Serotonin receptor agonist
alprazolam,-0.59328,Benzodiazepine receptor agonist
alprenolol,0.3372,Adrenergic receptor antagonist
alprostadil,0.02318,Prostanoid receptor agonist
alrestatin,-0.523777778,Aldose reductase inhibitor
altanserin,0.12259,Serotonin receptor antagonist
altizide,-0.60394,Diuretic
altrenogest,-0.254975,Progestogen hormone
altretamine,0.054484615,DNA inhibitor
alverine,-0.1407,Muscle relaxant
alvespimycin,-0.1182,HSP inhibitor
alvimopan,0.753744444,Opioid receptor antagonist
alvocidib,-0.4092,CDK inhibitor
ALW-II-38-3,0.031966667,Ephrin inhibitor
