Rank_metric,Drug_set,ES,NES,p_value,Position_at_max,FDR_q_value
norm_cs,P-glycoprotein inhibitor,0.75036,1.89,0.00804,764,0.355
norm_cs,Serotonin receptor agonist,0.21291,0.54,0.955,889,0.983
norm_cs,AKT inhibitor,0.50179,1.28,0.21,687,0.695
norm_cs,Nitric oxide synthase inhibitor,-0.61815,-1.64,0.0842,3330,0.374
norm_cs,Melatonin receptor agonist,0.51947,1.33,0.169,77,0.744
norm_cs,Dopamine receptor antagonist,0.34443,0.875,0.594,724,0.944
norm_cs,Glutamate receptor antagonist,-0.20247,-0.543,0.964,2713,1
norm_cs,Adrenergic receptor antagonist,-0.16306,-0.431,0.997,2777,1
norm_cs,PARP inhibitor,0.20853,0.523,0.977,466,0.974
norm_cs,Purinergic receptor antagonist,0.34111,0.852,0.624,759,0.923
norm_cs,Thymidylate synthase inhibitor,0.41881,1.07,0.39,1189,0.841
norm_cs,Opioid receptor antagonist,0.37735,0.955,0.507,208,0.912
norm_cs,Adrenergic receptor agonist,-0.1312,-0.357,1,3402,1
norm_cs,PI3K inhibitor,0.60579,1.5,0.0931,883,0.622
norm_cs,Calmodulin inhibitor,0.48708,1.23,0.231,512,0.669
norm_cs,Acetylcholine receptor agonist,-0.25266,-0.675,0.837,3067,1
norm_cs,Histamine receptor antagonist,0.29424,0.748,0.737,626,0.983
norm_cs,Dopamine receptor agonist,0.24333,0.609,0.913,1096,1
norm_cs,BCL inhibitor,-0.25591,-0.678,0.859,920,1
norm_cs,Tubulin inhibitor,-0.32625,-0.882,0.565,2816,1
norm_cs,Retinoid receptor agonist,-0.15145,-0.399,0.997,2649,1
norm_cs,BTK inhibitor,0.4885,1.23,0.246,106,0.669
norm_cs,Glucosidase inhibitor,0.26633,0.684,0.84,1220,0.989
norm_cs,Cyclooxygenase inhibitor,-0.20284,-0.552,0.961,3392,1
norm_cs,Carbonic anhydrase inhibitor,-0.47358,-1.28,0.204,2588,0.956
norm_cs,ATP channel blocker,0.43754,1.1,0.334,412,0.829
norm_cs,Cholesterol inhibitor,-0.38811,-1.02,0.406,2890,1
norm_cs,Acetylcholine receptor antagonist,0.23677,0.596,0.925,678,0.998
norm_cs,HDAC inhibitor,0.67271,1.67,0.0389,672,0.47
norm_cs,DNA inhibitor,-0.22625,-0.614,0.924,2966,1
norm_cs,TGF-beta receptor inhibitor,-0.67902,-1.82,0.0167,2825,0.25
norm_cs,EGFR inhibitor,0.53379,1.35,0.167,1160,0.751
norm_cs,Carcinogen,-0.28443,-0.757,0.737,3562,1
norm_cs,IGF-1 inhibitor,0.75261,1.88,0.00311,242,0.257
norm_cs,PDGFR inhibitor,0.37742,0.948,0.5,1076,0.912
norm_cs,Tyrosine kinase inhibitor,0.40533,1.04,0.412,839,0.872
norm_cs,Protein tyrosine kinase inhibitor,0.51372,1.29,0.199,317,0.692
norm_cs,SIRT inhibitor,0.38781,0.968,0.474,188,0.899
norm_cs,Membrane integrity inhibitor,0.4911,1.23,0.235,774,0.669
norm_cs,Sodium channel inhibitor,-0.28119,-0.772,0.733,3083,1
norm_cs,Serotonin receptor antagonist,0.28914,0.728,0.801,805,0.958
norm_cs,Glucocorticoid receptor agonist,0.42345,1.06,0.379,1152,0.847
norm_cs,ALK inhibitor,0.49158,1.24,0.235,218,0.743
norm_cs,Bone resorption inhibitor,0.58713,1.5,0.0896,352,0.622
norm_cs,GABA receptor agonist,0.29385,0.736,0.751,979,0.968
norm_cs,Histamine receptor agonist,-0.28952,-0.781,0.683,2841,1
norm_cs,Aurora kinase inhibitor,0.39011,0.989,0.468,717,0.899
norm_cs,Dipeptidyl peptidase inhibitor,-0.64309,-1.7,0.0293,3092,0.407
norm_cs,Estrogen receptor agonist,-0.39961,-1.04,0.38,2833,0.999
norm_cs,Benzodiazepine receptor agonist,0.2625,0.664,0.853,972,0.983
norm_cs,Prostanoid receptor agonist,-0.29091,-0.78,0.682,3184,1
norm_cs,Aldose reductase inhibitor,0.23512,0.601,0.908,552,1
norm_cs,Muscle relaxant,0.34186,0.865,0.63,107,0.951
norm_cs,HSP inhibitor,0.56513,1.41,0.116,982,0.761
norm_cs,CDK inhibitor,-0.26247,-0.711,0.784,3227,1
norm_cs,Lipoxygenase inhibitor,-0.26657,-0.697,0.799,3000,1
norm_cs,Cannabinoid receptor antagonist,-0.22734,-0.605,0.907,3555,1
norm_cs,Potassium channel antagonist,0.27602,0.69,0.813,1340,0.991
norm_cs,Endothelin receptor antagonist,0.27454,0.695,0.819,699,0.996
norm_cs,CC chemokine receptor antagonist,0.35658,0.913,0.555,1131,0.924
norm_cs,TRPV antagonist,-0.42672,-1.12,0.314,2727,0.956
norm_cs,Src inhibitor,0.4511,1.14,0.296,1143,0.777
norm_cs,Calcium channel blocker,0.39988,1.03,0.404,1042,0.876
norm_cs,Topoisomerase inhibitor,-0.26271,-0.701,0.799,3096,1
norm_cs,Norepinephrine inhibitor,0.52327,1.31,0.186,1228,0.739
norm_cs,Glutamate receptor agonist,0.50534,1.29,0.193,345,0.692
norm_cs,Bacterial cell wall synthesis inhibitor,0.24489,0.611,0.903,557,1
norm_cs,HIV inhibitor,0.25703,0.65,0.836,271,0.99
norm_cs,Phosphodiesterase inhibitor,-0.19116,-0.515,0.97,2638,1
norm_cs,Anesthetic - local,0.34711,0.894,0.564,961,0.934
norm_cs,Cannabinoid receptor agonist,0.24201,0.617,0.902,847,1
norm_cs,Aromatase inhibitor,0.32769,0.827,0.655,953,0.931
norm_cs,Androgen receptor antagonist,-0.42054,-1.12,0.295,2728,0.956
norm_cs,Cytochrome P450 inhibitor,-0.21034,-0.565,0.951,3103,1
norm_cs,GABA receptor antagonist,-0.2115,-0.567,0.934,3138,1
norm_cs,Angiogenesis inhibitor,-0.25022,-0.669,0.833,2639,1
norm_cs,Antimalarial,0.66305,1.71,0.0261,420,0.478
norm_cs,Sigma receptor antagonist,0.38992,0.983,0.47,683,0.896
norm_cs,Tachykinin antagonist,0.33345,0.856,0.623,1168,0.941
norm_cs,GSK inhibitor,-0.39573,-1.09,0.356,2972,0.912
norm_cs,MEK inhibitor,0.5563,1.41,0.114,711,0.761
norm_cs,Farnesyltransferase inhibitor,0.42627,1.08,0.372,619,0.837
norm_cs,Phospholipase inhibitor,-0.26409,-0.694,0.806,3194,1
norm_cs,TRPV agonist,0.59923,1.52,0.0669,254,0.706
