pert_iname,norm_cs,moa
1-benzylimidazole,0.2420125,Thromboxane synthase inhibitor
1-monopalmitin,0.235575,P-glycoprotein inhibitor
1-phenylbiguanide,-0.0617,Serotonin receptor agonist
10-DEBC,0.368673333,AKT inhibitor
2-aminopurine,-0.468685714,Serine/threonine kinase inhibitor
2-iminobiotin,-0.39445,Nitric oxide synthase inhibitor
2-iodomelatonin,0,Melatonin receptor agonist
3-CPMT,-1.0664,Dopamine receptor antagonist
3-deazaadenosine,0.25889,Adenosylhomocysteinase inhibitor
3-matida,0.914833333,Glutamate receptor antagonist
3-methyl-GABA,0.469133333,GABA aminotransferase activator
3-MPPI,-0.6198,Adrenergic receptor antagonist
4-chlorophenylguanidine,0.2055,Urokinase inhibitor
4-HQN,-0.013933333,PARP inhibitor
4-mu-8C,0.41185,IRE1 inhibitor
5-BDBD,-1.26235,Purinergic receptor antagonist
5-FP,-0.163,Thymidylate synthase inhibitor
5-iodotubercidin,-0.5733,Adenosine kinase inhibitor
5-methoxytryptamine,-0.081955556,Serotonin receptor agonist
5-nonyloxytryptamine,0.1488125,Serotonin receptor agonist
5'-guanidinonaltrindole,-0.126933333,Opioid receptor antagonist
6-aminochrysene,0.12978,Transferase inhibitor
6-benzylaminopurine,-0.0151,Purinergic receptor activator
6-chloromelatonin,0.8102,Melatonin receptor agonist
7-aminocephalosporanic-acid,0,Beta lactamase inhibitor
7-hydroxystaurosporine,1.4661,CDK inhibitor|CHK inhibitor|PKC inhibitor
7-nitroindazole,-0.472641667,Nitric oxide synthase inhibitor
7b-cis,1.05275,Exportin antagonist
8-bromo-cGMP,0,PKA activator
A-205804,-0.61255,ICAM1 inhibitor
A-366,0.9693,Histone lysine methyltransferase inhibitor
A-443654,0.7569,AKT inhibitor
A-61603,-0.9017,Adrenergic receptor agonist
A-66,0.698188235,PI3K inhibitor
A-7,0,Calmodulin inhibitor
A-740003,0.903,Purinergic receptor antagonist
A-769662,0.007153333,AMPK activator
ABC-294640,-1.5663,Sphingosine kinase inhibitor
