"","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"1","norm_cs","P-glycoprotein inhibitor",0.41351,1.03,0.406,75,0.715
"2","norm_cs","Serotonin receptor agonist",0.10636,0.27,1,847,1
"3","norm_cs","AKT inhibitor",0.64412,1.6,0.0481,690,0.248
"4","norm_cs","Nitric oxide synthase inhibitor",-0.32807,-0.835,0.651,2788,0.894
"5","norm_cs","Dopamine receptor antagonist",-0.27523,-0.697,0.79,2814,1
"6","norm_cs","Glutamate receptor antagonist",-0.38561,-0.997,0.437,2751,0.763
"7","norm_cs","Adrenergic receptor antagonist",-0.22655,-0.591,0.923,2297,1
"8","norm_cs","PARP inhibitor",0.25011,0.628,0.875,904,1
"9","norm_cs","Purinergic receptor antagonist",-0.46402,-1.18,0.281,3493,0.633
"10","norm_cs","Thymidylate synthase inhibitor",-0.25924,-0.672,0.832,3194,1
"11","norm_cs","Opioid receptor antagonist",-0.27313,-0.687,0.819,2973,1
"12","norm_cs","Melatonin receptor agonist",0.47271,1.18,0.272,245,0.609
"13","norm_cs","Histone lysine methyltransferase inhibitor",0.30041,0.756,0.727,675,0.916
"14","norm_cs","Adrenergic receptor agonist",-0.22477,-0.571,0.925,3104,1
"15","norm_cs","PI3K inhibitor",0.84843,2.15,0,308,0.0231
"16","norm_cs","Acetylcholine receptor agonist",-0.45818,-1.2,0.241,3393,0.641
"17","norm_cs","Histamine receptor antagonist",-0.22616,-0.581,0.929,2658,1
"18","norm_cs","Dopamine receptor agonist",-0.2201,-0.559,0.92,3282,0.994
"19","norm_cs","BCL inhibitor",-0.52385,-1.36,0.156,3420,0.575
"20","norm_cs","Tubulin inhibitor",-0.64723,-1.7,0.0391,3126,0.903
"21","norm_cs","Retinoid receptor agonist",-0.17193,-0.434,0.991,3098,0.995
"22","norm_cs","BTK inhibitor",0.68311,1.74,0.0344,394,0.208
"23","norm_cs","Glucosidase inhibitor",0.21948,0.558,0.944,618,1
"24","norm_cs","Prostanoid receptor antagonist",0.23783,0.604,0.908,495,1
"25","norm_cs","Cyclooxygenase inhibitor",-0.19124,-0.484,0.967,2906,0.994
"26","norm_cs","Carbonic anhydrase inhibitor",-0.32009,-0.836,0.639,2048,0.905
"27","norm_cs","ATP channel blocker",-0.51193,-1.29,0.197,2812,0.593
"28","norm_cs","Cholesterol inhibitor",0.21988,0.547,0.952,886,1
"29","norm_cs","Acetylcholine receptor antagonist",-0.31018,-0.794,0.678,3027,0.942
"30","norm_cs","HDAC inhibitor",0.60228,1.52,0.0824,713,0.326
"31","norm_cs","DNA inhibitor",-0.23204,-0.606,0.938,2818,1
"32","norm_cs","TGF-beta receptor inhibitor",-0.38576,-1.01,0.43,2773,0.764
