pert_iname,norm_cs,moa
1-benzylimidazole,0.5353,Thromboxane synthase inhibitor
1-monopalmitin,0.29095,P-glycoprotein inhibitor
1-phenylbiguanide,-0.4386,Serotonin receptor agonist
10-DEBC,0.492693333,AKT inhibitor
2-aminopurine,-0.539328571,Serine/threonine kinase inhibitor
2-iminobiotin,-0.51085,Nitric oxide synthase inhibitor
2-iodomelatonin,0.6782,Melatonin receptor agonist
3-CPMT,0.766,Dopamine receptor antagonist
3-deazaadenosine,-0.29999,Adenosylhomocysteinase inhibitor
3-matida,-0.331666667,Glutamate receptor antagonist
3-methyl-GABA,0.4354,GABA aminotransferase activator
3-MPPI,-0.601925,Adrenergic receptor antagonist
4-chlorophenylguanidine,0.35115,Urokinase inhibitor
4-HQN,0,PARP inhibitor
4-mu-8C,-0.42635,IRE1 inhibitor
5-BDBD,0,Purinergic receptor antagonist
5-FP,0.039675,Thymidylate synthase inhibitor
5-iodotubercidin,-1.013866667,Adenosine kinase inhibitor
5-methoxytryptamine,-0.071144444,Serotonin receptor agonist
5-nonyloxytryptamine,0.3887375,Serotonin receptor agonist
5'-guanidinonaltrindole,-0.088066667,Opioid receptor antagonist
6-aminochrysene,-0.15658,Transferase inhibitor
6-benzylaminopurine,-0.04725,Purinergic receptor activator
6-chloromelatonin,0,Melatonin receptor agonist
7-aminocephalosporanic-acid,0.8195,Beta lactamase inhibitor
7-hydroxystaurosporine,0.41785,CDK inhibitor|CHK inhibitor|PKC inhibitor
7-nitroindazole,-0.319533333,Nitric oxide synthase inhibitor
7b-cis,0.494983333,Exportin antagonist
8-bromo-cGMP,0,PKA activator
A-205804,0.5055,ICAM1 inhibitor
A-366,0.00015,Histone lysine methyltransferase inhibitor
A-443654,0.4636,AKT inhibitor
A-61603,0,Adrenergic receptor agonist
A-66,0.133764706,PI3K inhibitor
A-7,-0.4658,Calmodulin inhibitor
A-740003,0,Purinergic receptor antagonist
A-769662,-0.191206667,AMPK activator
ABC-294640,0,Sphingosine kinase inhibitor
ABT-202,-0.284514286,Acetylcholine receptor agonist
ABT-239,0.09155,Histamine receptor antagonist
ABT-702,-0.211933333,Adenosine kinase inhibitor
ABT-724,-0.079757143,Dopamine receptor agonist
ABT-737,-0.44677619,BCL inhibitor
ABT-751,-0.826414286,Tubulin inhibitor
AC-264613,0.6275,PAR agonist
AC-55649,0.0931,Retinoid receptor agonist
acalabrutinib,-0.135484615,BTK inhibitor
acarbose,-0.01852,Glucosidase inhibitor
ACDPP,0,Glutamate receptor antagonist
acebutolol,0.14488,Adrenergic receptor antagonist
acecainide,-0.18946,Polarization inhibitor
aceclofenac,0,Prostanoid receptor antagonist
acemetacin,0.15855,Cyclooxygenase inhibitor
acenocoumarol,-0.0111,Vitamin K antagonist
acepromazine,0.171025,Dopamine receptor antagonist
acetaldehyde,-0.007033333,Metabolite of ethanol with a role in ethanol addiction
acetamide,0.10904,Solvent
acetazolamide,-0.181642857,Carbonic anhydrase inhibitor
acetohexamide,-0.002175,ATP channel blocker
acetylcholine,-0.26475,Acetylcholine receptor agonist
acetylsalicylsalicylic-acid,0.43325,Cyclooxygenase inhibitor
acexamic-acid,0.1979375,Gastrin inhibitor|5-alpha reductase inhibitor|Reducing agent
acifran,0.456533333,Cholesterol inhibitor
acipimox,-0.113766667,Cholesterol inhibitor
acitretin,-0.137928571,Retinoid receptor agonist
acivicin,0.101642857,Gamma glutamyltransferase Inhibitors
aclidinium,-0.595916667,Acetylcholine receptor antagonist
acrivastine,-0.03373,Histamine receptor antagonist
actarit,-0.136,Interleukin inhibitor
ACY-1215,0.325576923,HDAC inhibitor
acyclovir,0.069611111,DNA inhibitor
adapalene,-0.249,Retinoid receptor agonist
adaprev,0,TGF-beta receptor inhibitor
adarotene,-0.7908,Retinoid receptor agonist
adatanserin,-0.301785714,Serotonin receptor agonist|Serotonin receptor antagonist
adenosine,0.399175,Adenosine receptor agonist
adiphenine,0.027633333,Acetylcholine receptor antagonist
adipiodone,-0.59304,Radiopaque medium
ADL-5859,0,Opioid receptor agonist
adoprazine,0.20415,Dopamine receptor antagonist|Serotonin receptor agonist
AEE-788,0.83324,EGFR inhibitor|VEGFR inhibitor
AEG-3482,-1.28234,HSP inducer|Protein kinase inhibitor
afatinib,0.308476471,EGFR inhibitor
aflatoxin-b1,-0.470975,Carcinogen
afloqualone,0.5562,Acetylcholine receptor antagonist
AG-1024,0,IGF-1 inhibitor
AG-14361,-0.197478571,PARP inhibitor
AG-370,-0.424657143,PDGFR inhibitor
AG-490,-0.277875,EGFR inhibitor|ERBB2 inhibitor|JAK inhibitor
AG-494,-0.38325,EGFR inhibitor|Tyrosine kinase inhibitor
AG-592,-0.261844444,Tyrosine kinase inhibitor
AG-879,0.6204,Tyrosine kinase inhibitor|Angiogenesis inhibitor|VEGFR inhibitor
AG-957,-0.660644444,Protein tyrosine kinase inhibitor
AG-99,0.1566,Tyrosine kinase inhibitor
AGI-5198,0,Isocitrate dehydrogenase inhibitor
AGI-6780,0.256125,Isocitrate dehydrogenase inhibitor
AGK-2,-0.247490909,SIRT inhibitor
AGN-192403,0.004242857,Imidazoline receptor ligand
agomelatine,-0.4514125,Melatonin receptor agonist|Serotonin receptor antagonist
AGP-103,0.53945,Membrane integrity inhibitor
AH-11110,-0.768175,Adrenergic receptor antagonist
AICA-ribonucleotide,-0.169291667,AMPK activator
ajmaline,0,Sodium channel inhibitor
alagebrium,-0.025666667,Glycosylation inhibitor
alaproclate,-0.39,Serotonin receptor antagonist
albendazole,-0.171208333,Tubulin inhibitor
alclometasone,0,Glucocorticoid receptor agonist
alda-1,-0.176723077,Aldehyde dehydrogenase activator
alectinib,-0.467542857,ALK inhibitor
alendronic-acid,0,Bone resorption inhibitor
alfadolone-acetate,-0.017022222,GABA receptor agonist
alfaxalone,0.1553,Chloride channel activator|GABA receptor agonist
alfuzosin,0.0450875,Adrenergic receptor antagonist
alimemazine,0.8231,Histamine receptor agonist
alisertib,0.336009091,Aurora kinase inhibitor
aliskiren,-0.023733333,Antihypertensive|Peptidase inhibitor|Protease inhibitor|Renin inhibitor
alitretinoin,0.71934,Retinoid receptor agonist
alizapride,-0.14685,Dopamine receptor antagonist
allantoin,0.63035,Product of purine catabolism used in cosmetics
allopurinol,0.228718182,Xanthine oxidase inhibitor
almitrine,0.021485714,Neurotransmitter agonist
almorexant,0.233933333,Orexin receptor antagonist
alogliptin,0,Dipeptidyl peptidase inhibitor
aloisine,-0.0234,CDK inhibitor|CFTR channel agonist|GSK inhibitor
alosetron,-0.166416667,Serotonin receptor antagonist
alpelisib,0.269427273,PI3K inhibitor
alpha-estradiol,-0.6781,Estrogen receptor agonist
alpha-methylserotonin,0,Serotonin receptor agonist
alprazolam,-0.02458,Benzodiazepine receptor agonist
alprenolol,-0.2148,Adrenergic receptor antagonist
alprostadil,0.135293333,Prostanoid receptor agonist
alrestatin,-0.1594,Aldose reductase inhibitor
altanserin,-0.26191,Serotonin receptor antagonist
altizide,0.30432,Diuretic
altrenogest,0.182825,Progestogen hormone
altretamine,0.174461538,DNA inhibitor
alverine,0.090485714,Muscle relaxant
alvespimycin,0.098311111,HSP inhibitor
alvimopan,-0.074266667,Opioid receptor antagonist
alvocidib,-0.067725,CDK inhibitor
ALW-II-38-3,-0.058616667,Ephrin inhibitor
ALW-II-49-7,-0.586828571,Ephrin inhibitor
ALX-5407,0.467463636,Glycine transporter inhibitor
AM-24,0.100581818,Lipoxygenase inhibitor
AM-251,0.02397,Cannabinoid receptor antagonist
AM-281,-0.4643,Cannabinoid receptor antagonist
AM-404,-0.35905,Cyclooxygenase inhibitor|FAAH inhibitor|TRPV antagonist
AM-580,0.186713333,Retinoid receptor agonist
AM-630,0.30278,Cannabinoid receptor antagonist
AM-92016,-0.1059875,Potassium channel antagonist
amantadine,-0.089044444,Glutamate receptor antagonist
ambelline,0.19808,Plant alkaloid
ambrisentan,-0.27392,Endothelin receptor antagonist
ambroxol,-0.286353846,Sodium channel inhibitor
amcinonide,0.293566667,Glucocorticoid receptor agonist
AMD-11070,0.1212,CC chemokine receptor antagonist
amfepramone,0.2449,Adrenergic receptor agonist
AMG-208,0.28295,Tyrosine kinase inhibitor
AMG-232,0.54245,MDM inhibitor
AMG-487,-0.268114286,CC chemokine receptor antagonist
AMG-517,0.301233333,TRPV antagonist
AMG-837,0.2798,Fatty acid receptor agonist
AMG-900,0.7883,Aurora kinase inhibitor
AMG-9810,-0.66795,TRPV antagonist
amifostine,0.24575,Reducing agent
amikacin,1.1174,Bacterial 30S ribosomal subunit inhibitor
amiloride,-0.314107692,Sodium channel inhibitor
amineptine,0.053,Dopamine receptor agonist
aminocaproic-acid,-0.078144444,Plasminogen activator inhibitor
aminogenistein,-0.273177778,Src inhibitor
aminoglutethimide,-0.139177778,Glucocorticoid receptor antagonist
aminoguanidine,0.219,Nitric oxide synthase inhibitor
aminoindazole,0.0482,Ionophore
aminolevulinic-acid,-0.003686667,Oxidizing agent
aminomethyltransferase,-0.122671429,Nitric oxide synthase inhibitor
aminopentamide,-0.38542,Acetylcholine receptor antagonist
aminopurvalanol-a,-0.10925,Tyrosine kinase inhibitor|CDK inhibitor
aminosalicylic-acid,0.24705,Cyclooxygenase inhibitor
amiodarone,0.531033333,Potassium channel antagonist
amiprilose,-0.360111111,CD antagonist
amisulpride,-0.118233333,Dopamine receptor antagonist
amitifadine,-0.011857143,Serotonin receptor antagonist
amitriptyline,0.2747125,Norepinephrine inhibitor|Norepinephrine reuptake inhibitor|Serotonin receptor antagonist|Serotonin reuptake inhibitor
amlexanox,-0.01588,Histamine receptor antagonist
amlodipine,0.137642857,Calcium channel blocker
ammonium-perfluorocaprylate,-0.8702,PIM inhibitor
AMN-082,0.10989,Glutamate receptor antagonist
amodiaquine,0.09565,Histamine receptor agonist
amonafide,-0.221245455,Topoisomerase inhibitor
amoxapine,0.550908333,Norepinephrine inhibitor
amoxicillin,-0.014375,Penicillin binding protein inhibitor
ampalex,-0.1257625,Glutamate receptor agonist
amperozide,-0.144957143,Dopamine receptor antagonist
ampicillin,0.220625,Bacterial cell wall synthesis inhibitor
ampiroxicam,0.137175,Cyclooxygenase inhibitor
amprenavir,0,HIV inhibitor
ampyrone,-0.96465,Cyclooxygenase inhibitor
amrinone,0.214433333,Phosphodiesterase inhibitor
amsacrine,0.384566667,Topoisomerase inhibitor
amthamine,0.41871,Histamine receptor agonist
amtolmetin-guacil,0.103122222,Cyclooxygenase inhibitor
amuvatinib,-0.221086667,FLT3 inhibitor|KIT inhibitor|PDGFR inhibitor|RAD51 inhibitor|RET tyrosine kinase inhibitor
amygdalin,0,Caspase activator
amyleine,0.337457143,Anesthetic - local
AMZ-30,0.465671429,Protein phosphatase inhibitor
