Rank_metric,Drug_set,ES,NES,p_value,Position_at_max,FDR_q_value
norm_cs,Thromboxane synthase inhibitor,-0.36142,-0.957,0.478,3133,0.935
norm_cs,P-glycoprotein inhibitor,0.607,1.51,0.069,1027,0.458
norm_cs,Serotonin receptor agonist,0.2864,0.707,0.788,884,0.862
norm_cs,AKT inhibitor,-0.24066,-0.624,0.883,3183,1
norm_cs,Nitric oxide synthase inhibitor,-0.44033,-1.15,0.291,2789,0.828
norm_cs,Melatonin receptor agonist,-0.39694,-1.03,0.383,3283,0.99
norm_cs,Dopamine receptor antagonist,0.29352,0.729,0.801,1370,0.877
norm_cs,Glutamate receptor antagonist,-0.30126,-0.78,0.695,3074,0.95
norm_cs,Adrenergic receptor antagonist,-0.17738,-0.473,0.992,2772,1
norm_cs,Thymidylate synthase inhibitor,-0.22776,-0.589,0.924,2941,1
norm_cs,Opioid receptor antagonist,-0.30834,-0.796,0.688,3136,0.965
norm_cs,Histone lysine methyltransferase inhibitor,0.53391,1.33,0.166,1035,0.607
norm_cs,PI3K inhibitor,0.58247,1.47,0.0874,1033,0.486
norm_cs,Calmodulin inhibitor,0.28419,0.717,0.784,814,0.871
norm_cs,Acetylcholine receptor agonist,0.3289,0.817,0.662,871,0.863
norm_cs,Histamine receptor antagonist,0.33048,0.828,0.631,1376,0.871
norm_cs,Dopamine receptor agonist,0.39355,0.978,0.468,713,0.803
norm_cs,BCL inhibitor,-0.61813,-1.64,0.0557,3277,0.496
norm_cs,Tubulin inhibitor,-0.67617,-1.83,0.0181,3156,0.439
norm_cs,Retinoid receptor agonist,0.25656,0.64,0.896,441,0.919
norm_cs,BTK inhibitor,0.34776,0.862,0.598,569,0.853
norm_cs,Glucosidase inhibitor,0.52133,1.3,0.183,329,0.603
norm_cs,Cyclooxygenase inhibitor,-0.22643,-0.599,0.909,2851,1
norm_cs,Vitamin K antagonist,0.39496,0.976,0.466,433,0.776
norm_cs,Carbonic anhydrase inhibitor,-0.34104,-0.906,0.538,2486,0.956
norm_cs,ATP channel blocker,-0.38745,-1,0.409,3444,0.901
norm_cs,Cholesterol inhibitor,-0.34474,-0.917,0.536,3185,0.948
norm_cs,Acetylcholine receptor antagonist,-0.20437,-0.546,0.961,3170,1
norm_cs,HDAC inhibitor,0.69258,1.73,0.0242,570,0.396
norm_cs,DNA inhibitor,-0.27769,-0.72,0.782,3060,0.983
norm_cs,Adenosine receptor agonist,-0.39235,-1.02,0.409,2686,0.94
norm_cs,EGFR inhibitor,0.50642,1.27,0.201,1009,0.583
norm_cs,Carcinogen,-0.28855,-0.754,0.719,3033,0.98
norm_cs,PARP inhibitor,-0.34322,-0.882,0.553,2625,0.936
norm_cs,PDGFR inhibitor,0.39518,0.977,0.484,811,0.789
norm_cs,Tyrosine kinase inhibitor,0.29177,0.716,0.817,555,0.861
norm_cs,Protein tyrosine kinase inhibitor,-0.51411,-1.36,0.136,2968,0.623
norm_cs,SIRT inhibitor,-0.64442,-1.69,0.0525,2864,0.439
norm_cs,Membrane integrity inhibitor,0.35385,0.894,0.587,445,0.839
norm_cs,Serotonin receptor antagonist,0.43157,1.05,0.394,979,0.714
norm_cs,ALK inhibitor,0.67054,1.63,0.0497,398,0.412
norm_cs,GABA receptor agonist,0.24302,0.603,0.894,1384,0.945
norm_cs,Histamine receptor agonist,0.34667,0.876,0.604,601,0.843
norm_cs,Aurora kinase inhibitor,0.56653,1.39,0.127,793,0.525
norm_cs,Estrogen receptor agonist,-0.37847,-1.01,0.421,2916,0.919
norm_cs,Benzodiazepine receptor agonist,-0.21933,-0.573,0.941,2635,1
norm_cs,Prostanoid receptor agonist,-0.45709,-1.17,0.269,2740,0.808
norm_cs,Aldose reductase inhibitor,-0.36242,-0.954,0.499,3260,0.922
norm_cs,Diuretic,0.57791,1.44,0.124,978,0.522
norm_cs,Muscle relaxant,0.42919,1.06,0.409,647,0.711
norm_cs,HSP inhibitor,0.74616,1.84,0.00634,396,0.208
norm_cs,CDK inhibitor,0.23011,0.564,0.942,1046,0.966
norm_cs,Lipoxygenase inhibitor,-0.20941,-0.557,0.941,2745,1
