"","pert_iname","query","moa"
"1","8-bromo-cGMP",-0.8788,"PKA activator"
"2","noretynodrel",1.2288,"Progestogen hormone"
"3","flumetasone",1.1575,"Glucocorticoid receptor agonist"
"4","betamethasone",1.0149,"Glucocorticoid receptor agonist"
"5","ethinyl-estradiol",1.2204,"Estrogen receptor agonist|DNA directed DNA polymerase stimunlant|Estrogenic component in oral contraceptives"
"6","mepivacaine",0.9047,"Potassium channel blocker|Sodium channel blocker"
"7","fulvestrant",0.8933,"Estrogen receptor antagonist"
"8","XL-888",1.0611,"HSP inhibitor"
"9","methscopolamine",0.5728,"Acetylcholine receptor antagonist"
"10","docetaxel",1.0778,"Tubulin inhibitor"
"11","lappaconite",0.7381,"Sodium channel blocker"
"12","terfenadine",0.7535,"Histamine receptor antagonist"
"13","SB-218078",-0.922,"CHK inhibitor"
"14","diclazuril",0.4629,"Antiprotozoal agent"
"15","isofloxythepin",1.0485,"Dopamine receptor antagonist"
"16","galeterone",1.0443,"Androgen receptor modulator"
"17","racecadotril",0.7863,"Enkephalinase inhibitor"
"18","doxycycline",0.8627,"Metalloproteinase inhibitor"
"19","CID-5458317",0.6543,"MAP kinase phosphatase inhibitor"
"20","cyclophosphamide",0.7272,"DNA alkylating agent"
"21","oridonin",0.9478,"BCL inhibitor"
"22","monensin",-0.8542,"Bacterial permeability inducer"
"23","tipranavir",1.3924,"HIV protease inhibitor"
"24","propranolol",0.864,"Adrenergic receptor antagonist"
"25","GSK-429286A",0.7339,"Rho associated kinase inhibitor"
"26","imiloxan",1.109,"Adrenergic receptor antagonist"
"27","carvedilol",1.1443,"Adrenergic receptor antagonist"
"28","nadide",0.7892,"Electron acceptor"
"29","beclomethasone-dipropionate",1.1153,"Immunosuppressant|Glucocorticoid receptor agonist"
"30","lorazepam",0.973,"Benzodiazepine receptor agonist"
"31","nutlin-3",-1.5511,"MDM inhibitor"
"32","usniacin-(+)",0.8644,"MAP kinase activator"
"33","fluorometholone",1.1995,"Glucocorticoid receptor agonist"
"34","ornithine",0.9467,"NFkB pathway modulator"
"35","IDRA-21",1.2795,"Glutamate receptor positive allosteric modulator"
"36","mesoridazine",0.7275,"Dopamine receptor antagonist"
"37","norgestrel",1.1156,"Progesterone receptor agonist"
"38","isoxsuprine",0.6456,"Adrenergic receptor agonist"
"39","trolox",0.7442,"Antioxidant"
"40","lenalidomide",0.7297,"Anticancer agent"
"41","idazoxan",0.8231,"Adrenergic receptor antagonist"
"42","atenolol-(+/-)",0.7099,"Adrenergic receptor antagonist"
"43","canrenone",1.4134,"Mineralocorticoid receptor antagonist"
"44","sulmazole",-1.1381,"Adenosine receptor antagonist"
"45","SB-205384",0.8835,"GABA receptor modulator"
"46","pheniramine",1.2288,"Histamine receptor antagonist"
"47","naloxone",-1.2054,"Opioid receptor antagonist"
"48","nadifloxacin",1.3337,"Bacterial DNA gyrase inhibitor"
"49","warfarin",0.9814,"Vitamin K antagonist"
"50","erastin",0.7507,"Ion channel antagonist"
"51","aminoglutethimide",-1.7768,"Glucocorticoid receptor antagonist"
"52","KI-16425",1.1198,"Lysophosphatidic acid receptor antagonist"
"53","narasin",-0.646,"Antiprotozoal agent"
