pert_iname,query,moa
8-bromo-cGMP,-1.0074,PKA activator
noretynodrel,1.107,Progestogen hormone
flumetasone,0.7799,Glucocorticoid receptor agonist
betamethasone,1.0552,Glucocorticoid receptor agonist
ethinyl-estradiol,0.8507,Estrogen receptor agonist|DNA directed DNA polymerase stimunlant|Estrogenic component in oral contraceptives
mepivacaine,1.0706,Potassium channel blocker|Sodium channel blocker
fulvestrant,1.286,Estrogen receptor antagonist
XL-888,0.8574,HSP inhibitor
methscopolamine,1.1634,Acetylcholine receptor antagonist
docetaxel,1.1712,Tubulin inhibitor
lappaconite,0.9861,Sodium channel blocker
terfenadine,1.1328,Histamine receptor antagonist
SB-218078,1.1077,CHK inhibitor
diclazuril,0.8061,Antiprotozoal agent
isofloxythepin,1.5783,Dopamine receptor antagonist
galeterone,1.0613,Androgen receptor modulator
racecadotril,0.8424,Enkephalinase inhibitor
doxycycline,0.61,Metalloproteinase inhibitor
CID-5458317,1.0835,MAP kinase phosphatase inhibitor
cyclophosphamide,0.7842,DNA alkylating agent
oridonin,0.8296,BCL inhibitor
monensin,0.6635,Bacterial permeability inducer
tipranavir,1.2767,HIV protease inhibitor
propranolol,1.3218,Adrenergic receptor antagonist
GSK-429286A,0.7947,Rho associated kinase inhibitor
imiloxan,1.0158,Adrenergic receptor antagonist
carvedilol,0.9454,Adrenergic receptor antagonist
nadide,0.7997,Electron acceptor
beclomethasone-dipropionate,0.8812,Immunosuppressant|Glucocorticoid receptor agonist
lorazepam,0.9942,Benzodiazepine receptor agonist
nutlin-3,1.6848,MDM inhibitor
usniacin-(+),0.8608,MAP kinase activator
fluorometholone,1.0788,Glucocorticoid receptor agonist
ornithine,1.057,NFkB pathway modulator
IDRA-21,0.9836,Glutamate receptor positive allosteric modulator
mesoridazine,1.0098,Dopamine receptor antagonist
norgestrel,1.2135,Progesterone receptor agonist
isoxsuprine,1.561,Adrenergic receptor agonist
trolox,0.9361,Antioxidant
lenalidomide,0.7542,Anticancer agent
idazoxan,1.3514,Adrenergic receptor antagonist
atenolol-(+/-),-1.3903,Adrenergic receptor antagonist
canrenone,1.0274,Mineralocorticoid receptor antagonist
sulmazole,0.7153,Adenosine receptor antagonist
SB-205384,1.3291,GABA receptor modulator
pheniramine,1.1442,Histamine receptor antagonist
naloxone,0.918,Opioid receptor antagonist
nadifloxacin,1.148,Bacterial DNA gyrase inhibitor
warfarin,0.8893,Vitamin K antagonist
erastin,1.4642,Ion channel antagonist
aminoglutethimide,1.0467,Glucocorticoid receptor antagonist
KI-16425,1.329,Lysophosphatidic acid receptor antagonist
narasin,0.7095,Antiprotozoal agent
emetine,0.8911,Protein synthesis inhibitor
zaldaride,1.2327,Calmodulin antagonist
lestaurtinib,1.1495,FLT3 inhibitor|Growth factor receptor inhibitor|JAK inhibitor
alexidine,1.1523,Phosphatidylglycerophosphatase inhibitor
prednisolone,0.942,Glucocorticoid receptor agonist
MTPG,0.9585,Glutamate receptor antagonist
PKI-179,0.7983,MTOR inhibitor|PI3K inhibitor
paclitaxel,1.213,Tubulin inhibitor
puromycin,1.4236,Protein synthesis inhibitor
bicalutamide,0.6323,Androgen receptor antagonist
florfenicol,0.9189,Protein synthesis inhibitor
mozavaptan,0.9595,Vasopressin receptor antagonist
methocarbamol,1.0068,Muscle relaxant
etoposide,1.3786,Topoisomerase inhibitor
lacitol,1.617,Osmosis stimulant
teniposide,1.1486,Topoisomerase inhibitor
bruceantin,0.9938,Protein synthesis inhibitor
buphenine,1.1644,Adrenergic receptor agonist
oprozomib,0.5266,Proteasome inhibitor
ketoconazole,0.7881,Sterol demethylase inhibitor
rabeprazole,0.8525,ATPase inhibitor|Gastrin inhibitor
norethisterone,1.1067,Progesterone receptor agonist
efonidipine-monoethanolate,0.9023,L-type calcium channel blocker|T-type calcium channel blocker
teroxirone,1.0637,DNA inhibitor
cefpiramide,1.2406,Bacterial cell wall synthesis inhibitor
practolol,1.3198,Adrenergic receptor antagonist
teriflunomide,1.5093,Dihydroorotate dehydrogenase inhibitor
melengestrol-acetate,0.8582,Progesterone receptor agonist
linalool,0.9394,Anticonvulsant
oxprenolol,0.7622,Adrenergic receptor antagonist
indoprofen,0.9301,Cyclooxygenase inhibitor|Prostanoid receptor antagonist
FLI-06,1.0133,Notch signaling inhibitor
WYE-125132,0.8843,MTOR inhibitor
iododexetimide,1.3425,Acetylcholine receptor antagonist
mitomycin-c,0.9297,DNA alkylating drug|DNA inhibitor|DNA alkylating agent|DNA synthesis inhibitor
ajmaline,0.7648,Sodium channel blocker
metacycline,0.7792,Bacterial 50S ribosomal subunit inhibitor
ciprofibrate,0.7261,PPAR receptor agonist
fludroxycortide,0.5139,Glucocorticoid receptor agonist
oxazepam,0.8888,GABA benzodiazepine site receptor agonist
terbutaline,1.2296,Adrenergic receptor agonist
meclizine,0.6933,Constitutive androstane receptor (CAR) agonist
hypoestoxide,1.225,IKK inhibitor
thiostrepton,0.9717,FOXM1 inhibitor|Protein synthesis inhibitor
halofantrine,0.6712,Antimalarial agent
Ro-106-9920,0.7818,NFkB pathway inhibitor
golgicide-a,0.4636,ARF inhibitor
butylscopolamine-bromide,0.8311,Cholinergic receptor antagonist
lanoconazole,1.67,Sterol demethylase inhibitor
KF-38789,1.0928,P selectin inhibitor
methotrexate,0.9423,Dihydrofolate reductase inhibitor
BNTX,0.7639,Opioid receptor antagonist
primaquine,1.2572,Antimalarial agent|DNA inhibitor
omeprazole,0.9918,ATPase inhibitor
PD-318088,1.1368,MEK inhibitor
oxyphencyclimine,1.2588,Cholinergic receptor antagonist
selamectin,1.2349,Nematocide
amisulpride,1.1736,Dopamine receptor antagonist
8-hydroxy-PIPAT,1.0581,Dopamine receptor ligand
sodium-stibogluconate,0.8728,Tyrosine phosphatase inhibitor
Ro-04-5595,1.1533,Glutamate receptor antagonist
sangivamycin,0.8524,DNA inhibitor
mexiletine,1.1666,Sodium channel blocker
lanatoside-c,0.7444,Cardiac glycoside
DPI-201106,0.8147,Sodium channel activator
