pert_iname,query,moa
8-bromo-cGMP,-0.8788,PKA activator
noretynodrel,1.2288,Progestogen hormone
flumetasone,1.1575,Glucocorticoid receptor agonist
betamethasone,1.0149,Glucocorticoid receptor agonist
ethinyl-estradiol,1.2204,Estrogen receptor agonist|DNA directed DNA polymerase stimunlant|Estrogenic component in oral contraceptives
mepivacaine,0.9047,Potassium channel blocker|Sodium channel blocker
fulvestrant,0.8933,Estrogen receptor antagonist
XL-888,1.0611,HSP inhibitor
methscopolamine,0.5728,Acetylcholine receptor antagonist
docetaxel,1.0778,Tubulin inhibitor
lappaconite,0.7381,Sodium channel blocker
terfenadine,0.7535,Histamine receptor antagonist
SB-218078,-0.922,CHK inhibitor
diclazuril,0.4629,Antiprotozoal agent
isofloxythepin,1.0485,Dopamine receptor antagonist
galeterone,1.0443,Androgen receptor modulator
racecadotril,0.7863,Enkephalinase inhibitor
doxycycline,0.8627,Metalloproteinase inhibitor
CID-5458317,0.6543,MAP kinase phosphatase inhibitor
cyclophosphamide,0.7272,DNA alkylating agent
oridonin,0.9478,BCL inhibitor
monensin,-0.8542,Bacterial permeability inducer
tipranavir,1.3924,HIV protease inhibitor
propranolol,0.864,Adrenergic receptor antagonist
GSK-429286A,0.7339,Rho associated kinase inhibitor
imiloxan,1.109,Adrenergic receptor antagonist
carvedilol,1.1443,Adrenergic receptor antagonist
nadide,0.7892,Electron acceptor
beclomethasone-dipropionate,1.1153,Immunosuppressant|Glucocorticoid receptor agonist
lorazepam,0.973,Benzodiazepine receptor agonist
nutlin-3,-1.5511,MDM inhibitor
usniacin-(+),0.8644,MAP kinase activator
fluorometholone,1.1995,Glucocorticoid receptor agonist
ornithine,0.9467,NFkB pathway modulator
IDRA-21,1.2795,Glutamate receptor positive allosteric modulator
mesoridazine,0.7275,Dopamine receptor antagonist
norgestrel,1.1156,Progesterone receptor agonist
isoxsuprine,0.6456,Adrenergic receptor agonist
trolox,0.7442,Antioxidant
lenalidomide,0.7297,Anticancer agent
idazoxan,0.8231,Adrenergic receptor antagonist
atenolol-(+/-),0.7099,Adrenergic receptor antagonist
canrenone,1.4134,Mineralocorticoid receptor antagonist
sulmazole,-1.1381,Adenosine receptor antagonist
SB-205384,0.8835,GABA receptor modulator
pheniramine,1.2288,Histamine receptor antagonist
naloxone,-1.2054,Opioid receptor antagonist
nadifloxacin,1.3337,Bacterial DNA gyrase inhibitor
warfarin,0.9814,Vitamin K antagonist
erastin,0.7507,Ion channel antagonist
aminoglutethimide,-1.7768,Glucocorticoid receptor antagonist
KI-16425,1.1198,Lysophosphatidic acid receptor antagonist
narasin,-0.646,Antiprotozoal agent
emetine,0.6752,Protein synthesis inhibitor
zaldaride,-0.9508,Calmodulin antagonist
lestaurtinib,1.1757,FLT3 inhibitor|Growth factor receptor inhibitor|JAK inhibitor
alexidine,0.5878,Phosphatidylglycerophosphatase inhibitor
prednisolone,0.7437,Glucocorticoid receptor agonist
MTPG,0.8717,Glutamate receptor antagonist
PKI-179,-0.7924,MTOR inhibitor|PI3K inhibitor
paclitaxel,1.0275,Tubulin inhibitor
puromycin,1.0191,Protein synthesis inhibitor
bicalutamide,0.9637,Androgen receptor antagonist
florfenicol,0.5111,Protein synthesis inhibitor
mozavaptan,1.0065,Vasopressin receptor antagonist
methocarbamol,-2.0409,Muscle relaxant
etoposide,1.0317,Topoisomerase inhibitor
lacitol,0.975,Osmosis stimulant
teniposide,0.9134,Topoisomerase inhibitor
bruceantin,0.9017,Protein synthesis inhibitor
buphenine,0.9562,Adrenergic receptor agonist
oprozomib,0.7602,Proteasome inhibitor
ketoconazole,0.6269,Sterol demethylase inhibitor
rabeprazole,-1.1285,ATPase inhibitor|Gastrin inhibitor
norethisterone,0.8392,Progesterone receptor agonist
efonidipine-monoethanolate,-1.3494,L-type calcium channel blocker|T-type calcium channel blocker
teroxirone,0.9352,DNA inhibitor
cefpiramide,0.9507,Bacterial cell wall synthesis inhibitor
practolol,-1.0853,Adrenergic receptor antagonist
teriflunomide,1.2228,Dihydroorotate dehydrogenase inhibitor
melengestrol-acetate,0.9865,Progesterone receptor agonist
linalool,0.8597,Anticonvulsant
oxprenolol,0.7269,Adrenergic receptor antagonist
indoprofen,1.4301,Cyclooxygenase inhibitor|Prostanoid receptor antagonist
FLI-06,0.5518,Notch signaling inhibitor
WYE-125132,-0.778,MTOR inhibitor
iododexetimide,1.0191,Acetylcholine receptor antagonist
mitomycin-c,-0.8836,DNA alkylating drug|DNA inhibitor|DNA alkylating agent|DNA synthesis inhibitor
ajmaline,0.493,Sodium channel blocker
metacycline,1.2288,Bacterial 50S ribosomal subunit inhibitor
ciprofibrate,1.0427,PPAR receptor agonist
fludroxycortide,0.9646,Glucocorticoid receptor agonist
oxazepam,0.6165,GABA benzodiazepine site receptor agonist
terbutaline,-0.802,Adrenergic receptor agonist
meclizine,-0.7127,Constitutive androstane receptor (CAR) agonist
hypoestoxide,1.0663,IKK inhibitor
thiostrepton,0.7046,FOXM1 inhibitor|Protein synthesis inhibitor
halofantrine,1.0988,Antimalarial agent
