Drug,Pearson.est,Pearson.p,Pearson.q,Spearman.est,Spearman.p,Spearman.q,Slope,Intercept,R.squared,Rank.slope,Rank.intercept,Rank.R.squared,N
A.674563,-0.048078866,0.413059441,0.757101355,-0.046942426,0.424201975,0.747358034,-8.82E-05,0.791159783,0.002311577,-0.046942426,153.3770654,0.002203591,292
A.803467,-0.08169745,0.194359058,0.539306839,-0.047089946,0.45494096,0.770382145,-0.000376006,1.105053771,0.006674473,-0.047089946,133.5039681,0.002217463,254
A61603,-0.052212649,0.374008597,0.729789191,0.004121494,0.944093106,0.982073863,-0.000232732,0.85908936,0.002726161,0.004121494,145.8962011,1.70E-05,292
abemaciclib,0.175786652,0.002530513,0.043108029,0.200771714,0.000545746,0.011212563,0.000481618,0.897968094,0.030900947,0.196861633,118.0613399,0.040309281,293
abiraterone,0.043913358,0.475736618,0.808459005,0.040645498,0.509216028,0.807318254,0.000252347,1.386771488,0.001928383,0.040645498,128.0738261,0.001652056,266
abiraterone.acetate,0.01688724,0.787604529,0.958346846,0.026980731,0.666829111,0.873027624,9.02E-05,1.127049449,0.000285179,0.026980731,125.5194857,0.00072796,257
ABT.702,0.02834315,0.624865352,0.890556132,0.048447649,0.403084092,0.730495325,0.000152088,1.006742693,0.000803334,0.048447649,143.2086288,0.002347175,300
ABT.737,0.043075146,0.45956911,0.794105613,0.043554995,0.454579079,0.770382145,0.000212419,1.056884563,0.001855468,0.043554995,142.5103058,0.001897038,297
ABT.751,-0.003842287,0.947072057,0.990371398,0.071002178,0.219346733,0.569200842,-9.09E-06,0.620670235,1.48E-05,0.071002178,140.2786711,0.005041309,301
AC.264613,-0.118001601,0.041792608,0.26197271,-0.12119693,0.036518679,0.230970125,-0.000616324,0.972102003,0.013924378,-0.12119693,167.6189411,0.014688696,298
ACDPP,0.027979498,0.661037353,0.908591108,-0.021766051,0.733042738,0.906443966,0.000170243,1.056189253,0.000782852,-0.021766051,127.2098733,0.000473761,248
acetazolamide,0.121297648,0.048121811,0.279314763,0.114558922,0.06207673,0.299693917,0.000640224,1.26216517,0.014713119,0.114558922,118.2063839,0.013123747,266
acetophenazine,-0.026956363,0.664056448,0.91028493,0.04126261,0.506061091,0.80613472,-0.000130991,1.018088896,0.000726646,0.04126261,126.0739668,0.001702603,262
acetylcysteine,0.188265973,0.001927444,0.036245961,0.127902618,0.036028232,0.229818855,0.000906997,1.211715876,0.035444077,0.127902618,117.7331465,0.01635908,269
acetylsalicylsalicylic.acid,0.063785117,0.280649846,0.638963801,0.080880344,0.171043294,0.499069534,0.000292003,1.099518935,0.004068541,0.080880344,132.8127904,0.00654163,288
acipimox,0.058390294,0.321733418,0.678122254,0.013879947,0.813931295,0.941502861,0.00037205,1.049827796,0.003409426,0.013879947,143.4804677,0.000192653,290
acivicin,-0.112920277,0.075308818,0.345329677,-0.194393315,0.002059681,0.031066857,-0.000454057,0.84344346,0.012750989,-0.194393315,149.2991644,0.037788761,249
ACY.1215,-0.020996253,0.717211915,0.938072114,-0.030650118,0.596955545,0.845784374,-7.49E-05,0.943890075,0.000440843,-0.030650118,155.1128428,0.00093943,300
adapalene,-0.008680285,0.883594299,0.976902139,0.005942229,0.920162293,0.977654203,-2.60E-05,1.13034276,7.53E-05,0.005942229,143.1443191,3.53E-05,287
adaprev,0.005008845,0.930349913,0.986466978,-0.000980019,0.986355822,0.995291449,2.42E-05,0.909935484,2.51E-05,-0.000980019,154.1509229,9.60E-07,307
adarotene,0.022735939,0.86076354,0.976902139,0.075218453,0.561212484,0.836044935,4.39E-05,0.702868539,0.000516923,0.075218453,29.13061872,0.005657816,62
adefovir.dipivoxil,0.044610858,0.486130094,0.814925547,0.058294356,0.362596341,0.698328453,0.00014351,0.838265635,0.001990129,0.058294356,116.3006471,0.003398232,246
ADL5859,-0.018548067,0.759444617,0.953404999,-0.020807824,0.731204146,0.905717368,-0.000121405,1.321086463,0.000344031,-0.020807824,140.8714798,0.000432966,275
AEE788,-0.210410085,0.000293826,0.008181936,-0.258940307,7.38E-06,0.000288742,-0.001203007,1.064989039,0.044272404,-0.258940307,184.434755,0.067050083,292
