Gene,Log2FC
PROM2,2.129407886
CDH3,2.264836251
EPN3,2.171739813
EPHA1,1.998055873
PRSS22,2.094208595
KLC3,1.7923672
GPR87,1.988784786
MDFI,1.854046406
GRHL2,1.844715701
MPP7,1.864275741
PITPNM3,1.989886602
LAD1,1.830298844
CBLC,1.859003145
PLEKHM1,1.822639477
CD164L2,2.008273667
TMEM30B,1.709908966
ADIRF,1.620939971
CISH,1.09941548
ELMO3,1.738590112
TNNI3,2.32460901
SYT8,1.044295984
PSD4,1.812200645
IRF6,1.648885188
CTSH,1.97569012
PRSS8,1.7505396
SPRYD4,1.365779964
CABLES2,1.630436395
CDK18,1.407056865
PIP5KL1,1.461567319
IGSF9,1.558683478
PAK6,1.891348975
