Gene,Log2FC
CTSD,-1.631248624
ASAH1,-1.359764723
CTSA,-1.953765987
TALDO1,-1.634092495
GLB1,-1.091686798
ANXA1,-2.377679686
HSPB1,-2.127699258
CAST,-1.787805333
SERPINB5,-1.875956275
MAN2B1,-1.97089765
VAT1,-1.449712822
PI4K2A,-1.141896325
CES2,-1.498455283
KRT15,-1.242558465
GSTP1,-1.353418607
KRT13,-1.150963121
PRDX2,-1.116854437
YWHAB,-1.994279118
TPD52L2,-1.095536902
ANP32E,-1.324416595
YWHAG,-1.238078104
PKM,-1.088070266
SFN,-1.440306654
TACSTD2,-1.563208761
LDHA,-1.058596797
KRT16,-1.197342076
COMT,-1.190118941
YWHAQ,-1.377280817
PLS1,-1.472284509
KRT17,-1.241243029
TAGLN2,-1.195714532
ENO1,-1.40692334
AHCY,-1.100491229
KRT6A,-1.022224341
MCM5,1.078607799
RPS15,1.092850503
MRPL12,1.125409553
HDAC1,1.331029113
DDX18,1.001397721
H3F3A,1.144399195
SLC3A2,1.088310147
HTRA1,1.581017403
TMPO,1.502079843
HIST1H3A,2.511589568
