CCLE_ID,WGV
HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-35.1778429
LS513_LARGE_INTESTINE,17.41246086
C2BBE1_LARGE_INTESTINE,-23.9657961
253J_URINARY_TRACT,-77.87600514
ONCODG1_OVARY,24.68094776
HS294T_SKIN,-7.602460658
NCIH1581_LUNG,-60.95977181
SKBR3_BREAST,-90.60115989
T24_URINARY_TRACT,10.11118823
NCIH1693_LUNG,42.62080609
PATU8988S_PANCREAS,-4.739888455
CH157MN_CENTRAL_NERVOUS_SYSTEM,10.70903289
HCC827GR5_LUNG,42.14689845
PC14_LUNG,117.9990535
NCIH1650_LUNG,51.62103769
U343_CENTRAL_NERVOUS_SYSTEM,-70.33033851
S117_THYROID,-22.79367368
SKNMC_BONE,-35.9377207
U118MG_CENTRAL_NERVOUS_SYSTEM,-53.45281288
RDES_BONE,-59.02544058
PANC0203_PANCREAS,46.42131838
GCIY_STOMACH,48.84941928
TOV112D_OVARY,-110.3113687
A673_BONE,-68.74220395
HT1080_SOFT_TISSUE,-5.625830998
D283MED_CENTRAL_NERVOUS_SYSTEM,-75.22715664
PANC1005_PANCREAS,28.23900036
HS683_CENTRAL_NERVOUS_SYSTEM,-20.63955573
U87MG_CENTRAL_NERVOUS_SYSTEM,-33.79437092
MHHNB11_AUTONOMIC_GANGLIA,-126.3926581
G292CLONEA141B1_BONE,-76.98628297
T3M4_PANCREAS,225.9287979
ACCMESO1_PLEURA,-12.63440861
SKES1_BONE,-54.15032456
NCIH2452_PLEURA,12.71525118
D341MED_CENTRAL_NERVOUS_SYSTEM,-75.09114539
G401_SOFT_TISSUE,-72.71631441
GAMG_CENTRAL_NERVOUS_SYSTEM,8.433482089
SIMA_AUTONOMIC_GANGLIA,-82.01058362
KP3_PANCREAS,60.09403053
SU8686_PANCREAS,164.4335565
VCAP_PROSTATE,-87.06090565
OAW28_OVARY,-15.49346488
HUPT3_PANCREAS,81.84759967
CHP212_AUTONOMIC_GANGLIA,-95.00788016
COV434_OVARY,-70.42871064
SLR20_KIDNEY,-34.86104288
LN319_CENTRAL_NERVOUS_SYSTEM,-40.92180667
JHOS2_OVARY,27.95069306
HS729_SOFT_TISSUE,-27.13119776
8MGBA_CENTRAL_NERVOUS_SYSTEM,25.89857783
CFPAC1_PANCREAS,135.0114063
SNU308_BILIARY_TRACT,128.5589025
CAL29_URINARY_TRACT,139.9738316
HCC2429_LUNG,14.73978761
HS578T_BREAST,-42.59978073
HCC2935_LUNG,-5.69655907
M059K_CENTRAL_NERVOUS_SYSTEM,-43.59819
NCIH2052_PLEURA,57.62052001
OSRC2_KIDNEY,-23.8565667
BT12_SOFT_TISSUE,-74.59130681
SW579_THYROID,-29.44209137
PANC1_PANCREAS,-19.35942153
KE97_STOMACH,-4.920129185
RD_SOFT_TISSUE,-51.45119056
CAL62_THYROID,-42.75620409
HS766T_PANCREAS,118.0854165
SNU869_BILIARY_TRACT,85.9752294
SCC25_UPPER_AERODIGESTIVE_TRACT,225.2320021
RCC10RGB_KIDNEY,-30.26398136
HDMYZ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-47.94954618
NMCG1_CENTRAL_NERVOUS_SYSTEM,-10.03187508
COLO320_LARGE_INTESTINE,-100.5023525
LP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-34.98516937
SNU1079_BILIARY_TRACT,-62.19745727
DAOY_CENTRAL_NERVOUS_SYSTEM,26.98663461
LN382_CENTRAL_NERVOUS_SYSTEM,-79.78244773
JHH6_LIVER,-12.0958571
A375_SKIN,-41.50818695
SNU398_LIVER,-59.04424477
ASPC1_PANCREAS,68.92102651
HCC1937_BREAST,141.9819623
KPNYN_AUTONOMIC_GANGLIA,-99.85551397
BICR31_UPPER_AERODIGESTIVE_TRACT,258.1924336
KALS1_CENTRAL_NERVOUS_SYSTEM,-56.99839886
U251MG_CENTRAL_NERVOUS_SYSTEM,-77.65825107
CAKI2_KIDNEY,-77.33796662
SCC4_UPPER_AERODIGESTIVE_TRACT,257.1732562
DANG_PANCREAS,122.6899646
DKMG_CENTRAL_NERVOUS_SYSTEM,-68.00657028
SLR23_KIDNEY,-30.6183538
OCUM1_STOMACH,31.30566158
AU565_BREAST,-73.86738828
CL11_LARGE_INTESTINE,36.20824762
KMRC20_KIDNEY,-62.9247445
NCIH2887_LUNG,-4.705996842
COV318_OVARY,43.59304129
CORL279_LUNG,-21.56408766
KELLY_AUTONOMIC_GANGLIA,-77.72229758
SKNAS_AUTONOMIC_GANGLIA,-103.9499823
RERFLCAI_LUNG,25.18034828
UOK101_KIDNEY,-67.44800721
CALU6_LUNG,-66.3810281
KP4_PANCREAS,-81.47716567
SNU213_PANCREAS,180.7439692
SLR24_KIDNEY,-73.65544553
SF539_CENTRAL_NERVOUS_SYSTEM,-46.76140901
HS852T_SKIN,-87.52366858
HCC38_BREAST,18.53106627
HCC1419_BREAST,-147.898796
COV362_OVARY,10.2600744
EWS502_BONE,-80.1513092
SNU840_OVARY,168.9365994
KP2_PANCREAS,20.88591516
SNU1033_LARGE_INTESTINE,99.94944238
BT549_BREAST,-28.28435926
OV90_OVARY,10.47005017
NCIH841_LUNG,-33.6528393
KLE_ENDOMETRIUM,77.42032394
OUMS23_LARGE_INTESTINE,69.93650485
SNU1077_ENDOMETRIUM,22.65787829
WM115_SKIN,-62.29195948
ECGI10_OESOPHAGUS,196.1273975
PK1_PANCREAS,76.06704438
EFO21_OVARY,61.70307093
IMR32_AUTONOMIC_GANGLIA,-95.93517557
NCIH2122_LUNG,41.90587023
SKNBE2_AUTONOMIC_GANGLIA,-93.90829458
SNU886_LIVER,-51.53481875
TUHR14TKB_KIDNEY,-50.60035628
TE10_OESOPHAGUS,125.9495353
MPP89_PLEURA,18.09916829
PSN1_PANCREAS,-28.7465444
HT144_SKIN,-90.64855022
42MGBA_CENTRAL_NERVOUS_SYSTEM,-57.16049866
JHOC5_OVARY,-34.64123555
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,-54.69634307
EFM19_BREAST,-105.3227055
ISTMES2_PLEURA,-32.38626546
YAPC_PANCREAS,80.03627762
MSTO211H_PLEURA,-3.035196499
NCIH3122_LUNG,-50.42014957
HCC461_LUNG,-29.83390678
SKNFI_AUTONOMIC_GANGLIA,-81.35552993
NCIH522_LUNG,-73.57157313
SNU668_STOMACH,-74.91374126
RPMI7951_SKIN,14.41178678
COLO678_LARGE_INTESTINE,-10.25732001
MKN45_STOMACH,28.8819486
SKHEP1_LIVER,-16.3748248
U2OS_BONE,-6.271833347
SKNDZ_AUTONOMIC_GANGLIA,-82.86999096
SNU1105_CENTRAL_NERVOUS_SYSTEM,-37.04118677
SNU626_CENTRAL_NERVOUS_SYSTEM,-52.14244743
HCC1143_BREAST,80.03048945
G402_SOFT_TISSUE,-82.6012962
SF295_CENTRAL_NERVOUS_SYSTEM,-49.63096397
SNU478_BILIARY_TRACT,88.87449018
NCIH647_LUNG,91.70927495
T84_LARGE_INTESTINE,50.54896988
OE33_OESOPHAGUS,36.8969001
H4_CENTRAL_NERVOUS_SYSTEM,-42.9100513
LUDLU1_LUNG,51.36262853
HLF_LIVER,-16.16430073
