Drug,Pearson.est,Pearson.p,Pearson.q,Spearman.est,Spearman.p,Spearman.q,Slope,Intercept,R.squared,Rank.slope,Rank.intercept,Rank.R.squared,N
A.674563,0.006234705,0.915081742,0.983695889,0.027445848,0.638722991,0.910950829,5.20E-06,0.789816263,3.89E-05,0.027445848,143.9380145,0.000753275,295
A.803467,-0.048296112,0.443459669,0.793287675,0.01042021,0.868742355,0.970631891,-9.86E-05,1.10275562,0.002332514,0.01042021,126.1714232,0.000108581,254
A61603,-0.069857281,0.231616148,0.611858379,0.005592846,0.923796005,0.984392518,-0.000136338,0.855697945,0.00488004,0.005592846,147.1722587,3.13E-05,295
abemaciclib,0.130121526,0.02517223,0.222871445,0.147867528,0.01085717,0.120932166,0.000159679,0.897125244,0.016931612,0.145242623,126.9314705,0.021864806,296
abiraterone,-0.039534594,0.520080561,0.829417325,-0.010358363,0.86621555,0.970333088,-0.000104403,1.388633607,0.001562984,-0.010358363,135.3880206,0.000107296,267
abiraterone.acetate,-0.058367468,0.349484423,0.735542796,-0.082718727,0.184486156,0.549662455,-0.000143425,1.128977034,0.003406761,-0.082718727,140.7534345,0.006842388,259
ABT.702,-0.012273814,0.831227369,0.96507188,-0.002751177,0.961898842,0.991337739,-2.90E-05,1.003999596,0.000150647,-0.002751177,152.9195545,7.57E-06,304
ABT.737,0.120899387,0.036038337,0.261708778,0.177245825,0.002023361,0.038550352,0.000267275,1.055135744,0.014616662,0.177245825,124.2358804,0.031416083,301
ABT.751,-0.006861693,0.905316158,0.981210925,0.063497562,0.270531595,0.641088591,-7.28E-06,0.618704429,4.71E-05,0.063497562,142.3483706,0.00403194,303
AC.264613,-0.070745227,0.220251712,0.596331357,-0.121929808,0.034172036,0.252582676,-0.000166995,0.971514392,0.005004887,-0.121929808,169.9723658,0.014866878,302
ACDPP,0.056155527,0.376617939,0.753022471,0.036591561,0.564711985,0.877363685,0.000157476,1.059803404,0.003153443,0.036591561,120.907759,0.001338942,250
acetazolamide,0.004176685,0.945639144,0.985806681,0.015200947,0.804004889,0.950744374,9.60E-06,1.261710097,1.74E-05,0.015200947,132.9478722,0.000231069,269
acetophenazine,-0.139202964,0.02369294,0.212429243,-0.084417821,0.171449568,0.537143113,-0.000303769,1.017329619,0.019377465,-0.084417821,143.6853612,0.007126368,264
acetylcysteine,0.126787933,0.036631166,0.26217491,0.116882575,0.054178882,0.328016711,0.000281222,1.213210388,0.01607518,0.116882575,120.5455285,0.013661536,272
acetylsalicylsalicylic.acid,0.087522041,0.137050699,0.498616615,0.084636457,0.150529755,0.513153979,0.000182162,1.099532549,0.007660108,0.084636457,133.1853955,0.00716333,290
acipimox,-0.007810626,0.89391196,0.976116207,-0.025445333,0.663919372,0.915981652,-2.22E-05,1.051252515,6.10E-05,-0.025445333,151.2531866,0.000647465,294
acivicin,-0.095502565,0.132091654,0.491518591,-0.133266644,0.035206675,0.252582676,-0.000177347,0.842667828,0.00912074,-0.133266644,142.2249639,0.017759998,250
ACY.1215,0.022099391,0.702090114,0.909849235,0.031175996,0.589427738,0.892477208,3.63E-05,0.94454131,0.000488383,0.031175996,146.7768366,0.000971943,302
adapalene,0.096806875,0.102296129,0.433631215,0.129829349,0.028142274,0.230226059,0.00012787,1.130437703,0.009371571,0.129829349,124.8694884,0.01685566,286
adaprev,0.037052942,0.51571023,0.829417325,0.033642927,0.555110873,0.876101333,7.99E-05,0.908017763,0.00137292,0.033642927,150.2685249,0.001131847,310
adarotene,0.057789088,0.64748935,0.881391024,0.213898601,0.087098146,0.40348861,4.52E-05,0.700082715,0.003339579,0.213898601,25.94134615,0.045752612,65
adefovir.dipivoxil,-0.038276113,0.549356706,0.838540283,0.028737454,0.653109673,0.912311091,-5.53E-05,0.841264365,0.001465061,0.028737454,120.4365557,0.000825841,247
ADL5859,-0.087117359,0.14740807,0.514694612,-0.048881263,0.416891071,0.779920246,-0.000259811,1.322980996,0.007589434,-0.048881263,146.3189362,0.002389378,278
AEE788,-0.167785978,0.003851195,0.077451804,-0.209653912,0.000287827,0.008867536,-0.000436702,1.062319839,0.028152134,-0.209653912,179.028779,0.043954763,295
AEG3482,0.033193802,0.570791112,0.850314332,0.005705125,0.922403524,0.984392518,7.62E-05,1.04543974,0.001101829,0.005705125,146.6584941,3.25E-05,294
afatinib,-0.423019523,3.10E-14,6.40E-12,-0.357862376,2.43E-10,2.71E-08,-0.000728238,0.866080838,0.178945517,-0.357226995,200.8695953,0.12806548,295
afobazole,-0.057255508,0.32297368,0.713631432,-0.027024745,0.641062773,0.910950829,-0.00014176,1.18077523,0.003278193,-0.027024745,154.5672241,0.000730337,300
AG.14361,0.13062836,0.032873819,0.25455235,0.170286314,0.005273226,0.072720299,0.00027953,1.156006873,0.017063769,0.170286314,111.1816339,0.028997429,267
ajmaline,-0.063157915,0.302037579,0.698358434,-0.055702282,0.36280262,0.73371256,-0.000181716,1.089688334,0.003988922,-0.055702282,142.519808,0.003102744,269
albendazole,0.012156141,0.837817268,0.965891246,-0.015539531,0.793581877,0.949674841,2.45E-05,0.817897927,0.000147772,-0.015539531,145.7299227,0.000241477,286
alectinib,-0.057828546,0.337604463,0.722084583,0.009725555,0.871985226,0.970999322,-3.81E-05,0.962265482,0.003344141,0.009290072,137.70868,9.46E-05,277
alexidine,-0.072059859,0.211775689,0.587454401,-0.084284218,0.143952155,0.50319867,-5.55E-05,0.897847016,0.005192623,-0.084284218,164.269059,0.007103829,302
alfacalcidol,-0.033957684,0.559949544,0.844590563,-0.06880294,0.237154284,0.614024703,-8.28E-05,1.00157407,0.001153124,-0.06880294,159.251638,0.004733844,297
alisertib,0.006245415,0.912368402,0.982237506,0.008102665,0.886464261,0.974052596,1.71E-05,0.774041378,3.90E-05,0.008102665,155.7278815,6.57E-05,313
almorexant,-0.002601028,0.964639615,0.99124103,0.02266662,0.699214391,0.921444562,-6.65E-06,1.321475013,6.77E-06,0.02266662,143.6680069,0.000513776,293
alogliptin,0.091933345,0.153079855,0.515487512,0.046613678,0.46950672,0.815626799,0.000249231,1.216640085,0.00845174,0.046613678,116.3131313,0.002172835,243
alpelisib,-0.231455374,0.000101204,0.004440717,-0.243453757,4.22E-05,0.001776213,-0.000231628,0.934719688,0.05357159,-0.239099381,172.234814,0.059269732,277
altretamine,-0.074915013,0.436667128,0.788522863,-0.023853211,0.804635888,0.950744374,-0.00024543,1.165311442,0.005612259,-0.023853211,56.82385321,0.000568976,110
