Drug,Pearson.est,Pearson.p,Pearson.q,Spearman.est,Spearman.p,Spearman.q,Slope,Intercept,R.squared,Rank.slope,Rank.intercept,Rank.R.squared,N
A.674563,0.020449371,0.723830486,0.938322778,0.038570769,0.505001066,0.808895514,2.81E-06,0.790357954,0.000418177,0.038570769,145.175814,0.001487704,301
A.803467,-0.092830919,0.135472113,0.5116351,-0.046067818,0.459521584,0.780055397,-3.20E-05,1.101171985,0.008617579,-0.046067818,136.5118503,0.002122244,260
A61603,-0.052008497,0.368563156,0.745494862,0.00166377,0.977067772,0.991446484,-1.72E-05,0.858045106,0.002704884,0.00166377,150.7487708,2.77E-06,301
abemaciclib,0.219021272,0.000121297,0.005018215,0.240507034,2.32E-05,0.0009606,4.54E-05,0.898708634,0.047970318,0.235875387,116.1469412,0.057843633,303
abiraterone,-0.005380016,0.929491028,0.988281974,0.009161834,0.880222692,0.951746813,-2.34E-06,1.383837206,2.89E-05,0.009161834,135.7448287,8.39E-05,273
abiraterone.acetate,-0.030385985,0.621757921,0.901928286,-0.030449773,0.621026096,0.863616005,-1.22E-05,1.127804114,0.000923308,-0.030449773,137.5650447,0.000927189,266
ABT.702,-0.02657919,0.641096116,0.907326986,-0.01791882,0.753335658,0.910954181,-1.06E-05,1.007201617,0.000706453,-0.01791882,158.2863764,0.000321084,310
ABT.737,0.063984788,0.263705243,0.671842302,0.088159812,0.123222855,0.412599416,2.35E-05,1.055975538,0.004094053,0.088159812,140.4233889,0.007772153,307
ABT.751,-0.013562323,0.812008581,0.966471328,0.066271375,0.244669835,0.585589952,-2.40E-06,0.620100099,0.000183937,0.066271375,145.1948011,0.004391895,310
AC.264613,-0.15047878,0.008163476,0.117036762,-0.144773509,0.010963836,0.112593155,-5.86E-05,0.970248553,0.022643863,-0.144773509,176.8675071,0.020959369,308
ACDPP,0.057215518,0.362867161,0.744490334,0.034028341,0.588593054,0.852764886,2.61E-05,1.056037878,0.003273616,0.034028341,123.6443724,0.001157928,255
