Gene,Log2FC,sd.Log2FC
AAAS,-1.336966402,NA
AADAC,-6.12320606,NA
AAGAB,-1.300127624,NA
AAMDC,0.542928589,NA
AATF,-0.600770037,NA
ABAT,2.818422172,NA
ABCA3,-1.504335569,NA
ABCB6,-1.948300668,NA
ABCB7,-0.703014476,NA
ABCC1,-0.644950201,NA
ABCC2,-4.956215221,NA
ABCC4,-2.10799206,NA
ABCC8,-0.851706514,NA
ABCD1,1.043997687,NA
ABCG2,-1.368530658,NA
ABHD11,0.76067807,NA
ABHD4,-0.953524009,NA
ABHD5,0.697752941,NA
ABHD8,2.488850096,NA
ABL1,-0.585633183,NA
ABLIM3,2.976937389,NA
ACAA2,-0.937922003,NA
ACACA,-0.960510696,NA
ACACB,-2.178150056,NA
ACADS,-0.932952912,NA
ACADSB,-0.83141567,NA
ACAN,-0.660589378,NA
ACAT1,-1.118160401,NA
ACBD4,-1.141786698,NA
ACE2,2.295843793,NA
ACLY,-1.150421119,NA
ACOT11,2.082632462,NA
ACOT13,-0.782777596,NA
ACOT8,0.667304046,NA
ACOT9,-0.599736218,NA
ACOX1,0.651889822,NA
ACOX3,0.711840339,NA
ACP1,-0.63800185,NA
ACP2,0.689063015,NA
ACRV1,-0.566490742,NA
ACSF2,1.873265231,NA
ACSL1,1.278391903,NA
ACSL4,-0.750746229,NA
ACSL5,1.716147424,NA
ACSM3,-2.39570344,NA
ACTA2,-1.894639384,NA
ACTR1A,-0.465077753,NA
ACTR1B,-0.461397668,NA
ACTR3,-0.38624309,NA
ACTR3B,-0.646395024,NA
ACTR6,-0.556460156,NA
ACVR1,-0.794198829,NA
ADAM10,0.594311011,NA
ADAM22,1.607012179,NA
ADAM23,-1.872005925,NA
ADAMTS1,-2.314917893,NA
ADAMTS2,-0.779288987,NA
ADAMTS8,-1.081913341,NA
ADAP1,1.859076043,NA
ADAT1,0.598525888,NA
ADCY10,-0.961958764,NA
ADCY2,-0.447312073,NA
ADCY6,0.634015528,NA
ADCY9,-1.059864614,NA
ADD2,-3.83389137,NA
ADGRA2,-1.367952576,NA
ADGRA3,0.723119018,NA
ADGRB2,0.961119879,NA
ADGRB3,-1.705243697,NA
ADGRE1,-2.052744701,NA
ADGRE2,1.985455616,NA
ADGRE5,0.770052827,NA
ADGRF1,2.280422199,NA
ADGRF5,3.927063209,NA
ADGRG1,1.545061886,NA
ADGRG2,-2.282662453,NA
ADGRL1,1.284171123,NA
ADGRL2,1.456023995,NA
ADH6,-1.334370759,NA
ADIRF,4.364047563,NA
ADK,0.682507147,NA
ADO,-0.677938583,NA
ADORA1,1.61391476,NA
ADORA2B,1.841055712,NA
ADPGK,-0.569383073,NA
ADRA1D,-1.116066536,NA
ADRA2C,-1.260189568,NA
ADRB2,2.181965883,NA
AEN,-1.135646846,NA
AFDN,1.681814897,NA
AFM,-1.067058355,NA
AGA,-0.679790253,NA
AGAP1,0.915360959,NA
AGBL3,-2.716697561,NA
AGFG1,-1.102676672,NA
AGFG2,1.360241654,NA
AGMAT,-1.851818619,NA
AGO1,0.609542996,NA
AGO3,1.135897736,NA
AGPAT5,-0.829594607,NA
AGR2,-2.907240216,NA
AGRN,0.639045119,NA
AGT,-0.699912252,NA
AGTPBP1,-0.783555408,NA
AGTR1,-1.63336863,NA
AHDC1,1.219916377,NA
AHNAK,1.135097352,NA
AHR,1.078620412,NA
AIFM1,-0.69618701,NA
AK2,0.979152447,NA
AK5,-1.624380835,NA
AK6,-0.507702025,NA
AKAP17A,-0.76200179,NA
AKAP9,1.219839647,NA
AKIP1,-0.63908723,NA
AKR1A1,-0.597206217,NA
AKR1B10,-4.983148686,NA
AKR1C1,-4.57457652,NA
AKR1C3,-3.873325235,NA
AKR1C4,-2.125842484,NA
AKTIP,0.836428775,NA
ALDH1A1,-9.173925835,NA
ALDH1A3,4.635579066,NA
ALDH1B1,-1.065769447,NA
ALDH2,-1.465686,NA
ALDH3A1,-5.89978501,NA
ALDH3A2,-0.764122142,NA
ALDH3B1,-1.598435983,NA
ALDH3B2,1.954401794,NA
ALDH4A1,-0.858901293,NA
ALDH6A1,-1.046891415,NA
ALG12,1.367442545,NA
ALG5,-0.509399782,NA
ALG9,-0.852032624,NA
ALOX12B,-1.073885209,NA
ALPK3,1.624303303,NA
ALPP,6.82793926,NA
ALS2CL,0.505016823,NA
ALX1,-3.286082002,NA
AMBP,-2.887786262,NA
AMFR,0.377396773,NA
AMMECR1,0.747652866,NA
AMN,0.878729411,NA
AMOTL2,0.677613772,NA
AMZ2,-0.510698734,NA
ANAPC5,-0.509288601,NA
ANG,-3.934351256,NA
ANGEL1,0.422999743,NA
ANGEL2,-1.265755701,NA
ANK1,-1.091175897,NA
ANK2,-1.859848439,NA
ANKRD10,-0.840561005,NA
ANKRD12,1.673382647,NA
ANKRD26,1.856121006,NA
ANKRD49,0.421916056,NA
ANKRD6,0.934433549,NA
ANKS1A,1.23089386,NA
ANOS1,2.232558585,NA
ANP32A,-0.568625871,NA
ANP32B,-0.534240936,NA
ANPEP,1.995059188,NA
ANTXR1,-1.642031659,NA
ANXA10,-2.363102273,NA
ANXA11,0.665309939,NA
ANXA13,-3.944966791,NA
ANXA3,1.478793053,NA
ANXA4,-1.535785527,NA
ANXA5,0.616010092,NA
ANXA6,-3.167650872,NA
ANXA9,1.607102272,NA
AOC2,-0.56832689,NA
AOC3,-1.117824465,NA
AP1B1,0.710497939,NA
AP1G1,0.97814431,NA
AP1G2,-0.446974264,NA
AP1M2,0.979036728,NA
AP1S2,-0.985797291,NA
AP2A2,-0.627213519,NA
AP2B1,-0.509908802,NA
AP2S1,0.496885447,NA
AP4S1,-1.055226937,NA
APBA2,-3.791949684,NA
APBB1,-1.077589183,NA
APBB2,1.632092694,NA
APEX1,-1.017811048,NA
APH1B,-0.987475149,NA
APLP2,1.048511563,NA
APOBEC3B,1.867211035,NA
APOBEC3F,0.848292025,NA
APOC1,-2.851043619,NA
APOH,-3.596475638,NA
APOL1,1.783850026,NA
APOL3,2.226828166,NA
APOL6,2.501062284,NA
APOLD1,2.249459613,NA
APOO,-0.740008169,NA
APOOL,-0.874610383,NA
APPL2,-0.864586185,NA
APRT,-0.477088082,NA
AQP2,-0.766239074,NA
AQP4,-1.807278825,NA
AQR,-1.10854903,NA
