CCLE_ID,WGV
HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-1333.479655
LS513_LARGE_INTESTINE,-74.92719801
C2BBE1_LARGE_INTESTINE,-114.8401612
253J_URINARY_TRACT,123.9344991
ONCODG1_OVARY,-377.8368065
HS294T_SKIN,-44.11795415
NCIH1581_LUNG,156.195399
SKBR3_BREAST,15.0632816
T24_URINARY_TRACT,289.332319
MCF7_BREAST,103.2764508
NCIH1693_LUNG,235.1288923
PATU8988S_PANCREAS,19.63175028
CH157MN_CENTRAL_NERVOUS_SYSTEM,-13.77828076
KPL1_BREAST,-15.30843049
HCC827GR5_LUNG,108.8619435
PC14_LUNG,2.297926139
NCIH1650_LUNG,-70.29720644
U343_CENTRAL_NERVOUS_SYSTEM,46.09385905
S117_THYROID,-249.198865
SKNMC_BONE,-253.7961134
U118MG_CENTRAL_NERVOUS_SYSTEM,-245.3399077
RDES_BONE,-624.7202758
PANC0203_PANCREAS,-84.77174795
GCIY_STOMACH,-1194.670592
TOV112D_OVARY,59.14680541
A673_BONE,-173.2904591
HT1080_SOFT_TISSUE,91.8654037
D283MED_CENTRAL_NERVOUS_SYSTEM,-278.2259377
PANC1005_PANCREAS,204.8109917
HS683_CENTRAL_NERVOUS_SYSTEM,-383.5706581
U87MG_CENTRAL_NERVOUS_SYSTEM,-265.5029224
MHHNB11_AUTONOMIC_GANGLIA,-484.9521196
G292CLONEA141B1_BONE,-19.79154872
T3M4_PANCREAS,-374.5498349
ACCMESO1_PLEURA,501.8244766
SKES1_BONE,-391.4971787
NCIH2452_PLEURA,100.7828455
D341MED_CENTRAL_NERVOUS_SYSTEM,-473.6187349
G401_SOFT_TISSUE,211.4348989
ZR751_BREAST,-241.3004487
GAMG_CENTRAL_NERVOUS_SYSTEM,-4.05773573
SIMA_AUTONOMIC_GANGLIA,-537.0578785
KP3_PANCREAS,131.5515141
SU8686_PANCREAS,-909.0755979
VCAP_PROSTATE,-225.1280143
OAW28_OVARY,-494.0511351
HUPT3_PANCREAS,73.44140841
CHP212_AUTONOMIC_GANGLIA,-271.9467124
COV434_OVARY,200.4811304
SLR20_KIDNEY,321.8910614
LN319_CENTRAL_NERVOUS_SYSTEM,-151.4467282
JHOS2_OVARY,-55.21492775
HS729_SOFT_TISSUE,-818.7177668
8MGBA_CENTRAL_NERVOUS_SYSTEM,-430.4344854
CFPAC1_PANCREAS,-181.6944942
SNU308_BILIARY_TRACT,-139.1862924
CAL29_URINARY_TRACT,-221.5694701
HCC2429_LUNG,326.3913424
T47D_BREAST,-113.6140003
HS578T_BREAST,-299.0552038
HCC2935_LUNG,-514.5494979
M059K_CENTRAL_NERVOUS_SYSTEM,-81.33526766
