Drug,Pearson.est,Pearson.p,Pearson.q,Spearman.est,Spearman.p,Spearman.q,Slope,Intercept,R.squared,Rank.slope,Rank.intercept,Rank.R.squared,N
A.674563,0.088540363,0.124081795,0.336934609,0.036299604,0.529048449,0.726125264,2.16E-05,0.791224759,0.007839396,0.036299604,146.4824602,0.001317661,303
A.803467,-0.163612414,0.007965233,0.090816197,-0.161896717,0.008656272,0.07483469,-9.98E-05,1.098564531,0.026769022,-0.161896717,152.7894183,0.026210547,262
A61603,0.025195271,0.662236049,0.82419602,-0.013664333,0.812748681,0.901117986,1.48E-05,0.857872227,0.000634802,-0.013664333,154.0769786,0.000186714,303
abemaciclib,-0.137003199,0.016659701,0.128771139,-0.145101623,0.011176648,0.085177823,-5.05E-05,0.899111112,0.018769877,-0.142362415,174.7814495,0.021054481,305
abiraterone,-0.02170208,0.720125402,0.858026425,-0.099499726,0.099642565,0.292662138,-1.70E-05,1.384383107,0.00047098,-0.099499726,151.7309622,0.009900195,275
abiraterone.acetate,-0.039102176,0.5238761,0.753070523,-0.028321489,0.644391004,0.816368401,-2.69E-05,1.126261391,0.00152898,-0.028321489,138.3092403,0.000802107,268
ABT.702,-0.175969273,0.001807629,0.045128402,-0.190471995,0.000719824,0.021271531,-0.000124009,1.004683375,0.030965185,-0.190471995,186.3088672,0.036279581,312
ABT.737,-0.056767212,0.319914042,0.587637222,-0.091665209,0.107794825,0.302724999,-3.83E-05,1.056204386,0.003222516,-0.091665209,169.2081074,0.008402511,309
ABT.751,-0.063150776,0.266095938,0.527095647,-0.094376428,0.096103434,0.28811133,-1.99E-05,0.619496418,0.00398802,-0.094376428,171.269911,0.00890691,312
AC.264613,0.006753416,0.905729209,0.953430612,0.04230335,0.457996025,0.679157877,4.66E-06,0.968249633,4.56E-05,0.04230335,148.921829,0.001789573,310
ACDPP,-0.099480057,0.11161828,0.321958703,-0.089088374,0.154427276,0.367176841,-8.44E-05,1.054483587,0.009896282,-0.089088374,140.4924003,0.007936738,257
acetazolamide,-0.095460918,0.113573372,0.321986924,-0.094108246,0.118804417,0.320512153,-6.70E-05,1.261030792,0.009112787,-0.094108246,151.5339921,0.008856362,276
acetophenazine,-0.011652116,0.848018203,0.926040994,-0.070107437,0.248307152,0.481323637,-7.47E-06,1.017766247,0.000135772,-0.070107437,146.6047188,0.004915053,273
