ENSID,Log2FC,AveExpr,t,P.Value,adj.P.Val,B,Gene
ENSG00000005108,-5.325072798,-5.325072798,-8.429285695,7.42E-05,0.021394889,2.250168496,THSD7A
ENSG00000005187,2.944400579,2.944400579,6.152583631,0.000510476,0.031327103,0.39214084,ACSM3
ENSG00000005844,-4.06656652,-4.06656652,-4.647910321,0.002494141,0.048550382,-1.213071044,ITGAL
ENSG00000006015,2.817097955,2.817097955,5.181994696,0.001372663,0.040733027,-0.603599554,REX1BD
ENSG00000006625,2.13405411,2.13405411,5.012404272,0.001652143,0.043133899,-0.792215111,GGCT
ENSG00000007080,3.813674111,3.813674111,5.129940542,0.001452401,0.041516056,-0.661012997,CCDC124
ENSG00000008282,2.979850707,2.979850707,6.176498495,0.000498902,0.031193978,0.414961242,SYPL1
ENSG00000009950,-3.337882573,-3.337882573,-5.154941915,0.002281628,0.047407147,-0.928376809,MLXIPL
ENSG00000010610,-5.593851759,-5.593851759,-7.284215175,0.000184353,0.02454771,1.390461572,CD4
ENSG00000011260,2.412686556,2.412686556,5.381870575,0.00110883,0.038251338,-0.38705204,UTP18
ENSG00000011590,-3.809781282,-3.809781282,-6.147824921,0.000938783,0.036236858,-0.074864787,ZBTB32
ENSG00000012779,-4.404733043,-4.404733043,-6.097769647,0.000538161,0.031974879,0.339537399,ALOX5
ENSG00000014641,2.026383093,2.026383093,4.735089915,0.002256273,0.047407147,-1.110470642,MDH1
ENSG00000015568,-3.06925762,-3.06925762,-6.354170841,0.000421591,0.030694428,0.582060295,RGPD5
ENSG00000017427,-2.654220121,-2.654220121,-5.777059892,0.000738211,0.034562877,0.023282221,IGF1
ENSG00000018280,-3.700054629,-3.700054629,-5.886943998,0.00066153,0.033749705,0.133291679,SLC11A1
ENSG00000019582,-4.48760788,-4.48760788,-5.534470866,0.000945411,0.036236858,-0.225837302,CD74
ENSG00000020633,2.351883739,2.351883739,4.902755684,0.001866382,0.045123373,-0.916583315,RUNX3
ENSG00000023572,2.797674268,2.797674268,6.171862386,0.000501122,0.031193978,0.410543455,GLRX2
ENSG00000024526,2.502115991,2.502115991,4.644198306,0.002504868,0.048590321,-1.217466894,DEPDC1
ENSG00000028116,1.986552806,1.986552806,4.621859979,0.002570517,0.049005885,-1.243967461,VRK2
ENSG00000028137,-3.465518963,-3.465518963,-5.300950803,0.001208139,0.039207852,-0.473978815,TNFRSF1B
ENSG00000031691,2.707480063,2.707480063,5.598753475,0.000884787,0.035708585,-0.158975347,CENPQ
ENSG00000037280,-4.189743107,-4.189743107,-9.736488994,2.96E-05,0.018598521,3.079704366,FLT4
ENSG00000038295,-3.470745329,-3.470745329,-6.031321877,0.001035884,0.037187928,-0.167703261,TLL1
ENSG00000038945,-7.072452702,-7.072452702,-12.47459289,1.98E-05,0.016484296,3.037032244,MSR1
ENSG00000041357,1.955010588,1.955010588,4.590733407,0.002665194,0.049511159,-1.281028324,PSMA4
ENSG00000042062,-3.477912988,-3.477912988,-5.002981458,0.001669436,0.043305062,-0.802827906,RIPOR3
ENSG00000042832,-2.813477873,-2.813477873,-6.11045902,0.000531605,0.031844892,0.351752067,TG
ENSG00000043462,-3.805321661,-3.805321661,-5.521066259,0.00095863,0.036236858,-0.239857723,LCP2
ENSG00000046889,-6.414719592,-6.414719592,-7.342819218,0.000843869,0.035701479,-0.161418683,PREX2
ENSG00000047936,-5.43889831,-5.43889831,-6.225813376,0.001756465,0.043996524,-0.699029942,ROS1
ENSG00000048707,-2.354225768,-2.354225768,-5.219581353,0.001318122,0.040443498,-0.562405946,VPS13D
ENSG00000050130,2.028800264,2.028800264,4.679256619,0.002405552,0.048111042,-1.176038829,JKAMP
ENSG00000052802,3.450610346,3.450610346,6.955218432,0.000244583,0.026777841,1.116703321,MSMO1
ENSG00000053438,-3.435136334,-3.435136334,-5.923251183,0.00063819,0.033444038,0.169258788,NNAT
ENSG00000057657,-3.306761804,-3.306761804,-6.657268724,0.000318863,0.029179726,0.857435453,PRDM1
ENSG00000060718,-3.750369633,-3.750369633,-5.619287551,0.000866349,0.035701479,-0.137747184,COL11A1
ENSG00000065268,2.320718845,2.320718845,4.630983115,0.002543478,0.048868139,-1.233134691,WDR18
ENSG00000065518,2.130300008,2.130300008,4.987599656,0.001698099,0.04355245,-0.820182458,NDUFB4
ENSG00000066248,2.439314562,2.439314562,4.616041684,0.002587928,0.049168328,-1.250883107,NGEF
ENSG00000067064,2.301600305,2.301600305,5.242861348,0.001285555,0.040030436,-0.537002046,IDI1
ENSG00000069122,-5.458817706,-5.458817706,-7.671063226,0.000133916,0.022929945,1.696445404,ADGRF5
ENSG00000069431,-5.371286052,-5.371286052,-6.205667767,0.000485181,0.031193978,0.442689225,ABCC9
ENSG00000069943,2.141540293,2.141540293,4.672857531,0.002423349,0.048136719,-1.18358576,PIGB
ENSG00000072401,2.310882376,2.310882376,5.400273185,0.001087539,0.037740205,-0.367423226,UBE2D1
ENSG00000072571,2.8595535,2.8595535,5.543012782,0.000937093,0.036236858,-0.216917032,HMMR
ENSG00000072952,-5.185173604,-5.185173604,-8.884682039,0.000131451,0.022929945,1.656898166,MRVI1
ENSG00000073146,-3.035751363,-3.035751363,-5.39794154,0.00181628,0.044691178,-0.705976958,MOV10L1
ENSG00000073910,-2.250605152,-2.250605152,-4.628438356,0.002550988,0.048921917,-1.236154973,FRY
ENSG00000075089,2.564215812,2.564215812,5.653081992,0.000836933,0.035701479,-0.102946637,ACTR6
ENSG00000076356,-3.003910435,-3.003910435,-6.2526017,0.000463987,0.031182042,0.487059959,PLXNA2
ENSG00000076554,2.06981445,2.06981445,4.777664566,0.002149345,0.047330241,-1.060810286,TPD52
ENSG00000076641,-2.563454421,-2.563454421,-4.564357532,0.002748449,0.049643171,-1.312555476,PAG1
ENSG00000077348,2.612446932,2.612446932,4.680922834,0.002400942,0.048087626,-1.174074819,EXOSC5
ENSG00000077420,-3.44538545,-3.44538545,-5.374944855,0.001855331,0.045102963,-0.726633582,APBB1IP
ENSG00000078237,2.840619737,2.840619737,5.17830861,0.001378146,0.040733027,-0.607651219,TIGAR
ENSG00000079102,-3.768253412,-3.768253412,-5.16565964,0.002258435,0.047407147,-0.918373485,RUNX1T1
ENSG00000079215,-3.367094809,-3.367094809,-5.0030636,0.001669285,0.043305062,-0.802735331,SLC1A3
ENSG00000079308,-4.176303573,-4.176303573,-5.524206667,0.000955514,0.036236858,-0.236570623,TNS1
ENSG00000080986,2.330476391,2.330476391,5.17475191,0.001383459,0.04083832,-0.611562674,NDC80
ENSG00000081154,2.44102376,2.44102376,5.697654152,0.000799831,0.03552773,-0.05730554,PCNP
ENSG00000081237,-4.142126128,-4.142126128,-6.816428421,0.00054799,0.032027897,0.423821698,PTPRC
ENSG00000081923,-4.354065346,-4.354065346,-8.379500498,7.71E-05,0.021394889,2.215568773,ATP8B1
ENSG00000083067,-3.224208924,-3.224208924,-6.341146542,0.000426776,0.030694428,0.569955912,TRPM3
ENSG00000083814,-3.675609665,-3.675609665,-5.25377819,0.001270593,0.039879185,-0.525118173,ZNF671
ENSG00000083937,2.642399101,2.642399101,6.194436551,0.000490413,0.031193978,0.432026767,CHMP2B
ENSG00000086189,2.130902926,2.130902926,4.726255946,0.002279192,0.047407147,-1.120811404,DIMT1
ENSG00000086717,-3.132073903,-3.132073903,-5.432709126,0.001759011,0.04401302,-0.674900078,PPEF1
ENSG00000087116,-3.83725247,-3.83725247,-5.989780173,0.000597782,0.032955733,0.234677718,ADAMTS2
ENSG00000087303,-3.550013179,-3.550013179,-4.673231878,0.002422304,0.048136719,-1.183144082,NID2
ENSG00000088035,3.087438003,3.087438003,6.366609243,0.000416705,0.030694428,0.593598976,ALG6
ENSG00000088766,2.277550811,2.277550811,5.272855154,0.001244912,0.039606214,-0.504395627,CRLS1
ENSG00000090376,-4.186763092,-4.186763092,-5.736682655,0.000768852,0.035294561,-0.017580866,IRAK3
ENSG00000090971,2.1051265,2.1051265,4.886696885,0.001900278,0.045404178,-0.934958608,NAT14
ENSG00000091164,2.225879021,2.225879021,4.883553447,0.001906992,0.04542499,-0.938560309,TXNL1
ENSG00000091656,-2.409484371,-2.409484371,-4.791357189,0.00211616,0.047048515,-1.044900748,ZFHX4
ENSG00000091831,-2.298297245,-2.298297245,-4.786542735,0.002127763,0.047121972,-1.050491255,ESR1
ENSG00000091879,-3.725562153,-3.725562153,-7.698459019,0.000130984,0.022929945,1.717488741,ANGPT2
ENSG00000093072,-3.62740579,-3.62740579,-5.045915001,0.001592241,0.042706426,-0.754586197,ADA2
ENSG00000095370,-2.675619025,-2.675619025,-4.825107139,0.00203677,0.04624875,-1.005815034,SH2D3C
ENSG00000096092,2.853643918,2.853643918,4.755613785,0.002204007,0.047407147,-1.08649457,TMEM14A
ENSG00000099783,2.111986104,2.111986104,4.971135605,0.001729388,0.043788628,-0.838799636,HNRNPM
ENSG00000099937,-4.599720544,-4.599720544,-7.931970977,0.000108741,0.022929945,1.893613662,SERPIND1
ENSG00000100055,-4.351945618,-4.351945618,-9.702234032,3.03E-05,0.018598521,3.059771291,CYTH4
ENSG00000100060,-4.081821726,-4.081821726,-5.483636262,0.001678811,0.043355338,-0.629709391,MFNG
ENSG00000100336,-4.411303268,-4.411303268,-6.652597426,0.000622759,0.033232934,0.306799305,APOL4
ENSG00000100354,-2.268888436,-2.268888436,-4.607003931,0.002615231,0.049382346,-1.26163627,TNRC6B
ENSG00000100365,-3.172253967,-3.172253967,-5.676532639,0.000817178,0.035686484,-0.078897092,NCF4
ENSG00000100368,-5.962460266,-5.962460266,-6.825125743,0.001170509,0.038677103,-0.39410507,CSF2RB
ENSG00000100385,-3.745226286,-3.745226286,-7.622482038,0.000139299,0.022929945,1.658929337,IL2RB
ENSG00000100442,2.919962025,2.919962025,6.569657669,0.000345323,0.029935136,0.779067244,FKBP3
ENSG00000100522,2.126086017,2.126086017,4.647910303,0.002494141,0.048550382,-1.213071065,GNPNAT1
ENSG00000100532,2.041449927,2.041449927,4.741568977,0.002239626,0.047407147,-1.10289445,CGRRF1
ENSG00000100583,-2.426871223,-2.426871223,-4.736528372,0.002252565,0.047407147,-1.108788021,SAMD15
ENSG00000100632,2.101931591,2.101931591,4.709746529,0.00232272,0.047597381,-1.140170511,ERH
ENSG00000100916,2.398038008,2.398038008,5.548710096,0.000931591,0.036236858,-0.210973441,BRMS1L
ENSG00000101082,3.473591133,3.473591133,8.163967924,9.08E-05,0.021864748,2.063005653,SLA2
ENSG00000101132,3.628622698,3.628622698,6.365704017,0.00078392,0.03552773,0.093895033,PFDN4
ENSG00000101182,1.992376469,1.992376469,4.561736253,0.002756879,0.049643171,-1.315694849,PSMA7
ENSG00000101336,-3.700054629,-3.700054629,-5.595019179,0.000888188,0.035708585,-0.162842608,HCK
ENSG00000101445,-4.291097855,-4.291097855,-7.626244662,0.000301453,0.028576733,0.957259502,PPP1R16B
ENSG00000101751,2.188061187,2.188061187,4.775136914,0.002155534,0.047332437,-1.063750474,POLI
ENSG00000102287,-4.168148796,-4.168148796,-7.401349573,0.000353931,0.030122871,0.816278126,GABRE
ENSG00000102755,-5.374990813,-5.374990813,-8.239153876,0.000198486,0.025205781,1.31593584,FLT1
ENSG00000102760,-2.554740207,-2.554740207,-4.705953171,0.002332851,0.047637545,-1.144624847,RGCC
ENSG00000102780,-5.861253376,-5.861253376,-8.914256095,5.21E-05,0.019406976,2.575150726,DGKH
ENSG00000102935,-2.822766804,-2.822766804,-4.601375822,0.002632396,0.049460512,-1.268339296,ZNF423
ENSG00000103067,-3.126900117,-3.126900117,-5.634365006,0.000853084,0.035701479,-0.12219995,ESRP2
ENSG00000103145,2.006417911,2.006417911,4.57267033,0.002721903,0.049643171,-1.302607014,HCFC1R1
ENSG00000103254,2.406540296,2.406540296,4.743522095,0.002234635,0.047407147,-1.100611926,FAM173A
ENSG00000103657,-2.36316853,-2.36316853,-5.314557802,0.001190767,0.039055804,-0.45929139,HERC1
ENSG00000104043,-5.978620477,-5.978620477,-6.84362406,0.001156491,0.038672981,-0.385325061,ATP8B4
ENSG00000104131,2.101207175,2.101207175,4.608590754,0.002610415,0.049371344,-1.259747304,EIF3J
