Gene.ID,M005,M005_PDX,M019,M019_PDX,M026,M029_PDX
ENSG00000158417,1.962929332,1.312181042,0.886245412,1.208141256,0.885542301,1.519956056
ENSG00000125841,1.565603082,2.658983805,1.259428219,1.710328338,1.24850615,2.192718348
ENSG00000100387,1.483933829,1.157732011,1.371896975,1.924233996,1.112757413,1.651571152
ENSG00000142230,1.40612703,1.874836274,1.029223852,1.931831871,0.813506667,1.189337833
ENSG00000163002,2.351178621,0.842858674,0.615323097,1.510136363,0.885103517,0.617064745
ENSG00000184220,2.359843481,1.860346101,1.14744316,1.651112078,1.076524643,1.485552007
ENSG00000130706,3.193369906,2.722596312,2.148410113,2.00649706,0.969584498,1.667690818
ENSG00000269534,NA,3.154191653,1.274286179,1.800979428,1.52520526,1.515687724
ENSG00000176946,2.592950556,2.126068052,1.353392724,1.929130476,0.740297449,1.194621197
ENSG00000122687,1.463405016,1.804707836,0.517895086,1.48654587,0.936219589,1.043028194
ENSG00000085231,2.027801309,2.255231488,1.161329989,2.07849639,1.596715609,1.7177315
ENSG00000142409,3.020533308,2.537693579,1.906554395,2.428967351,0.867256377,1.877144183
ENSG00000108479,NA,2.302290292,1.964827436,1.213438383,1.666634664,1.712084937
ENSG00000132661,0.599236819,1.6077033,1.272163007,1.380024039,0.533008652,1.156860047
ENSG00000069849,1.796164321,2.729092699,1.460152724,2.192626453,1.410615389,1.162958929
ENSG00000088325,1.769110193,4.206161643,0.552224592,3.40543254,1.254740094,1.399249158
ENSG00000130783,-1.116970215,-1.470299212,-1.977252588,-1.405471449,-1.199279932,-1.824162279
ENSG00000090273,1.915718404,2.114663289,1.743472365,2.191960403,0.904215604,1.334506268
ENSG00000102178,1.575269022,1.16991315,0.475504577,1.031392412,0.610880154,1.714591792
ENSG00000113161,1.749405221,2.02446548,0.835182252,1.960956105,1.641660267,2.01964548
ENSG00000181817,2.059352558,2.207772693,1.141142113,1.788701098,0.769257092,1.118991861
ENSG00000134153,1.797299911,2.634467526,1.327880265,1.531551117,1.030434725,1.131712282
ENSG00000111667,2.127286983,2.206323477,1.025057573,1.448987708,0.422598631,1.027129707
ENSG00000023734,1.84120961,1.598999232,0.904829714,1.754955855,1.140604926,1.146531352
ENSG00000138385,2.597275303,1.74148511,1.559041788,2.447263376,1.686293605,1.71797376
ENSG00000182500,0.934560086,1.890698448,0.949190805,0.904383813,0.369369914,1.104208044
ENSG00000122952,1.803958214,5.677188401,1.800740274,4.313917371,2.106335508,2.463650459
ENSG00000105341,0.850608307,1.836032028,0.84488039,1.193296851,0.716644841,1.190788063
ENSG00000140612,0.889673059,0.758914475,0.626558883,1.504287328,0.72347327,0.547923596
ENSG00000166321,-0.953471483,-1.303189226,-1.484212577,-0.952959245,-1.108255759,-1.686658755
ENSG00000153015,2.722989372,2.01668813,0.506946935,0.993339735,0.673046304,1.169382699
ENSG00000049541,0.992947477,2.534701469,1.14013675,2.686125191,0.967422609,1.525312143
ENSG00000042781,-1.43889831,-3.377189807,NA,-2.727399545,-1.891157637,-0.917271683
ENSG00000123064,3.013960655,2.5587937,1.899643268,2.196727756,0.905508278,2.0882665
ENSG00000261613,-1.4032744,-1.557762053,-2.723369881,-1.537921745,-1.01118834,-0.78224489
ENSG00000171848,1.359467829,6.695166142,0.109719624,3.087774882,1.539370945,1.183589997
ENSG00000178972,-4.43889831,-3.557762053,-4.488214508,-4.029962315,-2.306195135,-1.370444311
ENSG00000188486,0.987366445,5.358366217,1.631633192,3.483271799,1.354055493,1.944170755
ENSG00000125835,1.958694055,2.406250216,2.018873602,2.96680822,1.331234785,1.155066794
ENSG00000224051,4.175811534,1.554791769,1.62030995,1.249880379,0.764824328,2.120203022
ENSG00000128463,2.060567971,1.92201821,1.633367272,1.456437763,1.120954859,1.416946049
ENSG00000113810,1.865843274,2.998913428,0.62718892,1.873622807,1.997585612,2.127354548
ENSG00000115241,1.584291317,2.333856829,1.265353054,2.052030142,1.015732959,1.185225391
ENSG00000167747,1.459954967,3.48298429,1.491829201,2.396830245,0.946847499,1.651107933
ENSG00000116670,2.084663646,1.757652735,1.567067928,2.617783903,0.663431216,1.206359666
ENSG00000063244,1.51030309,1.217055934,0.885809806,1.270047814,0.632217066,1.088811369
ENSG00000125611,1.936141121,2.127960111,1.413155244,1.42411342,0.516927102,1.063619494
ENSG00000234236,-2.43889831,-2.640224213,NA,NA,-2.829757092,-2.528706395
ENSG00000115233,1.890225286,3.067665809,1.690450344,2.169437386,1.968343242,1.729467015
ENSG00000011485,1.754409619,1.521526857,0.452874247,1.1367866,0.680467065,0.884063785
ENSG00000234818,0.261541408,1.224846207,2.274286179,1.674255743,1.056374944,1.411851914
ENSG00000041357,2.090354759,2.078594034,1.888079735,2.357613206,1.886597269,1.957016522
ENSG00000124207,2.5362983,2.837823084,1.490231819,2.677741919,2.040567979,1.93322773
ENSG00000126461,3.136010526,2.61100089,1.855714826,1.892891967,0.866847369,1.864727665
ENSG00000142684,2.669626147,3.284588291,2.391981221,3.337032328,1.586129347,2.362064535
ENSG00000260349,-0.998325718,-0.692691633,-2.699718613,-3.375097801,-0.850515652,-1.592836732
ENSG00000161800,0.776114581,3.448564025,0.447122776,2.534023811,1.616701711,1.359141752
ENSG00000244468,-2.43889831,NA,NA,NA,-3.006634854,-3.654237278
ENSG00000184900,0.713432632,1.145317547,1.206924076,1.067016321,0.895787807,0.754028216
ENSG00000025770,1.688857237,1.991280873,1.424463532,2.308042169,1.37639225,2.205458151
ENSG00000232388,1.707943079,2.163906808,1.404796499,2.327389746,0.842448945,1.511100455
ENSG00000186376,-2.43889831,-2.004036389,-1.424711565,-1.86383638,-0.59454063,-0.170812803
ENSG00000101182,2.011353882,2.534146693,2.314448719,3.034542715,1.651326805,1.812178517
ENSG00000128524,2.137843685,2.002928052,1.592730203,2.332291875,1.04382969,1.066891769
ENSG00000116809,1.216453519,1.80100281,1.426668879,1.011546414,0.798141524,1.494154563
ENSG00000089157,1.327655469,1.523559785,1.807318111,2.948490336,0.819984225,1.599519315
ENSG00000073111,1.428099559,2.681703882,1.269268104,2.19771481,0.795250127,1.392056375
ENSG00000226332,2.399044932,2.917430942,1.673001373,1.641071136,0.970645069,1.263300563
ENSG00000136522,2.428998154,2.018738869,2.081641101,2.648976334,1.909938295,1.62076977
ENSG00000132522,1.916582345,1.729840403,0.607709912,1.785787693,0.964256741,0.345762723
ENSG00000132507,1.544613568,1.895525313,1.453833419,2.519449433,1.090412101,1.027379335
ENSG00000173545,2.333691194,1.936517781,1.077053832,1.479614775,1.307746432,0.796014915
ENSG00000236535,NA,NA,NA,NA,-3.113550058,NA
ENSG00000127774,1.936141121,3.851628883,2.251566103,2.00956605,1.392938385,1.502267209
ENSG00000181991,1.690384707,1.529700788,0.819091553,1.126596103,0.616793963,1.646680325
ENSG00000143106,1.987366445,2.17432621,1.431090259,2.851916393,1.429258992,1.564522065
ENSG00000159231,2.402403944,3.230140506,1.868834728,2.377904609,1.003660127,2.615223398
ENSG00000173418,1.906876527,1.816863465,1.164103261,1.808307841,1.154828568,1.51227306
ENSG00000105677,2.209390126,2.101781998,1.492429127,2.086901444,1.02702412,1.719221118
ENSG00000115350,1.20495788,1.688899383,1.481526375,2.536184564,1.405178744,1.807666827
ENSG00000087088,1.973883215,3.274659173,1.68657015,2.416097331,0.744865353,1.485252062
ENSG00000162585,0.747802404,1.497710674,1.480558935,1.179491051,0.9660578,2.044254169
ENSG00000175166,1.279366439,1.586324701,0.900976814,1.146276461,0.835689203,0.851386264
ENSG00000130725,1.766650601,2.665215759,1.130669437,1.983517956,0.669297162,1.487118572
ENSG00000063245,2.016296316,2.195343244,1.824201732,2.015401333,0.72801429,1.788073152
ENSG00000141030,0.964823876,0.83455537,0.892320501,1.26531042,0.923353848,0.075460317
ENSG00000105618,2.447814404,2.181230906,1.948219433,2.72781855,0.839865193,1.556774916
ENSG00000170606,1.438495388,1.669252141,0.756361797,1.519582812,1.202444342,1.44235465
ENSG00000185825,1.603412495,2.017146783,1.54855931,1.696153573,1.269068538,1.298457008
ENSG00000138382,1.918653695,1.735169906,1.276058894,1.470006193,1.084002235,1.215702183
ENSG00000120509,0.813488852,1.880198035,0.672250165,0.970482527,0.872948395,0.966475249
ENSG00000163655,1.795762948,1.283154506,0.160250936,0.798400884,0.807937914,0.985262508
ENSG00000260977,NA,-1.377189807,-1.240286994,-1.694978067,-1.528587557,-3.113668895
ENSG00000223473,-1.246253232,-1.602749508,-4.194483305,-4.068436462,-2.515648501,-2.769714495
ENSG00000115307,1.703395573,1.571715844,1.242750605,2.098204116,0.479948027,1.376642036
ENSG00000113141,2.893298121,1.403048496,1.451152135,1.719010581,0.93153237,1.172094177
ENSG00000112941,1.506811535,0.827924622,0.571640658,0.58757579,0.567663834,0.576925354
ENSG00000111206,1.352515068,2.957122012,1.118655943,3.86042261,1.111296225,1.330332682
ENSG00000061794,1.680840935,1.730798431,1.466822616,1.390638715,1.39767277,1.029667073
ENSG00000101773,2.631491018,2.069066422,0.487340735,1.56709532,1.14346056,1.078600431
ENSG00000196696,-1.313367428,-1.470299212,-0.609520804,-1.433485826,-0.581829579,-1.324088675
ENSG00000173548,-0.497001265,-1.065009689,-1.259862532,-1.714640314,-1.064790746,-0.40060157
ENSG00000260872,-2.760826405,-2.92973083,-3.191377394,-3.32300929,-1.994251129,-1.49295637
ENSG00000169288,1.731026691,2.290513124,2.759713006,3.781527065,2.293717706,2.11129747
ENSG00000135624,1.931627658,1.774813286,1.063883359,2.163407328,0.948304074,1.210535342
ENSG00000107937,1.549786377,1.840172368,0.999540021,1.767137636,1.519775464,1.156687201
ENSG00000116212,0.826446257,1.607703301,1.44252283,1.512914785,0.999150075,1.802515241
ENSG00000113068,1.226984186,1.28458829,1.073558754,1.351715169,0.958350737,0.834381354
ENSG00000111445,1.208348469,2.001321816,1.114459725,1.746859492,1.264895189,1.345762723
ENSG00000261221,3.146064191,2.69962579,2.000721105,1.40655996,0.857668112,1.708332802
ENSG00000125970,1.806537501,2.461682364,1.807182579,2.8006897,1.099273655,1.653687958
ENSG00000267255,NA,NA,2.0816411,2.294968268,0.916197286,1.284362178
ENSG00000233799,-0.853935809,-2.114155401,-2.098267989,-4.142437044,-0.791621963,-0.454928469
ENSG00000185651,2.287838152,1.559204782,0.834580926,1.61827064,0.582988405,0.819693911
ENSG00000132646,3.464782729,4.905898546,1.735339411,3.352409197,2.05349714,2.231843131
ENSG00000067225,2.27200999,3.270043743,1.30146017,1.768628095,1.108860457,1.886795815
ENSG00000170473,1.020533309,2.213227124,1.847175847,1.578040427,0.791985258,2.235059258
ENSG00000182117,1.00253688,1.861214932,0.974032127,2.351880092,0.787291493,1.602864798
ENSG00000106615,2.747802404,2.221997334,0.93651127,1.442760251,0.919307213,1.430111993
ENSG00000170515,2.324401432,1.693006531,1.531734855,2.305021933,1.315227303,1.29456696
ENSG00000166477,1.419082685,0.613765053,0.274286178,0.622009287,0.23014866,1.294047686
ENSG00000149923,1.212631808,1.986745814,1.41593419,2.257750065,0.800953722,1.270712017
ENSG00000105568,1.377794477,1.195231244,1.49025233,1.595728297,0.615593478,1.075534704
ENSG00000140553,1.453778427,1.513212665,1.342477951,0.877258758,0.594850454,1.395192432
ENSG00000031081,-1.413542736,-0.943415745,-2.191466866,-1.684931404,-1.601496729,-0.115872365
ENSG00000155438,2.033589462,1.745206824,1.222684982,1.789031575,1.34616665,1.83302855
ENSG00000115514,2.35117862,2.843591564,2.143417298,2.153495843,2.501159786,2.986868302
ENSG00000269292,3.393991704,1.279433679,0.86662821,1.461155276,1.565238326,1.477292346
ENSG00000040275,0.996487835,1.944738287,0.59465376,2.315627739,2.100769063,2.310264042
ENSG00000269151,1.020533309,3.529700789,1.759713006,3.612450458,1.430770458,1.390156842
ENSG00000149636,1.536298299,2.127960111,1.281250127,1.778953121,1.356303966,1.945009449
ENSG00000114054,1.714053613,1.449847481,0.669241415,0.744469177,0.533340192,1.1687145
ENSG00000248461,1.883029785,3.337055711,0.652797802,2.501419145,0.916197285,4.252653318
ENSG00000053371,0.846503909,1.790825604,1.017510764,1.953679109,0.757166925,1.244385703
ENSG00000108953,1.740836214,1.994709631,1.350977461,1.504136319,1.464679957,0.797058822
ENSG00000062194,1.992518932,1.653003569,1.058054281,1.251281734,1.131878922,1.046202441
ENSG00000236782,1.368456612,3.319777719,3.759713006,3.13058145,1.70940172,2.738080146
ENSG00000173457,1.68842052,1.988239926,1.675320819,2.868404516,1.094266362,1.593006008
ENSG00000053372,1.860068637,2.538470998,1.511214693,2.797243487,1.053916154,1.836961387
ENSG00000174695,2.030743508,2.287130485,1.222288894,1.692119162,2.40071569,1.804548118
ENSG00000168556,1.020533309,2.207772693,1.307200801,2.002613289,1.212271953,0.492604111
ENSG00000170445,1.6893274,1.829417604,0.900673928,1.656538212,0.988765911,1.282568897
ENSG00000125503,1.78452424,1.153055523,1.998936451,1.425651638,0.533413985,1.847369477
ENSG00000112787,1.936141121,1.849664696,1.19034736,1.281029077,0.713083927,1.493752753
ENSG00000164346,2.275347208,1.83736819,1.288407286,2.147782191,1.00930669,0.772630066
ENSG00000163964,3.637917287,1.794404014,0.880007239,1.20209248,1.16820899,1.299959033
ENSG00000130816,1.961032297,1.825043221,0.232262964,1.024633961,0.909948283,1.217839807
ENSG00000215421,-2.152594125,-2.3200894,-2.355764212,-3.096450839,-1.777375713,-1.875177564
ENSG00000106244,2.379315127,2.718734613,1.718246389,1.725270932,0.967210955,1.603121904
ENSG00000120539,2.133991359,1.56364812,0.208303065,1.037472046,1.35133599,1.27912553
ENSG00000138069,2.695133022,2.183745423,0.820939805,1.561448604,1.272477676,1.437627383
ENSG00000000419,1.731026692,2.923364637,1.539587192,1.93751826,1.986878096,1.65655026
ENSG00000179331,-2.43889831,-2.640224213,-3.240286994,NA,NA,0.667690818
ENSG00000144034,1.036835121,1.722345866,1.841507097,2.122907523,2.121898516,1.728232359
ENSG00000132341,1.133616357,1.595316253,0.630306803,2.027487958,0.948766311,0.915928221
ENSG00000052802,4.381280653,3.856962327,2.81556624,3.424113419,3.154984145,3.825542987
ENSG00000196782,-0.853935809,-0.997928537,-2.916397383,-3.04123832,-1.390259401,-0.915729519
ENSG00000152253,1.063602031,4.404169907,1.484078563,4.599029943,2.288353414,2.19375963
ENSG00000116539,-1.43889831,-1.917217077,-3.035748238,-3.075596254,-1.794296097,-1.350816312
ENSG00000010256,1.898405011,1.675742323,1.575629942,2.212736985,1.013575773,1.365377483
ENSG00000115234,1.739019482,1.564634579,1.00278568,1.263223319,0.607742265,0.949522819
ENSG00000115946,3.818489533,1.904992109,0.812564888,1.272600455,1.307149166,1.625870641
ENSG00000111231,2.193369906,2.499327139,2.249097846,2.59452855,2.403862585,2.817068442
ENSG00000162961,2.219313173,2.763497973,2.136088885,2.874078043,2.087719072,2.964672556
ENSG00000175564,-0.853935809,-0.569834885,-0.825249495,NA,-0.569229542,-0.917271683
ENSG00000146670,1.239173596,4.631238815,1.486147933,4.790925763,2.236703306,1.809163244
ENSG00000101444,1.122348122,1.32060519,0.802568485,1.863691425,0.247780257,0.613598115
ENSG00000074696,1.845133177,1.60505979,0.577439612,0.751278163,1.133991312,1.289007944
ENSG00000101447,2.669626147,NA,0.777860353,4.396721767,1.214920883,1.038253688
ENSG00000135249,3.720973027,2.109310054,1.405875663,1.536786188,1.477838712,1.580782753
ENSG00000114767,2.020533308,2.453751934,2.174750506,2.866968462,1.415862251,3.248066049
ENSG00000154518,3.306415866,3.523006136,2.513257341,3.727214151,2.537114765,2.649842816
ENSG00000167553,2.129057766,2.629789113,1.950491322,2.865991578,1.952639281,2.389299371
ENSG00000128708,3.071159382,2.989132407,2.144376856,2.816920972,2.449568054,2.643808188
ENSG00000186480,2.212465416,2.687848622,1.045115225,1.99776726,1.683656909,1.678641117
ENSG00000128626,0.538381614,2.210082854,1.54749239,3.070261982,1.497407651,2.396388796
ENSG00000075702,1.252263595,4.777628302,0.664432503,2.819948664,1.123906236,0.655784051
ENSG00000089351,2.471686769,2.259248911,1.64153158,0.769671261,0.788716511,1.816213343
ENSG00000172613,2.217725176,2.167130709,1.750889155,2.715543951,0.710483606,1.989618913
ENSG00000131876,1.984313121,1.793913385,1.411789703,1.64619067,1.476630152,0.5592151
ENSG00000168061,2.883029785,2.181777485,3.219144625,3.279026725,1.278767365,3.945675565
