Gene,Log2FC
THSD7A,-5.325072798
ACSM3,2.944400579
ITGAL,-4.06656652
REX1BD,2.817097955
GGCT,2.13405411
CCDC124,3.813674111
SYPL1,2.979850707
MLXIPL,-3.337882573
CD4,-5.593851759
UTP18,2.412686556
ZBTB32,-3.809781282
ALOX5,-4.404733043
MDH1,2.026383093
RGPD5,-3.06925762
IGF1,-2.654220121
SLC11A1,-3.700054629
CD74,-4.48760788
RUNX3,2.351883739
GLRX2,2.797674268
DEPDC1,2.502115991
VRK2,1.986552806
TNFRSF1B,-3.465518963
CENPQ,2.707480063
FLT4,-4.189743107
TLL1,-3.470745329
MSR1,-7.072452702
PSMA4,1.955010588
RIPOR3,-3.477912988
TG,-2.813477873
LCP2,-3.805321661
PREX2,-6.414719592
ROS1,-5.43889831
VPS13D,-2.354225768
JKAMP,2.028800264
MSMO1,3.450610346
NNAT,-3.435136334
PRDM1,-3.306761804
COL11A1,-3.750369633
WDR18,2.320718845
NDUFB4,2.130300008
NGEF,2.439314562
IDI1,2.301600305
ADGRF5,-5.458817706
ABCC9,-5.371286052
PIGB,2.141540293
UBE2D1,2.310882376
HMMR,2.8595535
MRVI1,-5.185173604
MOV10L1,-3.035751363
FRY,-2.250605152
ACTR6,2.564215812
PLXNA2,-3.003910435
TPD52,2.06981445
PAG1,-2.563454421
EXOSC5,2.612446932
APBB1IP,-3.44538545
TIGAR,2.840619737
RUNX1T1,-3.768253412
SLC1A3,-3.367094809
TNS1,-4.176303573
NDC80,2.330476391
PCNP,2.44102376
PTPRC,-4.142126128
ATP8B1,-4.354065346
TRPM3,-3.224208924
ZNF671,-3.675609665
CHMP2B,2.642399101
DIMT1,2.130902926
PPEF1,-3.132073903
ADAMTS2,-3.83725247
NID2,-3.550013179
ALG6,3.087438003
CRLS1,2.277550811
IRAK3,-4.186763092
NAT14,2.1051265
TXNL1,2.225879021
ZFHX4,-2.409484371
ESR1,-2.298297245
ANGPT2,-3.725562153
ADA2,-3.62740579
SH2D3C,-2.675619025
TMEM14A,2.853643918
HNRNPM,2.111986104
SERPIND1,-4.599720544
CYTH4,-4.351945618
MFNG,-4.081821726
APOL4,-4.411303268
TNRC6B,-2.268888436
NCF4,-3.172253967
CSF2RB,-5.962460266
IL2RB,-3.745226286
FKBP3,2.919962025
GNPNAT1,2.126086017
CGRRF1,2.041449927
SAMD15,-2.426871223
ERH,2.101931591
BRMS1L,2.398038008
SLA2,3.473591133
PFDN4,3.628622698
PSMA7,1.992376469
HCK,-3.700054629
PPP1R16B,-4.291097855
POLI,2.188061187
GABRE,-4.168148796
FLT1,-5.374990813
RGCC,-2.554740207
DGKH,-5.861253376
ZNF423,-2.822766804
ESRP2,-3.126900117
HCFC1R1,2.006417911
FAM173A,2.406540296
HERC1,-2.36316853
ATP8B4,-5.978620477
EIF3J,2.101207175
WISP1,-2.98002889
TRPS1,-3.0531976
LILRB1,-5.113550058
TNNT1,2.966649067
DENND3,-2.512283181
NOP53,2.543604391
ETFB,2.253688189
JAK3,-2.61129735
TFPI2,3.214795967
PTN,2.95900242
LFNG,-2.68825285
HSPB1,2.705102632
CYP3A5,-4.310079629
LSM5,2.989347718
ECM2,-3.383417405
APBA1,-3.010507407
VSIR,-2.788779333
MINPP1,2.531391771
ACTA2,-2.016881501
EBF3,-2.881373622
ENO3,2.186272741
PFN1,2.068120837
C17orf75,2.506411534
ABI3,-3.995126814
FAM20A,-4.273824296
GNRHR,-4.568705434
GAR1,3.518539522
CCDC34,2.882138591
NRXN2,-3.983721575
IL10RA,-4.916945607
EXPH5,-4.29828166
VWF,-6.209386369
SELPLG,-3.893391198
PTGES3,2.83632961
GPN3,2.282110112
CDK2AP1,2.47665048
ADGRD1,-2.543078876
GOLT1B,3.310668825
LDHB,1.971686585
CMAS,2.652325248
COX6A1,2.081961328
RFX4,-3.264245121
COL12A1,-2.492532053
DSE,-2.844112456
PAK1IP1,1.981843378
SRSF3,1.96148633
GMNN,2.488217494
SOBP,-2.881052177
SMOC2,-3.974286452
PRPH2,-3.337882574
NUDT12,2.224541462
RASGRF2,-3.888216721
CCNG1,3.415265507
CDH6,-3.896043439
BRIX1,2.90199926
PCDH12,-2.949711656
SKP1,2.348949959
PPP2CA,2.020880333
C3orf14,2.375251743
ACVR2B,-2.81380782
EIF1B,2.88590805
RTN4,2.166040104
FANCL,2.313498792
TXNDC9,2.331918568
MOB4,2.85458256
HSPE1,2.598898162
IL1R1,-3.627655543
DARS,2.555749945
PLEK,-4.869723441
ALMS1,-2.778342266
KIAA1324,-2.026163281
NCF2,-3.178413047
SLAMF1,-3.222766582
RPF1,2.479010159
STMN1,2.610316446
SPCS2,2.399462889
FILIP1,-3.392557751
PCDH17,-6.085867176
CCND2,-4.179048256
UBE2B,2.59914442
CTNNAL1,2.519340884
WDR34,2.010570783
PROX2,-2.692231869
ZNF410,-3.230913191
TEK,-3.516963526
SLC25A2,-3.756133208
ACAT2,2.266267622
KCNJ5,-4.339592652
ENY2,2.516940516
ALG5,2.472438022
LRAT,3.697118216
MND1,2.469836975
PYROXD1,2.502313723
BCL2L14,-3.899875319
ZSCAN18,-2.747764014
CCR2,-5.608823312
SASH3,-5.798048232
CBX3,2.691989711
NT5C3A,3.337209959
PLAU,-6.547725391
ITPR2,-2.509035018
ARHGAP9,-3.067598382
IL13RA2,3.03348057
COL10A1,-6.392546906
AGO2,-2.53525043
TP53TG5,-2.488386901
F13A1,-6.213710341
HIST1H1D,-7.317262491
EEF1E1,4.058315589
EREG,2.852570113
MT2A,2.312552138
GPR18,-6.109453736
CLPP,2.21810519
CD93,-7.953878854
DSTN,2.067944368
AGO3,-2.135303526
PRDX5,2.154256013
COX7C,2.742862841
MASP1,-5.853935809
HELB,-2.893154888
YEATS4,3.063692356
MACF1,-2.447031049
GNG11,3.959887825
SEM1,2.560997308
GNGT1,3.472646304
KDR,-5.021192422
SDF2L1,1.963931977
KRT17,-5.023860811
PODXL,-4.092532945
LRRC4,-4.198044276
NDUFA5,2.450627884
HAT1,2.555034764
WDFY4,-6.686825823
DLL4,-4.328851343
DUT,2.3896491
ADCY4,-3.645045895
CNN1,-5.246483248
LSM7,2.481926817
PXDN,-4.539941843
GDF15,2.452952985
COL5A1,-3.614046039
TMEM160,2.619480831
SYNE1,-2.708419173
AOC3,-2.734490908
NDUFA2,1.971906863
TMEM204,-4.358056226
CKMT2,-4.872387932
LIN28A,-3.69094776
SEC61G,3.805737911
VPS13B,-2.233638289
PCNA,2.417873093
POMP,2.122896031
EPHB2,-3.126444043
HSPBP1,3.09423484
MED10,2.074531833
PDZD2,-3.618545778
GIMAP6,-6.698512558
BTG1,2.277688537
UNC79,-3.45494343
COX16,2.170690299
IER3IP1,3.979136805
MRPS36,2.480494439
CCNB1,2.496660736
ARL8B,2.263182647
WNT2B,-2.771409316
SLC38A2,2.350877239
TIMM17A,2.27791596
DOCK2,-4.049362153
RNF138,3.141630625
TMED7,3.559413499
SDS,-3.877967748
TMEM60,2.522400139
SNX14,2.171473059
GLS2,-2.337582897
FAM186B,-2.479084903
MPHOSPH6,2.275549434
ANKRD36,-3.216941652
ITM2B,2.171376318
AOAH,-6.112436855
BZW2,2.056051704
ZFHX2,-2.838631719
NDUFB5,2.335957809
MRPL47,2.140192517
TXN,2.522659409
ANP32B,2.7391911
DSCC1,2.700778317
SLCO2B1,-5.763072746
GGH,2.559316639
SULF1,-2.430797567
TRPC6,-3.760255582
DCUN1D5,2.873008827
ITGA11,-4.103321229
RPLP1,2.192984892
RSL24D1,2.222860248
KYAT3,3.456474745
