"CCLE_19Q4_gene_symbol","HGNC_ID","HGNC_approved_symbol","HGNC_alias_symbols","HGNC_previous_symbols"
"TSPAN6","HGNC:11858","TSPAN6","T245|TSPAN-6","TM4SF6"
"TNMD","HGNC:17757","TNMD","myodulin|ChM1L|tendin|TEM|BRICD4",""
"DPM1","HGNC:3005","DPM1","MPDS|CDGIE",""
"SCYL3","HGNC:19285","SCYL3","PACE-1|PACE1",""
"C1orf112","HGNC:25565","FIRRM","FLJ10706|Apolo1|FLIP|MEICA1","C1orf112"
"FGR","HGNC:3697","FGR","c-fgr|p55c-fgr","SRC2"
"CFH","HGNC:4883","CFH","HUS|FHL1|ARMS1|ARMD4","HF|HF1|HF2"
"FUCA2","HGNC:4008","FUCA2","MGC1314|dJ20N2.5",""
"GCLC","HGNC:4311","GCLC","GCS","GLCLC|GLCL"
"NFYA","HGNC:7804","NFYA","HAP2|CBF-B|NF-YA",""
"STPG1","HGNC:28070","STPG1","FLJ33340|MAPO2","C1orf201"
"NIPAL3","HGNC:25233","NIPAL3","DJ462O23.2|SLC57A5","NPAL3"
"LAS1L","HGNC:25726","LAS1L","FLJ12525|Las1",""
"ENPP4","HGNC:3359","ENPP4","NPP4|KIAA0879|AP3Aase",""
"SEMA3F","HGNC:10728","SEMA3F","SEMAK|Sema4",""
"CFTR","HGNC:1884","CFTR","MRP7|ABC35|TNR-CFTR|dJ760C5.1|CFTR/MRP","CF|ABCC7"
"ANKIB1","HGNC:22215","ANKIB1","DKFZP434A0225|KIAA1386",""
"CYP51A1","HGNC:2649","CYP51A1","CP51|CYPL1|P450L1|LDM|P450-14DM","CYP51"
"KRIT1","HGNC:1573","KRIT1","CAM","CCM1"
"RAD52","HGNC:9824","RAD52","",""
"BAD","HGNC:936","BAD","BCL2L8|BBC2",""
"LAP3","HGNC:18449","LAP3","LAPEP|LAP","PEPS"
"CD99","HGNC:7082","CD99","","MIC2|MIC2X|MIC2Y"
"HS3ST1","HGNC:5194","HS3ST1","3OST1",""
"AOC1","HGNC:80","AOC1","DAO","ABP1|ABP"
"WNT16","HGNC:16267","WNT16","",""
"HECW1","HGNC:22195","HECW1","KIAA0322|NEDL1",""
"MAD1L1","HGNC:6762","MAD1L1","HsMAD1|TXBP181|MAD1|PIG9|TP53I9",""
"LASP1","HGNC:6513","LASP1","MLN50|Lasp-1",""
"SNX11","HGNC:14975","SNX11","",""
"TMEM176A","HGNC:24930","TMEM176A","HCA112|MS4B1",""
"M6PR","HGNC:6752","M6PR","CD-MPR|CD-M6PR",""
"KLHL13","HGNC:22931","KLHL13","FLJ10262","BKLHD2|KIAA1309"
"CYP26B1","HGNC:20581","CYP26B1","P450RAI-2",""
"ICA1","HGNC:5343","ICA1","ICAp69|ICA69",""
"DBNDD1","HGNC:28455","DBNDD1","MGC3101|FLJ12582",""
"ALS2","HGNC:443","ALS2","","ALS2CR6"
"CASP10","HGNC:1500","CASP10","MCH4|FLICE-2",""
"CFLAR","HGNC:1876","CFLAR","CASH|Casper|CLARP|FLAME|FLIP|I-FLICE|MRIT|c-FLIP|cFLIP","CASP8AP1"
"TFPI","HGNC:11760","TFPI","EPI|TFI|TFPI1","LACI"
"NDUFAF7","HGNC:28816","NDUFAF7","PRO1853|MidA","C2orf56"
"RBM5","HGNC:9902","RBM5","LUCA15|LUCA-15|H37",""
"MTMR7","HGNC:7454","MTMR7","",""
"SLC7A2","HGNC:11060","SLC7A2","CAT-2|HCAT2","ATRC2"
"ARF5","HGNC:658","ARF5","",""
"SARM1","HGNC:17074","SARM1","SARM|SAMD2|KIAA0524",""
"POLDIP2","HGNC:23781","POLDIP2","PDIP38|DKFZP586F1524",""
"PLXND1","HGNC:9107","PLXND1","KIAA0620",""
"AK2","HGNC:362","AK2","",""
"CD38","HGNC:1667","CD38","cADPR1",""
"FKBP4","HGNC:3720","FKBP4","FKBP59|FKBP52",""
"KDM1A","HGNC:29079","KDM1A","KIAA0601|BHC110|LSD1","AOF2|KDM1"
"RBM6","HGNC:9903","RBM6","DEF-3|3G2|NY-LU-12|g16|DEF3",""
"CAMKK1","HGNC:1469","CAMKK1","DKFZp761M0423|CAMKKA|MGC34095",""
"RECQL","HGNC:9948","RECQL","RecQ1|RecQL1",""
"VPS50","HGNC:25956","VPS50","KIAA1861|FLJ20097|DKFZp313I2429|VPS54L","CCDC132"
"HSPB6","HGNC:26511","HSPB6","FLJ32389|Hsp20|PPP1R91",""
"ARHGAP33","HGNC:23085","ARHGAP33","FLJ39019|TCGAP","SNX26"
"NDUFAB1","HGNC:7694","NDUFAB1","SDAP|FASN2A|ACP|ACP1",""
"PDK4","HGNC:8812","PDK4","",""
"SLC22A16","HGNC:20302","SLC22A16","FLIPT2|CT2|OKB1|OAT6",""
"ZMYND10","HGNC:19412","ZMYND10","BLU|CILD22|DNAAF7",""
"ABCB5","HGNC:46","ABCB5","EST422562|ABCB5beta|ABCB5alpha",""
"ARX","HGNC:18060","ARX","ISSX|CT121|EIEE1","MRXS1|PRTS|MRX76|MRX54|MRX43|MRX36|MRX29|MRX32|MRX33|MRX38|MRX87"
"SLC25A13","HGNC:10983","SLC25A13","CITRIN|ARALAR2","CTLN2"
"ST7","HGNC:11351","ST7","TSG7|SEN4|ETS7q|HELG|RAY1|FAM4A","FAM4A1"
"CDC27","HGNC:1728","CDC27","APC3|ANAPC3|NUC2","D0S1430E|D17S978E"
"SLC4A1","HGNC:11027","SLC4A1","RTA1A|CD233|FR|SW|WR|EMPB3","EPB3|AE1|DI|WD"
