PRISM_drug_name,PubChem_CID,PubChem_synonyms
A.674563,11314340,"A-674563|552325-73-2|A674563|A 674563|3W2X0WGW6C|(2s)-1-{[5-(3-Methyl-1h-Indazol-5-Yl)pyridin-3-Yl]oxy}-3-Phenylpropan-2-Amine|(S)-1-(5-(3-methyl-1H-indazol-5-yl)pyridin-3-yloxy)-3-phenylpropan-2-amine|(S)-1-((5-(3-Methyl-1H-indazol-5-yl)pyridin-3-yl)oxy)-3-phenylpropan-2-amine|5-{5-[(2S)-2-amino-3-phenylpropoxy]pyridin-3-yl}-3-methyl-1H-indazole|5-(5-((2S)-2-Amino-3-phenylpropoxy)pyridin-3-yl)-3-methyl-1H-indazole|(alphaS)-alpha-(((5-(3-Methyl-1H-indazol-5-yl)-3-pyridinyl)oxy)methyl)benzeneethanamine|(2S)-1-[5-(3-methyl-2H-indazol-5-yl)pyridin-3-yl]oxy-3-phenylpropan-2-amine|indazole-pyridine, 7|5-indazolyl pyridine 11g|UNII-3W2X0WGW6C|MLS006011000|CHEMBL379218|GTPL5655|SCHEMBL2191602|SCHEMBL19031303|BDBM15138|DTXSID10462115|EX-A023|AMY24187|BCP02557|CXA32573|Biochemistry 469551 Compound 11|MFCD11840461|s2670|ZINC16052569|AKOS032947302|BCP9000207|CCG-268139|CS-0486|DB08568|(2S)-1-[5-(3-Methyl-1H-indazol-5-yl)pyridin-3-yl]oxy-3-phenylpropan-2-amine|NCGC00263147-01|NCGC00263147-05|AC-30913|HY-13254|SMR004702798|SW219834-1|Q27074076|(.ALPHA.S)-.ALPHA.-(((5-(3-METHYL-1H-INDAZOL-5-YL)-3-PYRIDINYL)OXY)METHYL)BENZENEETHANAMINE|BENZENEETHANAMINE, .ALPHA.-(((5-(3-METHYL-1H-INDAZOL-5-YL)-3-PYRIDINYL)OXY)METHYL)-, (.ALPHA.S)-|Benzeneethanamine, alpha-(((5-(3-methyl-1H-indazol-5-yl)-3-pyridinyl)oxy)methyl)-, (alphaS)-|SS3"
A.803467,16038374,"944261-79-4|A-803467|A 803467|5-(4-chlorophenyl)-N-(3,5-dimethoxyphenyl)furan-2-carboxamide|A803467|5-(4-CHLOROPHENYL)-N-(3,5-DIMETHOXYPHENYL)-2-FURANCARBOXAMIDE|C19H16ClNO4|CHEMBL250699|339LBH1395|944261-74-9|2-Furancarboxamide, 5-(4-chlorophenyl)-N-(3,5-dimethoxyphenyl)-|5-(4-chlorophenyl)-~{N}-(3,5-dimethoxyphenyl)furan-2-carboxamide|UNII-339LBH1395|95T|MFCD10574689|MLS006011118|GTPL5734|SCHEMBL9275137|DTXSID90241480|EX-A083|HMS3656L08|HMS3742E19|HMS3884N16|BCP04519|BDBM50212239|s2785|ZINC14982453|AKOS024457363|BCP9000209|CCG-268128|CS-0748|SB19562|NCGC00346700-01|AC-35826|AS-55982|HY-11079|SMR004702899|BCP0726000063|DB-079877|FT-0664869|SW220277-1|EC-000.2378|5-(4-Chlorophenyl)-N-(3,5-dimethoxyphenyl)-|A-803467, >=98% (HPLC)|A847273|J-516232|Q27074084|5-(4-chlorophenyl)-N-(3,5-dimethoxyphenyl)-2-furamide|5-(4-Chlorophenyl)-N-(3,5-dimethoxyphenyl)- 2-furancarboxamide.|5-(4-Chlorophenyl)-furan-2-carboxylic acid 3,5 -dimethoxyphenylamide|5-(4-Chlorophenyl)-furan-2-carboxylic acid 3,5 -dimethoxyphenylamide;A 803467"
A61603,4038180,"A61603|A 61603|N-[5-(4,5-dihydro-1H-imidazol-2-yl)-2-hydroxy-5,6,7,8-tetrahydronaphthalen-1-yl]methanesulfonamide|CHEMBL109783|750531-54-5|A61603;A-61603|N-(5-(4,5-dihydro-1H-imidazol-2-yl)-2-hydroxy-5,6,7,8-tetrahydronaphthalen-1-yl)methanesulfonamide|GTPL480|SCHEMBL8856920|CHEBI:103854|BDBM50118703|NCGC00024968-02|L000090|BRD-A83650191-004-01-0|Q27074075|Methanesulfonamide,N-[5-(4,5-dihydro-1H-imidazol-2-yl)-5,6,7,8-tetrahydro-2-hydroxy-1-naphthalenyl]-,hydrobromide(1:1)|N-[[5-[(4,5-Dihydro-1H-imidazol)-2-yl]-2-hydroxy-5,6,7,8-tetrahydronaphthalen]-1-yl]methanesulfonamide|N-[5-(4,5-Dihydro-1H-imidazol-2-yl)-2-hydroxy-5,6,7,8-tetrahydro-naphthalen-1-yl]-methanesulfonamide|n-[5-(4,5-dihydro-1h-imidazol-2yl)-2-hydroxy-5,6,7,8-tetrahydronaphthalen-1-yl]methanesulphonamide"
abemaciclib,46220502,"Abemaciclib|1231929-97-7|LY2835219|Verzenio|LY2835219 free base|LY-2835219|UNII-60UAB198HK|N-(5-((4-ethylpiperazin-1-yl)methyl)pyridin-2-yl)-5-fluoro-4-(4-fluoro-1-isopropyl-2-methyl-1H-benzo[d]imidazol-6-yl)pyrimidin-2-amine|N-[5-[(4-ethylpiperazin-1-yl)methyl]pyridin-2-yl]-5-fluoro-4-(7-fluoro-2-methyl-3-propan-2-ylbenzimidazol-5-yl)pyrimidin-2-amine|Abemaciclib (ly2835219)|60UAB198HK|LY 2835219|HY-16297A|LY2835219 free base (Abemaciclib)|CS-1230|2-Pyrimidinamine, N-(5-((4-ethyl-1-piperazinyl)methyl)-2-pyridinyl)-5-fluoro-4-(4-fluoro-2-methyl-1-(1-methylethyl)-1H-benzimidazol-6-yl)|N-{5-[(4-ethylpiperazin-1-yl)methyl]pyridin-2-yl}-5-fluoro-4-(7-fluoro-3-isopropyl-2-methyl-1,3-benzodiazol-5-yl)pyrimidin-2-amine|N-{5-[(4-Ethylpiperazin-1-yl)methyl]pyridin-2-yl}-5-fluoro-4-[4-fluoro-2-methyl-1-(propan-2-yl)-1H-benzimidazol-6-yl]pyrimidin-2-amine|LY2835219 (free base)|Abemaciclib [USAN:INN]|Verzenios|rimidin-2-amine|Verzenio (TN)|6ZV|N-{5-[(4-ethylpiperazin-1-yl)methyl]pyridin-2-yl}-5-fluoro-4-[4-fluoro-2-methyl-1-(propan-2-yl)-1H-benzimidazol-6-yl]py rimidin-2-amine|CDK4/6 dual inhibitor|LY2835210|ABEMACICLIB [MI]|ABEMACICLIB [INN]|ABEMACICLIB [JAN]|Abemaciclib (JAN/USAN)|ABEMACICLIB [USAN]|ABEMACICLIB [WHO-DD]|GTPL7382|SCHEMBL2487229|CHEMBL3301610|ABEMACICLIB [ORANGE BOOK]|DTXSID20673119|EX-A521|LY 2835219 (free base)|HMS3673I05|BCP13079|EX-A1588|BDBM50110183|MFCD22665744|NSC768073|NSC783671|s5716|ZINC72318121|1231929-97-7, Verzenio,|AKOS025404907|CCG-269750|DB12001|NSC-768073|NSC-783671|SB16476|NCGC00351599-02|NCGC00351599-06|5-(4-ethylpiperazin-1-ylmethyl)pyridin-2-yl)-(5-fluoro-4-(7-fluoro-3-isopropyl-2-methyl-3H-benzimidazol-5-yl)pyrimidin-2-yl)amine|5-(4-ethylpiperazin-1-ylmethyl)pyridin-2-yl)-(5-fluoro-4-(7-fluoro-3-isopropyl-2-methyl-3H-benzoimidazol-5-yl)pyrimidin-2-yl)amine|AC-30666|AS-10230|DA-33422|LY2835219 Ms salt, Abemaciclib Ms salt|FT-0700134|LY 2835210|A12989|D10688|EN300-7406007|J-690083|Q23901483|[5-(4-ethyl-piperazin-1-ylmethyl)-pyridin-2-yl]-[5-fluoro-4-(7-fluoro-3-isopropyl-2-methyl-3H-benzoimidazol-5-yl)-pyrimidin-2-yl]-amine|2-Pyrimidinamine, N-[5-[(4-ethyl-1-piperazinyl)methyl]-2-pyridinyl]-5-fluoro-4-[4-fluoro-2-methyl-1-(1-methylethyl)-1H-benzimidazol-6-yl]-|2-Pyrimidinamine,N-[5-[(4-ethyl-1-piperazinyl)methyl]-2-pyridinyl]-5-fluoro-4-[4-fluoro-2-methyl-1-(1-methylethyl)-1H-benzimidazol-6-yl]-|N-{5-[(4-ethylpiperazin-1-yl)methyl]pyridin-2-yl}-5-fluoro-4-[4-fluoro-2-methyl-1-(propan-2-yl)-1H-1,3-benzodiazol-6-yl]pyrimidin-2-amine|N-{5-[(4-ethylpiperazin-1-yl)methyl]pyridin-2-yl}-5-fluoro-4-[4-fluoro-2-methyl-1-(propan-2-yl)-1H-benzimidazol-6-yl]py"
abiraterone,132971,"Abiraterone|154229-19-3|CB 7598|CB-7598|(3beta)-17-(3-pyridinyl)-androsta-5,16-dien-3-ol|17-(3-Pyridyl)androsta-5,16-dien-3beta-ol|Abiraterone (CB-7598)|CB7598|(3S,8R,9S,10R,13S,14S)-10,13-dimethyl-17-(pyridin-3-yl)-2,3,4,7,8,9,10,11,12,13,14,15-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol|CHEMBL254328|(3S,8R,9S,10R,13S,14S)-10,13-dimethyl-17-pyridin-3-yl-2,3,4,7,8,9,11,12,14,15-decahydro-1H-cyclopenta[a]phenanthren-3-ol|CHEBI:68642|154229-19-3 (Abiraterone)|(3beta)-17-(pyridin-3-yl)androsta-5,16-dien-3-ol|G819A456D0|NSC-741232|Androsta-5,16-dien-3-ol, 17-(3-pyridinyl)-, (3b)-|17-(3-Pyridyl)androsta-5,16-dien-3.beta.-ol|17-(pyridin-3-yl)androsta-5,16-dien-3beta-ol|(1S,2R,5S,10R,11S,15S)-2,15-dimethyl-14-(pyridin-3-yl)tetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadeca-7,13-dien-5-ol|(3S,8R,9S,10R,13S,14S)-10,13-dimethyl-17-(pyridin-3-yl)-2,3,4,7,8,9,10,11,12,13,14,15-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol.|Abiraterone [INN:BAN]|UNII-G819A456D0|Abiraterone- Bio-X|MFCD00924100|Androsta-5,16-dien-3-ol, 17-(3-pyridinyl)-, (3beta)-|ABIRATERONE [MI]|ABIRATERONE [INN]|(3-beta)-17-(3-Pyridinyl)-androsta-5,16-dien-3-ol|ABIRATERONE [VANDF]|Abiraterone - CB-7598|CB 7630 [as acetate]|SCHEMBL61108|ABIRATERONE [WHO-DD]|MLS006010235|GTPL6745|BDBM25458|DTXSID80879993|EX-A106|ABIRATERONE [USP IMPURITY]|ZINC3797541|NSC749226|s1123|AKOS005146525|AM84498|CS-0156|DB05812|ES-0045|NSC 741232|NSC-749226|AC-25764|BA164060|HY-70013|SMR002530050|17-(3-Pyridyl)androsta-5.16-dien-3beta-ol|A24884|EN300-311691|AB01274738-01|AB01274738_02|229A193|Q321431|SR-01000941584|J-519524|SR-01000941584-1|BRD-K50071428-001-01-7|BRD-K50071428-001-03-3|CB-7598;17-(3-Pyridyl)androsta-5,16-dien-3beta-ol|Z2301684603|17-(PYRIDIN-3-YL)ANDROSTA-5,16-DIEN-3.BETA.-OL|ANDROSTA-5,16-DIEN-3-OL, 17-(3-PYRIDINYL)-(3.BETA.)-|(3aS,3bR,7S,9aR,9bS,11aS)-9a,11a-dimethyl-1-(pyridin-3-yl)-3H,3aH,3bH,4H,6H,7H,8H,9H,9aH,9bH,10H,11H,11aH-cyclopenta[a]phenanthren-7-ol"
abiraterone.acetate,9821849,"Abiraterone acetate|154229-18-2|Zytiga|CB7630|CB-7630|Yonsa|CB 7630|Abiraterone acetate [USAN]|17-(3-Pyridyl)-5,16-androstadien-3beta-acetate|EM5OCB9YJ6|[(3S,8R,9S,10R,13S,14S)-10,13-dimethyl-17-pyridin-3-yl-2,3,4,7,8,9,11,12,14,15-decahydro-1H-cyclopenta[a]phenanthren-3-yl] acetate|NSC-748121|NSC-749227|CHEBI:68639|(3S,8R,9S,10R,13S,14S)-10,13-DIMETHYL-17-(PYRIDIN-3-YL)-2,3,4,7,8,9,10,11,12,13,14,15-DODECAHYDRO-1H-CYCLOPENTA[A]PHENANTHREN-3-YL ACETATE|17-(pyridin-3-yl)androsta-5,16-dien-3beta-yl acetate|(3beta)-17-(pyridin-3-yl)androsta-5,16-dien-3-yl acetate|Abiraterone  Acotate|17-(3-Pyridyl)androsta-5, acetate|Androsta-5, 17-(3-pyridinyl)-, 3-acetate,|UNII-EM5OCB9YJ6|abiraterone-acetate|NCGC00186462-01|3S,9S,10R,13S,14S)-10,13-dimethyl-17-pyridin-3-yl-2,3,4,7,8,9,11,12,14,15-decahydro-1H-cyclopenta[a]phenanthren-3-ol, 3-acetate|Abiraterone  Acetate|MFCD00934213|Zytiga (TN)|Abiraterone (acetate)|JNJ-212082|Abiraterone acetate- Bio-X|SCHEMBL93715|MLS006010090|CHEMBL271227|GTPL9288|Abiraterone acetate (JAN/USP)|3beta-17-(3-Pyridyl)androsta-5,16-dien-3-ol Acetate|ABIRATERONE (AS ACETATE)|ABIRATERONE ACETATE [MI]|DTXSID3049043|ABIRATERONE ACETATE [JAN]|EX-A107|ABIRATERONE ACETATE [VANDF]|ABIRATERONE ACETATE [MART.]|BCP02949|ZINC3809191|Tox21_113589|ABIRATERONE ACETATE [USP-RS]|ABIRATERONE ACETATE [WHO-DD]|BDBM50407398|NSC748121|NSC749227|s2246|Abiraterone acetate, >=98% (HPLC)|AKOS015896502|CS-0544|DS-2007|JNJ 212082|NSC 748121|NSC 749227|JNJ-2012082|ABIRATERONE ACETATE [ORANGE BOOK]|NCGC00379022-06|AC-25760|BA164133|HY-75054|SMR004701235|ABIRATERONE ACETATE [USP MONOGRAPH]|CAS-154229-18-2|D09701|3b-acetoxy-17-(3-pyridyl)androsta-5,16-diene|EN300-7479171|A809510|3beta-Acetoxy-17-(3-pyridyl)androsta-5,16-diene|W-201385|BRD-K24048528-001-02-5|Q27888393|(3S)-3-Acetoxy-17-(pyridin-3-yl)androsta-5,16-diene|(3?)-17-(3-Pyridinyl)androsta-5,16-dien-3-yl acetate|(3beta)-17-(3-Pyridinyl)androsta-5,16-dien-3-ol Acetate|Abiraterone acetate, United States Pharmacopeia (USP) Reference Standard|Androsta-5,16-dien-3-ol, 17-(3-pyridinyl)-, acetate (ester), (3beta)-|ANDROSTA-5,16-DIEN-3-OL, 17-(3-PYRIDINYL)-, ACETATE (ESTER), (3.BETA.)-|(1S,2R,5S,10R,11S,15S)-2,15-dimethyl-14-(pyridin-3-yl)tetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadeca-7,13-dien-5-yl acetate|(3aS,3bR,7S,9aR,9bS,11aS)-9a,11a-dimethyl-1-(pyridin-3-yl)-3H,3aH,3bH,4H,6H,7H,8H,9H,9aH,9bH,10H,11H,11aH-cyclopenta[a]phenanthren-7-yl acetate|[(3S,8R,9S,10R,13S,14S)-10,13-dimethyl-17-pyridin-3-yl-2,3,4,7,8,9,11,12,14,15-decahydro-1H-cyclopenta[a]phenanthren-3-yl] ethanoate|acetic acid [(3S,8R,9S,10R,13S,14S)-10,13-dimethyl-17-(3-pyridinyl)-2,3,4,7,8,9,11,12,14,15-decahydro-1H-cyclopenta[a]phenanthren-3-yl] ester"
ABT.702,1973,"abt-702|Abt 702|ABT702|CHEMBL66089|2P206WS5B3|5-(3-Bromophenyl)-7-(6-morpholinopyridin-3-yl)pyrido[2,3-d]pyrimidin-4-amine|5-(3-Bromo-phenyl)-7-(6-morpholin-4-yl-pyridin-3-yl)-pyrido[2,3-d]pyrimidin-4-ylamine|Pyrido(2,3-d)pyrimidin-4-amine, 5-(3-bromophenyl)-7-(6-(4-morpholinyl)-3-pyridinyl)-|5-(3-bromophenyl)-7-[6-(morpholin-4-yl)pyridin-3-yl]pyrido[2,3-d]pyrimidin-4-amine|4-Amino-5-(3-bromophenyl)-7-(6-morpholino-pyridin-3-yl)pyrido(2,3-d)pyrimidine|UNII-2P206WS5B3|GTPL5131|SCHEMBL1914142|CHEBI:104129|HMS3674K03|BDBM50094703|ZINC21288919|SDCCGSBI-0207131.P002|SMP2_000264|NCGC00092381-02|NCGC00092381-03|NCGC00092381-05|E98749|BRD-K36021395-300-01-6|Q27074127|4-amino-5-(3-bromophenyl)-7-(6-morpholinopyridin-3-yl)pyrido(2,3-d)pyrimidine|5-(3-bromophenyl)-7-(6-morpholin-4-ylpyridin-3-yl)pyrido[2,3-d]pyrimidin-4-ylamine|Pyrido(2,3-d)pyrimidine, 4-amino-5-(3-bromophenyl)-7-(6-morpholino-pyridin-3-yl)-|Abt-702"
ABT.737,11228183,"ABT-737|852808-04-9|ABT 737|ABT737|UNII-Z5NFR173NV|4-[4-[(4'-Chloro[1,1'-biphenyl]-2-yl)methyl]-1-piperazinyl]-N-[[4-[[(1R)-3-(dimethylamino)-1-[(phenylthio)methyl]propyl]amino]-3-nitrophenyl]sulfonyl]benzamide|Z5NFR173NV|CHEMBL376408|(R)-4-(4-((4'-chloro-[1,1'-biphenyl]-2-yl)methyl)piperazin-1-yl)-N-((4-((4-(dimethylamino)-1-(phenylthio)butan-2-yl)amino)-3-nitrophenyl)sulfonyl)benzamide|4-[4-[[2-(4-chlorophenyl)phenyl]methyl]piperazin-1-yl]-N-[4-[[(2R)-4-(dimethylamino)-1-phenylsulfanylbutan-2-yl]amino]-3-nitrophenyl]sulfonylbenzamide|4-{4-[(4'-chlorobiphenyl-2-yl)methyl]piperazin-1-yl}-N-{[4-({(1R)-3-(dimethylamino)-1-[(phenylsulfanyl)methyl]propyl}amino)-3-nitrophenyl]sulfonyl}benzamide|4-{4-[(4'-Chlorobiphenyl-2-Yl)methyl]piperazin-1-Yl}-N-{[4-({(1r)-3-(Dimethylamino)-1-[(Phenylthio)methyl]propyl}amino)-3-Nitrophenyl]sulfonyl}benzamide|2yxj|BENZAMIDE, 4-(4-((4'-CHLORO(1,1'-BIPHENYL)-2-YL)METHYL)-1-PIPERAZINYL)-N-((4-(((1R)-3-(DIMETHYLAMINO)-1-((PHENYLTHIO)METHYL)PROPYL)AMINO)-3-NITROPHENYL)SULFONYL)-|Benzamide, 4-[4-[(4'-chloro[1,1'-biphenyl]-2-yl)methyl]-1-piperazinyl]-N-[[4-[[(1R)-3-(dimethylamino)-1-[(phenylthio)methyl]propyl]amino]-3-nitrophenyl]sulfonyl]-|N3C|SCHEMBL158942|GTPL8320|ABT 737 [WHO-DD]|DTXSID7042641|N-Benylpiperazine derivative, 2|BDBM21447|CHEBI:47575|EX-A056|MFCD12756212|NSC758873|s1002|ZINC94303099|compound 2 [PMID 17256834]|AKOS016003299|AM81254|CCG-264769|CS-0014|NSC-758873|NCGC00253562-01|NCGC00253562-02|BP-25381|HY-50907|SW218108-2|808A049|BRD-K56301217-001-01-7|Q25105040|4-(4-((4'-chloro-1,1'-biphenyl-2-yl)methyl)-1-piperazinyl)-N-((4-(((1R)-3-(dimethylamino)-1-((phenylsulfanyl)methyl)propyl)amino)-3-nitrophenyl)sulfony)benzamide|4-(4-{[2-(4-chlorophenyl)phenyl]methyl}piperazin-1-yl)-N-[(4-{[(2R)-4-(dimethylamino)-1-(phenylsulfanyl)butan-2-yl]amino}-3-nitrobenzene)sulfonyl]benzamide|4-[4-[[2-(4-chlorophenyl)phenyl]methyl]piperazin-1-yl]-N-[4-[[(2R)-4- (dimethylamino)-1-phenylsulfanylbutan-2-yl]amino]-3-nitrophenyl] sulfonylbenzamide|4-[4-[[2-(4-chlorophenyl)phenyl]methyl]piperazin-1-yl]-N-[4-[[(2R)-4-dimethylamino-1-phenylsulfanylbutan-2-yl]amino]-3-nitrophenyl]sulfonylbenzamide|4-{4-[(4'-chloro[1,1'-biphenyl]-2-yl)methyl]piperazin-1-yl}-N-(4-{[(2R)-4-(dimethylamino)-1-(phenylsulfanyl)butan-2-yl]amino}-3-nitrobenzene-1-sulfonyl)benzamide|4-{4-[(4'-chloro[biphenyl]-2-yl)methyl]piperazin-1-yl}-N-[(4-{[(2R)-4-(dimethylamino)-1-(phenylsulfanyl)butan-2-yl]amino}-3-nitrophenyl)sulfonyl]benzamide|Abt-737"
ABT.751,3035714,"ABT-751|141430-65-1|ABT 751|ABT751|E-7010|ABT-751 (E7010)|E 7010|E7010|WDT5V5OB9F|NSC-742134|CHEMBL20684|N-[2-[(4-HYDROXYPHENYL)AMINO]-3-PYRIDYL]-4-METHOXYBENZENESULFONAMIDE|N-(2-(4-hydroxyphenylamino)pyridin-3-yl)-4-methoxybenzenesulfonamide|N-[2-[(4-hydroxyphenyl)amino]-3-pyridinyl]-4-methoxybenzenesulfonamide|857447-92-8|N-[2-(4-hydroxyanilino)pyridin-3-yl]-4-methoxybenzenesulfonamide|N-(2-((4-Hydroxyphenyl)amino)-3-pyridinyl)-4-methoxybenzenesulfonamide|n-(2-((4-hydroxyphenyl)amino)pyridin-3-yl)-4-methoxybenzenesulfonamide|N-{2-[(4-hydroxyphenyl)amino]pyridin-3-yl}-4-methoxybenzenesulfonamide|Benzenesulfonamide, N-(2-((4-hydroxyphenyl)amino)-3-pyridinyl)-4-methoxy-|UNII-WDT5V5OB9F|N-[2-[(4-Hydroxyphenyl)amino]pyridin-3-yl]-4-methoxybenzenesulfonamide|MLS006011263|SCHEMBL111645|CHEBI:95043|DTXSID60869913|EX-A517|BCPP000447|E 7010 [WHO-DD]|HMS3654C14|HMS3672M11|ZINC598089|BCP02079|BDBM50101086|MFCD00910291|NSC742134|s1165|AKOS024457996|BCP9000219|CCG-264843|CS-0495|DB12254|E7010(ABT-751)|NSC 742134|SB19450|ABT-751(E 7010)|NCGC00346494-01|NCGC00346494-03|NCGC00346494-06|AC-32852|AS-55908|HY-13270|SMR004703014|DB-063374|FT-0700194|SW219685-1|J-007498|J-523312|BRD-K91623615-001-01-9|Q27166810|N-[2-(4-Hydroxy-phenylamino)-pyridin-3-yl]-4-methoxy-benzenesulfonamide|Benzenesulfonamide, N-?[2-?[(4-?hydroxyphenyl)?amino]?-?3-?pyridinyl]?-?4-?methoxy-|E70|Abt-751"
AC.264613,73154192,1051487-82-1|AC 264613|AC264613;AC-264613|AC-264613|AC264613|BCP25509|AC 264613; AC264613|N-[1-(3-bromophenyl)ethylideneamino]-2-oxo-4-phenylpyrrolidine-3-carboxamide
