"","Simulation Number","Value Added","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"1",1,"-1","Cell_No_1","EGFR inhibitor",-0.33349,-0.821,0.659,981,0.956
"2",1,"-1","Cell_No_1","Abl kinase inhibitor",0.34157,0.866,0.573,459,0.963
"3",1,"-1","Cell_No_1","acetylcholine receptor agonist",0.46095,1.2,0.235,457,0.602
"4",1,"-1","Cell_No_1","acetylcholine receptor antagonist",-0.51172,-1.27,0.214,868,0.625
"5",1,"-1","Cell_No_1","adenosine receptor antagonist",-0.38442,-0.952,0.495,888,0.921
"6",1,"-1","Cell_No_1","adrenergic receptor agonist",-0.28929,-0.707,0.798,1137,0.998
"7",1,"-1","Cell_No_1","adrenergic receptor antagonist",0.17678,0.455,0.991,419,0.992
"8",1,"-1","Cell_No_1","AKT inhibitor",-0.52271,-1.29,0.203,863,0.71
"9",1,"-1","Cell_No_1","ALK tyrosine kinase receptor inhibitor",-0.31763,-0.781,0.71,1076,0.95
"10",1,"-1","Cell_No_1","androgen receptor antagonist",0.57775,1.5,0.114,36,0.641
"11",1,"-1","Cell_No_1","antioxidant",-0.49754,-1.23,0.229,1068,0.67
"12",1,"-1","Cell_No_1","AP inhibitor",0.70416,1.85,0.0129,125,0.248
"13",1,"-1","Cell_No_1","ATPase inhibitor",0.29952,0.776,0.713,141,1
"14",1,"-1","Cell_No_1","Aurora kinase inhibitor",-0.15075,-0.365,0.997,967,0.999
"15",1,"-1","Cell_No_1","bacterial 50S ribosomal subunit inhibitor",-0.37278,-0.917,0.56,1095,0.904
"16",1,"-1","Cell_No_1","bacterial DNA gyrase inhibitor",0.48684,1.26,0.227,88,0.59
"17",1,"-1","Cell_No_1","BCL inhibitor",0.53836,1.38,0.135,255,0.494
"18",1,"-1","Cell_No_1","Bcr.Abl kinase inhibitor",0.37526,0.943,0.487,214,0.843
"19",1,"-1","Cell_No_1","benzodiazepine receptor agonist",0.43545,1.12,0.298,449,0.71
"20",1,"-1","Cell_No_1","bromodomain inhibitor",0.63262,1.61,0.0658,258,0.491
"21",1,"-1","Cell_No_1","calcium channel blocker",0.40039,1.01,0.44,110,0.797
"22",1,"-1","Cell_No_1","CC chemokine receptor antagonist",-0.43036,-1.09,0.344,1057,0.911
"23",1,"-1","Cell_No_1","CDK inhibitor",-0.26561,-0.658,0.849,1101,0.974
"24",1,"-1","Cell_No_1","CHK inhibitor",-0.47151,-1.13,0.318,1163,0.857
"25",1,"-1","Cell_No_1","cyclooxygenase inhibitor",-0.32692,-0.801,0.686,1034,0.94
"26",1,"-1","Cell_No_1","cytochrome P450 inhibitor",-0.62248,-1.54,0.0732,951,0.938
"27",1,"-1","Cell_No_1","DNA alkylating agent",0.25361,0.64,0.872,376,1
"28",1,"-1","Cell_No_1","DNA inhibitor",0.21108,0.543,0.948,260,1
"29",1,"-1","Cell_No_1","DNA methyltransferase inhibitor",0.50105,1.28,0.196,112,0.608
"30",1,"-1","Cell_No_1","DNA polymerase inhibitor",0.24202,0.604,0.899,87,1
"31",1,"-1","Cell_No_1","DNA synthesis inhibitor",0.21295,0.548,0.973,317,1
"32",1,"-1","Cell_No_1","dopamine receptor antagonist",0.2604,0.665,0.85,333,1
"33",1,"-1","Cell_No_1","estrogen receptor agonist",0.6478,1.68,0.0419,405,0.462
"34",1,"-1","Cell_No_1","estrogen receptor antagonist",0.55682,1.46,0.0952,124,0.465
"35",1,"-1","Cell_No_1","FGFR inhibitor",-0.40618,-1,0.444,1117,0.886
"36",1,"-1","Cell_No_1","FLT3 inhibitor",-0.56749,-1.43,0.0932,1122,1
"37",1,"-1","Cell_No_1","glucocorticoid receptor agonist",-0.20887,-0.515,0.97,1212,1
"38",1,"-1","Cell_No_1","glutamate receptor antagonist",-0.56829,-1.42,0.126,1115,0.897
"39",1,"-1","Cell_No_1","glycogen synthase kinase inhibitor",-0.51993,-1.29,0.18,1172,0.71
"40",1,"-1","Cell_No_1","growth factor receptor inhibitor",-0.30392,-0.753,0.773,1305,0.973
"41",1,"-1","Cell_No_1","HCV inhibitor",-0.59279,-1.53,0.0618,1345,0.784
"42",1,"-1","Cell_No_1","HDAC inhibitor",-0.38133,-0.944,0.519,1078,0.908
"43",1,"-1","Cell_No_1","histamine receptor antagonist",-0.20447,-0.5,0.974,1228,0.996
"44",1,"-1","Cell_No_1","histone lysine methyltransferase inhibitor",-0.65093,-1.67,0.025,1303,0.93
"45",1,"-1","Cell_No_1","HMGCR inhibitor",0.56246,1.42,0.116,65,0.478
"46",1,"-1","Cell_No_1","HSP inhibitor",-0.33174,-0.824,0.627,1286,0.977
"47",1,"-1","Cell_No_1","JAK inhibitor",-0.2494,-0.623,0.906,1043,0.971
"48",1,"-1","Cell_No_1","KIT inhibitor",-0.3581,-0.89,0.582,1029,0.903
"49",1,"-1","Cell_No_1","MDM inhibitor",-0.53711,-1.3,0.209,766,0.876
"50",1,"-1","Cell_No_1","MEK inhibitor",0.29811,0.77,0.733,257,1
"51",1,"-1","Cell_No_1","MET inhibitor",-0.43187,-1.06,0.377,1201,0.859
"52",1,"-1","Cell_No_1","microtubule inhibitor",-0.37001,-0.904,0.553,1094,0.903
"53",1,"-1","Cell_No_1","mTOR inhibitor",-0.44117,-1.08,0.368,1086,0.893
"54",1,"-1","Cell_No_1","NFkB pathway inhibitor",0.4109,1.06,0.366,81,0.738
"55",1,"-1","Cell_No_1","opioid receptor agonist",-0.53567,-1.35,0.154,1147,0.811
"56",1,"-1","Cell_No_1","p38 MAPK inhibitor",-0.51196,-1.28,0.188,1131,0.684
"57",1,"-1","Cell_No_1","PARP inhibitor",-0.32705,-0.817,0.644,895,0.937
"58",1,"-1","Cell_No_1","PDGFR tyrosine kinase receptor inhibitor",-0.30505,-0.737,0.75,1087,0.974
"59",1,"-1","Cell_No_1","phosphatase inhibitor",-0.4185,-1.04,0.388,1031,0.831
"60",1,"-1","Cell_No_1","phosphodiesterase inhibitor",0.56699,1.46,0.0996,198,0.465
"61",1,"-1","Cell_No_1","PI3K inhibitor",-0.3934,-0.959,0.478,1157,0.94
"62",1,"-1","Cell_No_1","PLK inhibitor",0.39572,0.995,0.453,95,0.783
"63",1,"-1","Cell_No_1","potassium channel blocker",-0.26605,-0.675,0.834,1277,0.974
"64",1,"-1","Cell_No_1","PPAR receptor agonist",0.57134,1.48,0.11,285,0.574
"65",1,"-1","Cell_No_1","progesterone receptor agonist",-0.50276,-1.29,0.178,1323,0.71
"66",1,"-1","Cell_No_1","proteasome inhibitor",0.29894,0.759,0.735,359,0.966
"67",1,"-1","Cell_No_1","protein synthesis inhibitor",-0.24742,-0.61,0.892,1252,0.963
"68",1,"-1","Cell_No_1","protein tyrosine kinase inhibitor",-0.33586,-0.829,0.644,1090,0.996
"69",1,"-1","Cell_No_1","RAF inhibitor",-0.42503,-1.05,0.386,1146,0.844
"70",1,"-1","Cell_No_1","RET tyrosine kinase inhibitor",-0.66043,-1.64,0.048,1250,0.73
"71",1,"-1","Cell_No_1","retinoid receptor agonist",-0.2696,-0.68,0.846,1166,0.99
"72",1,"-1","Cell_No_1","ribonucleotide reductase inhibitor",0.19525,0.514,0.98,448,1
"73",1,"-1","Cell_No_1","serotonin receptor agonist",-0.50056,-1.27,0.198,1328,0.625
"74",1,"-1","Cell_No_1","serotonin receptor antagonist",0.47936,1.25,0.204,107,0.56
"75",1,"-1","Cell_No_1","sodium channel blocker",0.29313,0.764,0.723,379,0.995
"76",1,"-1","Cell_No_1","src inhibitor",0.32496,0.847,0.632,96,0.958
"77",1,"-1","Cell_No_1","sterol demethylase inhibitor",-0.2783,-0.688,0.818,1060,1
"78",1,"-1","Cell_No_1","SYK inhibitor",0.41677,1.07,0.358,40,0.763
