Number of Drugs in Set,values.to.vary,N.replicates,avg.NES,sd.NES,perc.q.0.25,perc.q.0.05,perc.q.0.25.pos,perc.q.0.25.neg,perc.q.0.05.pos,perc.q.0.05.neg
5,-1,50,-2.2388,0.153125799,96,88,0,96,0,88
5,-0.75,50,-2.0344,0.247783315,68,52,0,68,0,52
5,-0.5,50,-1.84848,0.452578564,60,30,0,60,0,30
5,-0.25,50,-1.29934,0.691464332,14,4,0,14,0,4
5,0,50,0.10718,1.328251877,10,0,6,4,0,0
5,0.25,50,1.28402,0.869276511,18,4,18,0,4,0
5,0.5,50,1.80592,0.312833779,44,16,44,0,16,0
5,0.75,50,2.0276,0.249240151,66,44,66,0,44,0
5,1,50,2.2698,0.200259933,94,84,94,0,84,0
6,-1,50,-2.1908,0.172103908,94,80,0,94,0,80
6,-0.75,50,-1.9998,0.18711003,72,36,0,72,0,36
6,-0.5,50,-1.74926,0.452329156,38,12,0,38,0,12
6,-0.25,50,-1.10654,0.920916363,10,0,0,10,0,0
6,0,50,0.09354,1.226653723,0,0,0,0,0,0
6,0.25,50,0.79738,0.993932468,8,6,8,0,6,0
6,0.5,50,1.8038,0.305152287,44,16,44,0,16,0
6,0.75,50,2.003,0.211585367,74,36,74,0,36,0
6,1,50,2.2186,0.161207307,94,78,94,0,78,0
10,-1,50,-2.1754,0.113050648,100,74,0,100,0,74
10,-0.75,50,-2.0006,0.186563006,72,38,0,72,0,38
10,-0.5,50,-1.8106,0.240351868,34,10,0,34,0,10
10,-0.25,50,-1.18632,0.58403164,2,0,0,2,0,0
10,0,50,-0.11492,1.050904117,0,0,0,0,0,0
10,0.25,50,1.14424,0.664345422,6,0,6,0,0,0
10,0.5,50,1.69726,0.404913536,22,4,22,0,4,0
10,0.75,50,2.0394,0.175014985,86,40,86,0,40,0
10,1,50,2.1592,0.148692808,94,72,94,0,72,0
15,-1,50,-2.1698,0.11594316,96,80,0,96,0,80
15,-0.75,50,-2.033,0.127651471,86,38,0,86,0,38
15,-0.5,50,-1.7264,0.207125714,18,2,0,18,0,2
15,-0.25,50,-1.30228,0.27388781,0,0,0,0,0,0
15,0,50,0.18096,0.926535966,0,0,0,0,0,0
15,0.25,50,1.12564,0.568347004,0,0,0,0,0,0
15,0.5,50,1.731,0.188140742,20,0,20,0,0,0
15,0.75,50,1.9916,0.143603195,68,24,68,0,24,0
15,1,50,2.1532,0.116416564,98,78,98,0,78,0
20,-1,50,-2.1212,0.118659864,94,72,0,94,0,72
20,-0.75,50,-1.9332,0.124629082,64,12,0,64,0,12
20,-0.5,50,-1.67636,0.224360384,16,0,0,16,0,0
20,-0.25,50,-1.21406,0.405060863,0,0,0,0,0,0
20,0,50,0.25766,0.870409395,0,0,0,0,0,0
20,0.25,50,1.2127,0.296235652,0,0,0,0,0,0
20,0.5,50,1.6946,0.195074136,16,2,16,0,2,0
20,0.75,50,1.9888,0.121632434,76,32,76,0,32,0
20,1,50,2.1534,0.086628694,98,80,98,0,80,0
25,-1,50,-2.141,0.095409964,100,76,0,100,0,76
25,-0.75,50,-1.9414,0.107000095,62,12,0,62,0,12
25,-0.5,50,-1.6444,0.1647281,10,0,0,10,0,0
25,-0.25,50,-1.2522,0.246680575,0,0,0,0,0,0
25,0,50,0.06898,0.788494445,0,0,0,0,0,0
25,0.25,50,1.17106,0.256203475,0,0,0,0,0,0
25,0.5,50,1.6488,0.168009232,6,0,6,0,0,0
25,0.75,50,1.9436,0.112517754,68,8,68,0,8,0
25,1,50,2.0952,0.094290909,100,52,100,0,52,0
30,-1,50,-2.1172,0.084347193,100,72,0,100,0,72
30,-0.75,50,-1.9232,0.103143253,60,4,0,60,0,4
30,-0.5,50,-1.667,0.135107667,4,0,0,4,0,0
30,-0.25,50,-1.20994,0.225555497,0,0,0,0,0,0
30,0,50,0.04242,0.768973583,0,0,0,0,0,0
30,0.25,50,1.17392,0.243673153,0,0,0,0,0,0
30,0.5,50,1.6328,0.157881899,2,0,2,0,0,0
30,0.75,50,1.913,0.105196609,52,10,52,0,10,0
30,1,50,2.0952,0.083354174,98,62,98,0,62,0
35,-1,50,-2.0938,0.082062445,98,62,0,98,0,62
35,-0.75,50,-1.9206,0.093838985,60,6,0,60,0,6
35,-0.5,50,-1.6478,0.133787678,4,0,0,4,0,0
35,-0.25,50,-1.19884,0.189246018,0,0,0,0,0,0
35,0,50,0.07958,0.703910595,0,0,0,0,0,0
35,0.25,50,1.18124,0.226458138,0,0,0,0,0,0
35,0.5,50,1.6644,0.14591247,4,0,4,0,0,0
35,0.75,50,1.9026,0.100910346,48,2,48,0,2,0
35,1,50,2.1114,0.07461493,98,76,98,0,76,0
40,-1,50,-2.0738,0.080328154,92,58,0,92,0,58
40,-0.75,50,-1.9322,0.094118683,70,10,0,70,0,10
40,-0.5,50,-1.6494,0.127781861,4,0,0,4,0,0
40,-0.25,50,-1.152,0.206458475,0,0,0,0,0,0
40,0,50,0.22196,0.661367383,0,0,0,0,0,0
40,0.25,50,1.17008,0.20998288,0,0,0,0,0,0
40,0.5,50,1.648,0.121218305,2,0,2,0,0,0
40,0.75,50,1.8902,0.099375396,54,2,54,0,2,0
40,1,50,2.0952,0.07234385,96,72,96,0,72,0
45,-1,50,-2.0854,0.06978714,100,52,0,100,0,52
45,-0.75,50,-1.9212,0.08178219,54,0,0,54,0,0
45,-0.5,50,-1.6354,0.131555994,2,0,0,2,0,0
45,-0.25,50,-1.19344,0.209767817,0,0,0,0,0,0
45,0,50,0.06676,0.701577306,0,0,0,0,0,0
45,0.25,50,1.1826,0.194173602,0,0,0,0,0,0
45,0.5,50,1.6702,0.129795601,4,0,4,0,0,0
45,0.75,50,1.9196,0.081565299,54,4,54,0,4,0
45,1,50,2.0562,0.07832142,94,46,94,0,46,0
50,-1,50,-2.0654,0.073407168,98,54,0,98,0,54
50,-0.75,50,-1.8998,0.089795459,50,0,0,50,0,0
50,-0.5,50,-1.6334,0.135248977,4,0,0,4,0,0
50,-0.25,50,-1.21312,0.185980978,0,0,0,0,0,0
50,0,50,0.13566,0.684521421,0,0,0,0,0,0
50,0.25,50,1.1644,0.168502286,0,0,0,0,0,0
50,0.5,50,1.6486,0.126362129,6,0,6,0,0,0
50,0.75,50,1.9098,0.096415131,60,4,60,0,4,0
50,1,50,2.0502,0.066685065,100,40,100,0,40,0
