"","Simulation Number","values.to.vary","ES","NES","p","pos_at_max","q"
"1",1,-1,-0.8829,-2.26,0,1278,0.00336
"2",1,-0.75,-0.86325,-2.19,0,1301,0.0055
"3",1,-0.5,-0.81784,-2.03,0.002,1100,0.0816
"4",1,-0.25,-0.47176,-1.2,0.287,1181,1
"5",1,0,0.4529,1.15,0.296,216,1
"6",1,0.25,0.5391,1.36,0.13,380,1
"7",1,0.5,0.72825,1.82,0.0206,169,0.735
"8",1,0.75,0.89368,2.28,0,149,0.00121
"9",1,1,0.82208,2.05,0.0018,184,0.0905
"10",2,-1,-0.87747,-2.21,0,1340,0.00525
"11",2,-0.75,-0.64576,-1.63,0.0478,912,1
"12",2,-0.5,-0.7258,-1.84,0.0144,1197,0.507
"13",2,-0.25,-0.49424,-1.28,0.177,1015,1
"14",2,0,-0.503,-1.29,0.178,1323,1
"15",2,0.25,0.48273,1.25,0.199,264,0.715
"16",2,0.5,0.41871,1.08,0.368,319,0.744
"17",2,0.75,0.59944,1.55,0.0607,353,0.504
"18",2,1,0.87658,2.27,0,172,0.00603
"19",3,-1,-0.8461,-2.15,0,1138,0.0233
"20",3,-0.75,-0.7439,-1.84,0.00414,1289,0.288
"21",3,-0.5,-0.87558,-2.23,0,1304,0.0111
"22",3,-0.25,-0.57872,-1.49,0.0984,1122,0.55
"23",3,0,-0.5759,-1.48,0.0954,1150,0.581
"24",3,0.25,-0.229,-0.6,0.927,308,0.943
"25",3,0.5,0.65992,1.65,0.042,297,0.451
"26",3,0.75,0.65343,1.63,0.0456,62,0.43
"27",3,1,0.84946,2.12,0,121,0.0335
"28",4,-1,-0.88104,-2.25,0,1185,0.00503
"29",4,-0.75,-0.85554,-2.18,0,1332,0.0152
"30",4,-0.5,0.30364,0.797,0.695,70,1
"31",4,-0.25,0.5638,1.46,0.0996,143,0.741
"32",4,0,-0.49913,-1.29,0.177,1139,1
"33",4,0.25,0.32946,0.84,0.639,421,0.973
"34",4,0.5,0.65631,1.68,0.0346,149,0.535
"35",4,0.75,0.84952,2.2,0,72,0.0211
"36",4,1,0.83898,2.14,0,122,0.0294
"37",5,-1,-0.92119,-2.41,0,1239,0
"38",5,-0.75,-0.65046,-1.66,0.0364,980,0.864
"39",5,-0.5,-0.7483,-1.92,0.00408,1194,0.324
"40",5,-0.25,-0.59703,-1.58,0.0695,1294,1
"41",5,0,0.54045,1.39,0.132,251,0.634
"42",5,0.25,0.39836,1.05,0.365,326,1
"43",5,0.5,0.50288,1.3,0.173,269,0.877
"44",5,0.75,0.76583,2.03,0.00186,84,0.126
"45",5,1,0.98662,2.55,0,24,0
"46",6,-1,-0.8616,-2.25,0,1229,0.00212
"47",6,-0.75,-0.70867,-1.81,0.0252,1179,0.25
"48",6,-0.5,-0.71012,-1.81,0.0156,1331,0.235
"49",6,-0.25,-0.48782,-1.28,0.195,1100,0.847
"50",6,0,-0.63005,-1.65,0.0381,911,0.692
"51",6,0.25,0.43381,1.11,0.342,120,0.887
"52",6,0.5,0.7147,1.86,0.0243,317,0.244
"53",6,0.75,0.87138,2.26,0,179,0.00784
"54",6,1,0.88104,2.28,0,166,0.00488
"55",7,-1,-0.81338,-2.13,0,1094,0.0322
"56",7,-0.75,-0.70462,-1.79,0.0195,951,0.786
"57",7,-0.5,-0.70928,-1.8,0.0272,972,0.69
"58",7,-0.25,-0.43653,-1.12,0.311,1097,0.931
"59",7,0,0.36889,0.935,0.535,228,1
"60",7,0.25,0.38792,0.982,0.466,178,1
"61",7,0.5,0.90908,2.37,0,100,0
"62",7,0.75,0.77546,1.95,0.00423,252,0.228
"63",7,1,0.85528,2.18,0.00191,106,0.0109
"64",8,-1,-0.71235,-1.78,0.0173,1262,0.762
"65",8,-0.75,-0.75824,-1.93,0.00595,1167,0.204
"66",8,-0.5,-0.77877,-1.98,0.00871,1282,0.135
"67",8,-0.25,-0.63605,-1.63,0.0448,895,0.97
"68",8,0,0.26224,0.675,0.85,111,0.889
"69",8,0.25,0.4233,1.09,0.328,208,1
"70",8,0.5,0.8216,2.04,0.00223,176,0.0549
"71",8,0.75,0.78566,2.02,0,200,0.0836
"72",8,1,0.90593,2.36,0,129,0.00107
"73",9,-1,-0.90912,-2.37,0,1308,0.000873
"74",9,-0.75,-0.83612,-2.16,0,1135,0.0173
"75",9,-0.5,-0.72938,-1.94,0.0114,1197,0.116
"76",9,-0.25,-0.74322,-1.88,0.00414,1227,0.183
"77",9,0,-0.28645,-0.747,0.744,939,1
"78",9,0.25,0.30627,0.774,0.733,107,0.978
"79",9,0.5,0.71744,1.83,0.0173,191,0.383
"80",9,0.75,0.62198,1.62,0.042,193,0.529
"81",9,1,0.86171,2.27,0,192,0.00812
"82",10,-1,-0.84535,-2.13,0,1137,0.0307
"83",10,-0.75,-0.66171,-1.67,0.0273,890,0.306
"84",10,-0.5,-0.79182,-2,0.00195,1065,0.112
"85",10,-0.25,-0.64355,-1.63,0.0436,1102,0.399
"86",10,0,0.51969,1.34,0.179,127,0.589
"87",10,0.25,0.60438,1.52,0.0711,73,0.765
"88",10,0.5,0.72017,1.84,0.0148,162,0.616
"89",10,0.75,0.77092,2.02,0.00429,35,0.136
"90",10,1,0.92745,2.39,0,56,0
"91",11,-1,-0.93011,-2.39,0,1251,0
"92",11,-0.75,-0.79039,-1.98,0,1134,0.122
"93",11,-0.5,-0.74529,-1.88,0.00931,1122,0.177
"94",11,-0.25,0.36283,0.931,0.505,863,0.8
"95",11,0,0.35192,0.909,0.527,28,0.831
"96",11,0.25,0.72294,1.84,0.0183,367,0.32
"97",11,0.5,0.78731,1.98,0.00629,249,0.212
"98",11,0.75,0.79975,2.03,0.00199,133,0.135
"99",11,1,0.96803,2.47,0,49,0
"100",12,-1,-0.85331,-2.19,0,1323,0.0187
"101",12,-0.75,-0.6813,-1.77,0.0189,1224,0.294
"102",12,-0.5,-0.51896,-1.33,0.15,913,0.699
