"","Correlation","ES","NES","p","q"
"1","expr_value_added_0_WGV_AUC_value_added_0_correlation",-0.3279,-0.842,0.616,1
"2","expr_value_added_0_WGV_AUC_value_added_0.01_correlation",-0.24138,-0.634,0.885,1
"3","expr_value_added_0_WGV_AUC_value_added_0.02_correlation",0.62867,1.64,0.0478,0.89
"4","expr_value_added_0_WGV_AUC_value_added_0.03_correlation",0.623,1.61,0.0542,0.967
"5","expr_value_added_0_WGV_AUC_value_added_0.04_correlation",0.83381,2.12,0,0.0279
"6","expr_value_added_0_WGV_AUC_value_added_0.05_correlation",0.7651,1.96,0.00198,0.0915
"7","expr_value_added_0_WGV_AUC_value_added_0.06_correlation",0.86457,2.24,0,0.00262
"8","expr_value_added_0_WGV_AUC_value_added_0.07_correlation",0.96511,2.44,0,0
"9","expr_value_added_0_WGV_AUC_value_added_0.08_correlation",0.93512,2.41,0,0
"10","expr_value_added_0_WGV_AUC_value_added_0.09_correlation",0.98509,2.43,0,0
"11","expr_value_added_0_WGV_AUC_value_added_0.1_correlation",0.98509,2.5,0,0
"12","expr_value_added_0.01_WGV_AUC_value_added_0_correlation",0.35662,0.892,0.559,0.993
"13","expr_value_added_0.01_WGV_AUC_value_added_0.01_correlation",-0.39722,-1.01,0.438,0.833
"14","expr_value_added_0.01_WGV_AUC_value_added_0.02_correlation",0.64825,1.63,0.0348,1
"15","expr_value_added_0.01_WGV_AUC_value_added_0.03_correlation",0.43581,1.09,0.338,0.848
"16","expr_value_added_0.01_WGV_AUC_value_added_0.04_correlation",0.73417,1.84,0.0094,0.568
"17","expr_value_added_0.01_WGV_AUC_value_added_0.05_correlation",0.57669,1.48,0.0994,0.795
"18","expr_value_added_0.01_WGV_AUC_value_added_0.06_correlation",0.72969,1.84,0.0139,0.588
"19","expr_value_added_0.01_WGV_AUC_value_added_0.07_correlation",0.81733,2.07,0,0.0558
"20","expr_value_added_0.01_WGV_AUC_value_added_0.08_correlation",0.85237,2.19,0,0.00898
"21","expr_value_added_0.01_WGV_AUC_value_added_0.09_correlation",0.84668,2.14,0,0.0231
"22","expr_value_added_0.01_WGV_AUC_value_added_0.1_correlation",0.81299,2.08,0.00398,0.0553
"23","expr_value_added_0.02_WGV_AUC_value_added_0_correlation",-0.63172,-1.58,0.0669,1
"24","expr_value_added_0.02_WGV_AUC_value_added_0.01_correlation",0.32242,0.833,0.657,1
"25","expr_value_added_0.02_WGV_AUC_value_added_0.02_correlation",0.46533,1.22,0.232,1
"26","expr_value_added_0.02_WGV_AUC_value_added_0.03_correlation",0.56514,1.44,0.101,0.632
"27","expr_value_added_0.02_WGV_AUC_value_added_0.04_correlation",0.79085,1.99,0.00188,0.17
"28","expr_value_added_0.02_WGV_AUC_value_added_0.05_correlation",0.78116,2.02,0,0.101
"29","expr_value_added_0.02_WGV_AUC_value_added_0.06_correlation",0.85093,2.22,0.00193,0.0155
"30","expr_value_added_0.02_WGV_AUC_value_added_0.07_correlation",0.88482,2.24,0.002,0.00409
"31","expr_value_added_0.02_WGV_AUC_value_added_0.08_correlation",0.89421,2.28,0,0.00615
"32","expr_value_added_0.02_WGV_AUC_value_added_0.09_correlation",0.90854,2.28,0,0.00212
"33","expr_value_added_0.02_WGV_AUC_value_added_0.1_correlation",0.94135,2.34,0,0.00215
"34","expr_value_added_0.03_WGV_AUC_value_added_0_correlation",0.30786,0.773,0.735,0.98
"35","expr_value_added_0.03_WGV_AUC_value_added_0.01_correlation",0.44409,1.12,0.327,1
"36","expr_value_added_0.03_WGV_AUC_value_added_0.02_correlation",0.50162,1.28,0.187,0.845
"37","expr_value_added_0.03_WGV_AUC_value_added_0.03_correlation",0.50765,1.27,0.224,0.86
"38","expr_value_added_0.03_WGV_AUC_value_added_0.04_correlation",0.60932,1.53,0.0742,0.818
"39","expr_value_added_0.03_WGV_AUC_value_added_0.05_correlation",0.69084,1.68,0.0335,0.77
"40","expr_value_added_0.03_WGV_AUC_value_added_0.06_correlation",0.79326,2.01,0.00202,0.0493
"41","expr_value_added_0.03_WGV_AUC_value_added_0.07_correlation",0.87249,2.16,0,0.0193
"42","expr_value_added_0.03_WGV_AUC_value_added_0.08_correlation",0.82451,2.05,0,0.0668
"43","expr_value_added_0.03_WGV_AUC_value_added_0.09_correlation",0.88195,2.25,0,0.00835
"44","expr_value_added_0.03_WGV_AUC_value_added_0.1_correlation",0.8533,2.15,0,0.0167
"45","expr_value_added_0.04_WGV_AUC_value_added_0_correlation",-0.38191,-0.989,0.436,0.899
"46","expr_value_added_0.04_WGV_AUC_value_added_0.01_correlation",0.29157,0.75,0.758,1
"47","expr_value_added_0.04_WGV_AUC_value_added_0.02_correlation",0.55262,1.43,0.12,1
"48","expr_value_added_0.04_WGV_AUC_value_added_0.03_correlation",0.72841,1.83,0.0094,0.263
"49","expr_value_added_0.04_WGV_AUC_value_added_0.04_correlation",0.75296,1.87,0.00402,0.178
"50","expr_value_added_0.04_WGV_AUC_value_added_0.05_correlation",0.75028,1.86,0.0138,0.222
"51","expr_value_added_0.04_WGV_AUC_value_added_0.06_correlation",0.81719,2.09,0,0.0415
"52","expr_value_added_0.04_WGV_AUC_value_added_0.07_correlation",0.88755,2.35,0,0.000876
"53","expr_value_added_0.04_WGV_AUC_value_added_0.08_correlation",0.95899,2.42,0,0
"54","expr_value_added_0.04_WGV_AUC_value_added_0.09_correlation",0.91936,2.3,0,0.00174
"55","expr_value_added_0.04_WGV_AUC_value_added_0.1_correlation",0.93676,2.42,0,0.000898
"56","expr_value_added_0.05_WGV_AUC_value_added_0_correlation",-0.6724,-1.72,0.0326,0.585
"57","expr_value_added_0.05_WGV_AUC_value_added_0.01_correlation",-0.5154,-1.32,0.167,1
"58","expr_value_added_0.05_WGV_AUC_value_added_0.02_correlation",0.42565,1.1,0.324,1
