"","correlation","Sample","Drug.Set","KS","KS_Normalized","p_value","Position_at_max","FDR_q_value"
"1","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","Synthetic_Drug_Set",-0.3279,-0.842,0.616,1106,1
"2","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","EGFR inhibitor",0.23501,0.602,0.927,139,1
"3","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","Abl kinase inhibitor",-0.59442,-1.5,0.0894,960,0.884
"4","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","acetylcholine receptor agonist",-0.51448,-1.3,0.201,841,1
"5","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","acetylcholine receptor antagonist",-0.29238,-0.757,0.741,946,1
"6","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","adenosine receptor antagonist",0.53959,1.37,0.161,223,1
"7","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","adrenergic receptor agonist",0.28906,0.726,0.751,208,1
"8","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","adrenergic receptor antagonist",0.2578,0.662,0.876,99,1
"9","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","AKT inhibitor",-0.41118,-1.06,0.374,1316,1
"10","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","ALK tyrosine kinase receptor inhibitor",-0.27255,-0.688,0.845,1072,1
"11","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","androgen receptor antagonist",-0.41714,-1.08,0.38,1250,1
"12","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","antioxidant",-0.49125,-1.25,0.217,1318,0.982
"13","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","AP inhibitor",0.48556,1.26,0.224,130,1
"14","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","ATPase inhibitor",-0.25489,-0.657,0.856,1104,1
"15","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","Aurora kinase inhibitor",-0.28278,-0.713,0.792,1038,1
"16","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","bacterial 50S ribosomal subunit inhibitor",0.27258,0.701,0.793,55,1
"17","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","bacterial DNA gyrase inhibitor",-0.30902,-0.775,0.721,1277,1
"18","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","BCL inhibitor",0.43997,1.14,0.288,382,1
"19","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","Bcr.Abl kinase inhibitor",-0.62126,-1.57,0.0742,960,1
"20","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","benzodiazepine receptor agonist",0.31416,0.81,0.667,144,1
"21","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","bromodomain inhibitor",-0.42984,-1.07,0.359,945,1
"22","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","calcium channel blocker",-0.49046,-1.26,0.189,1224,1
"23","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","CC chemokine receptor antagonist",0.33973,0.863,0.626,549,1
"24","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","CDK inhibitor",-0.22731,-0.585,0.931,1304,0.99
"25","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","CHK inhibitor",0.41134,1.04,0.406,307,1
"26","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","cyclooxygenase inhibitor",-0.29613,-0.75,0.761,1202,1
"27","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","cytochrome P450 inhibitor",0.3107,0.788,0.7,286,1
"28","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","DNA alkylating agent",0.31659,0.802,0.674,33,1
"29","expr_value_added_0_WGV_AUC_value_added_0_correlation","Estimate","DNA inhibitor",0.25273,0.653,0.871,201,1
