"","file","V1","Correlation","ES","NES","p","q","N","expr.string","expr.value","AUC.string","AUC.value","Average.NES","SD.NES","Average.q","SD.q","percent.q0.05","percent.q0.25"
"1","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",1,"expr_value_added_0_WGV_AUC_value_added_0_correlation",0.43268,1.12,0.309,1,"1_","expr_value_added_0_WGV_",0,"AUC_value_added_0_correlati",0,0.38638,0.971383231925128,0.90484,0.141001137641959,0,0
"2","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",2,"expr_value_added_0_WGV_AUC_value_added_0.01_correlation",-0.2475,-0.63,0.884,1,"1_","expr_value_added_0_WGV_",0,"AUC_value_added_0.01_correl",0.01,0.58564,0.945445511224141,0.89596,0.170179012591243,0,2
"3","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",3,"expr_value_added_0_WGV_AUC_value_added_0.02_correlation",0.55449,1.41,0.118,0.545,"1_","expr_value_added_0_WGV_",0,"AUC_value_added_0.02_correl",0.02,1.17254,0.724572476621594,0.799104,0.232082818574644,2,4
"4","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",4,"expr_value_added_0_WGV_AUC_value_added_0.03_correlation",0.74958,1.95,0.00417,0.216,"1_","expr_value_added_0_WGV_",0,"AUC_value_added_0.03_correl",0.03,1.50864,0.458955191445856,0.6805922,0.313219108125704,6,12
"5","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",5,"expr_value_added_0_WGV_AUC_value_added_0.04_correlation",0.5582,1.44,0.102,0.517,"1_","expr_value_added_0_WGV_",0,"AUC_value_added_0.04_correl",0.04,1.6701,0.291807334397481,0.584738,0.313324731392274,2,22
"6","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",6,"expr_value_added_0_WGV_AUC_value_added_0.05_correlation",0.73334,1.88,0.0162,0.209,"1_","expr_value_added_0_WGV_",0,"AUC_value_added_0.05_correl",0.05,1.8702,0.221980786077884,0.3388676,0.278292610706275,10,52
"7","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",7,"expr_value_added_0_WGV_AUC_value_added_0.06_correlation",0.86399,2.23,0.002,0.00692,"1_","expr_value_added_0_WGV_",0,"AUC_value_added_0.06_correl",0.06,1.94568,0.246386243983892,0.2508358,0.279780221486547,26,60
"8","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",8,"expr_value_added_0_WGV_AUC_value_added_0.07_correlation",0.7348,1.86,0.0138,0.241,"1_","expr_value_added_0_WGV_",0,"AUC_value_added_0.07_correl",0.07,2.04,0.217330745779847,0.1747042,0.24726114015959,48,78
"9","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",9,"expr_value_added_0_WGV_AUC_value_added_0.08_correlation",0.79324,1.97,0,0.196,"1_","expr_value_added_0_WGV_",0,"AUC_value_added_0.08_correl",0.08,2.078,0.262235289270486,0.13289234,0.209132724517193,56,82
"10","1_2021-10-22 13:23:24_Synthetic_Drug_Set_drugSEA_results",10,"expr_value_added_0_WGV_AUC_value_added_0.09_correlation",0.84726,2.2,0,0.00906,"1_","expr_value_added_0_WGV_",0,"AUC_value_added_0.09_correl",0.09,2.147,0.248975451621649,0.09752092,0.212816855023073,70,88
